#Dynamics of genome size evolution in birds and mammals
#Supplementary Dataset 1: List of ancient mammalian TEs
#Repeat_Name	Repeat_Class	Repeat_Family	Repeat_Age
MER67C	LTR	ERV1	06_Boreotheria/Eutheria?
Charlie5	DNA	hAT-Charlie	07_Eutheria
Charlie6	DNA	hAT-Charlie	07_Eutheria
Charlie7a	DNA	hAT-Charlie	07_Eutheria
Charlie8	DNA	hAT-Charlie	07_Eutheria
Charlie9	DNA	hAT-Charlie	07_Eutheria
Cheshire	DNA	hAT-Charlie	07_Eutheria
Cheshire_Mars_	DNA	hAT-Charlie	07_Eutheria
DNA1_Mam	DNA	TcMar	07_Eutheria
ERV3-16A3_I-int	LTR	ERV3/L	07_Eutheria
ERV3-16A3_LTR	LTR	ERV3/L	07_Eutheria
ERVL-B4-int	LTR	ERVL	07_Eutheria
ERVL-E-int	LTR	ERVL	07_Eutheria
ERVL-int	LTR	ERVL	07_Eutheria
FordPrefect	DNA	hAT-Tip100	07_Eutheria
FordPrefect_a	DNA	hAT-Tip100	07_Eutheria
HAL1	LINE	L1	07_Eutheria
HAL1b	LINE	L1	07_Eutheria
HAL1M8	LINE	L1	07_Eutheria
HAL1ME	LINE	L1	07_Eutheria
hAT-N1_Mam	DNA	hAT	07_Eutheria
Helitron1Na_Mam	DNA	Helitron	07_Eutheria
Helitron1Nb_Mam	DNA	Helitron	07_Eutheria
Helitron3Na_Mam	DNA	Helitron	07_Eutheria
HERV16-int	LTR	ERVL	07_Eutheria
HERVL40-int	LTR	ERVL	07_Eutheria
Kanga1	DNA	TcMar-Tc2	07_Eutheria
Kanga11a	DNA	TcMar-Tc2	07_Eutheria
Kanga1a	DNA	TcMar-Tc2	07_Eutheria
Kanga1b	DNA	TcMar-Tc2	07_Eutheria
Kanga1c	DNA	TcMar-Tc2	07_Eutheria
Kanga1d	DNA	TcMar-Tc2	07_Eutheria
Kanga2_a	DNA	TcMar-Tc2	07_Eutheria
L1M2	LINE	L1	07_Eutheria
L1M4	LINE	L1	07_Eutheria
L1M4a1	LINE	L1	07_Eutheria
L1M4a2	LINE	L1	07_Eutheria
L1M4b	LINE	L1	07_Eutheria
L1M4c	LINE	L1	07_Eutheria
L1M5	LINE	L1	07_Eutheria
L1M6	LINE	L1	07_Eutheria
L1M6B	LINE	L1	07_Eutheria
L1M7	LINE	L1	07_Eutheria
L1M8	LINE	L1	07_Eutheria
L1MB3	LINE	L1	07_Eutheria
L1MB4	LINE	L1	07_Eutheria
L1MB5	LINE	L1	07_Eutheria
L1MB7	LINE	L1	07_Eutheria
L1MB8	LINE	L1	07_Eutheria
L1MC	LINE	L1	07_Eutheria
L1MC1	LINE	L1	07_Eutheria
L1MC2	LINE	L1	07_Eutheria
L1MC3	LINE	L1	07_Eutheria
L1MC4	LINE	L1	07_Eutheria
L1MC4a	LINE	L1	07_Eutheria
L1MC5	LINE	L1	07_Eutheria
L1MC5a	LINE	L1	07_Eutheria
L1MCa	LINE	L1	07_Eutheria
L1MCb	LINE	L1	07_Eutheria
L1MCc	LINE	L1	07_Eutheria
L1MD	LINE	L1	07_Eutheria
L1MD1	LINE	L1	07_Eutheria
L1MD2	LINE	L1	07_Eutheria
L1MD3	LINE	L1	07_Eutheria
L1MDa	LINE	L1	07_Eutheria
L1MDb	LINE	L1	07_Eutheria
L1ME1	LINE	L1	07_Eutheria
L1ME2	LINE	L1	07_Eutheria
L1ME2z	LINE	L1	07_Eutheria
L1ME3	LINE	L1	07_Eutheria
L1ME3A	LINE	L1	07_Eutheria
L1ME3B	LINE	L1	07_Eutheria
L1ME3C	LINE	L1	07_Eutheria
L1ME3Cz	LINE	L1	07_Eutheria
L1ME3D	LINE	L1	07_Eutheria
L1ME3E	LINE	L1	07_Eutheria
L1ME3F	LINE	L1	07_Eutheria
L1ME3G	LINE	L1	07_Eutheria
L1ME4a	LINE	L1	07_Eutheria
L1ME4b	LINE	L1	07_Eutheria
L1ME4c	LINE	L1	07_Eutheria
L1ME5	LINE	L1	07_Eutheria
L1MEa	LINE	L1	07_Eutheria
L1MEb	LINE	L1	07_Eutheria
L1MEc	LINE	L1	07_Eutheria
L1MEd	LINE	L1	07_Eutheria
L1MEf	LINE	L1	07_Eutheria
L1MEg	LINE	L1	07_Eutheria
L1MEg1	LINE	L1	07_Eutheria
L1MEg2	LINE	L1	07_Eutheria
L1MEh	LINE	L1	07_Eutheria
L1MEi	LINE	L1	07_Eutheria
L1PB4	LINE	L1	07_Eutheria
L4_A_Mam	LINE	RTEX	07_Eutheria
L4_B_Mam	LINE	RTEX	07_Eutheria
L4_C_Mam	LINE	RTEX	07_Eutheria
Looper	DNA	PiggyBac	07_Eutheria
LTR101_Mam	LTR	ERVL	07_Eutheria
LTR102_Mam	LTR	ERVL	07_Eutheria
LTR103_Mam	LTR	ERV1?	07_Eutheria
LTR103b_Mam	LTR	ERV1?	07_Eutheria
LTR104_Mam	LTR	Gypsy	07_Eutheria
LTR105_Mam	LTR	ERVL	07_Eutheria
LTR106_Mam	LTR	LTR	07_Eutheria
LTR107_Mam	LTR	LTR	07_Eutheria
LTR108a_Mam	LTR	ERVL	07_Eutheria
LTR108b_Mam	LTR	ERVL	07_Eutheria
LTR108c_Mam	LTR	ERVL	07_Eutheria
LTR108d_Mam	LTR	ERVL	07_Eutheria
LTR108e_Mam	LTR	ERVL	07_Eutheria
LTR16	LTR	ERV3	07_Eutheria
LTR16A	LTR	ERV3	07_Eutheria
LTR16A1	LTR	ERV3	07_Eutheria
LTR16A2	LTR	ERV3	07_Eutheria
LTR16B	LTR	ERV3	07_Eutheria
LTR16B1	LTR	ERV3	07_Eutheria
LTR16B2	LTR	ERV3	07_Eutheria
LTR16C	LTR	ERV3	07_Eutheria
LTR16D	LTR	ERV3	07_Eutheria
LTR16D1	LTR	ERV3	07_Eutheria
LTR16D2	LTR	ERV3	07_Eutheria
LTR16E1	LTR	ERV3	07_Eutheria
LTR16E2	LTR	ERV3	07_Eutheria
LTR33	LTR	ERV3	07_Eutheria
LTR33A	LTR	ERV3	07_Eutheria
LTR33A_	LTR	ERVL	07_Eutheria
LTR33B	LTR	ERV3	07_Eutheria
LTR33C	LTR	ERV3	07_Eutheria
LTR37A	LTR	ERV1	07_Eutheria
LTR37B	LTR	ERV1	07_Eutheria
LTR37-int	LTR	ERV1	07_Eutheria
LTR40a	LTR	ERV3	07_Eutheria
LTR40A1	LTR	ERV3	07_Eutheria
LTR40b	LTR	ERV3	07_Eutheria
LTR40c	LTR	ERV3	07_Eutheria
LTR41	LTR	ERV3	07_Eutheria
LTR41B	LTR	ERV3	07_Eutheria
LTR41C	LTR	ERV3	07_Eutheria
LTR45	LTR	ERV1	07_Eutheria
LTR50	LTR	ERV3	07_Eutheria
LTR52	LTR	ERV3	07_Eutheria
LTR52-int	LTR	ERVL	07_Eutheria
LTR53	LTR	ERV3	07_Eutheria
LTR53B	LTR	ERV3	07_Eutheria
LTR55	LTR	ERV3	07_Eutheria
LTR58	LTR	ERV1	07_Eutheria
LTR65	LTR	ERV1	07_Eutheria
LTR67B	LTR	ERV3	07_Eutheria
LTR68	LTR	ERV1	07_Eutheria
LTR69	LTR	ERV3	07_Eutheria
LTR73	LTR	ERV1	07_Eutheria
LTR75	LTR	ERV3	07_Eutheria
LTR75_1	LTR	ERV1	07_Eutheria
LTR75B	LTR	ERV3	07_Eutheria
LTR77	LTR	ERV1	07_Eutheria
LTR78	LTR	ERV1	07_Eutheria
LTR78B	LTR	ERV1	07_Eutheria
LTR79	LTR	ERV3	07_Eutheria
LTR80A	LTR	ERV3	07_Eutheria
LTR80B	LTR	ERV3	07_Eutheria
LTR81	LTR	Gypsy	07_Eutheria
LTR81A	LTR	Gypsy	07_Eutheria
LTR81AB	LTR	ERV1	07_Eutheria
LTR81B	LTR	ERV1	07_Eutheria
LTR81C	LTR	ERV1	07_Eutheria
LTR82A	LTR	ERV3	07_Eutheria
LTR82B	LTR	ERV3	07_Eutheria
LTR83	LTR	ERV3	07_Eutheria
LTR84a	LTR	ERV3	07_Eutheria
LTR84b	LTR	ERV3	07_Eutheria
LTR85a	LTR	Gypsy?	07_Eutheria
LTR85b	LTR	Gypsy?	07_Eutheria
LTR85c	LTR	Gypsy?	07_Eutheria
LTR86A1	LTR	ERV3	07_Eutheria
LTR86A2	LTR	ERV3	07_Eutheria
LTR86B1	LTR	ERV3	07_Eutheria
LTR86B2	LTR	ERV3	07_Eutheria
LTR86C	LTR	ERV3	07_Eutheria
LTR87	LTR	ERV3	07_Eutheria
LTR88a	LTR	Gypsy?	07_Eutheria
LTR88b	LTR	Gypsy?	07_Eutheria
LTR88c	LTR	Gypsy?	07_Eutheria
LTR89	LTR	ERV3	07_Eutheria
LTR91	LTR	LTR	07_Eutheria
MADE2	DNA	TcMar-Mariner	07_Eutheria
MamGypLTR1a	LTR	Gypsy	07_Eutheria
MamGypLTR1b	LTR	Gypsy	07_Eutheria
MamGypLTR1c	LTR	Gypsy	07_Eutheria
MamGypLTR1d	LTR	Gypsy	07_Eutheria
MamGypLTR2b	LTR	Gypsy	07_Eutheria
MamGypLTR2c	LTR	Gypsy	07_Eutheria
MamGypLTR3	LTR	Gypsy	07_Eutheria
MamGypLTR3a	LTR	Gypsy	07_Eutheria
MamRep1151	LTR?	LTR?	07_Eutheria
MamRep1527	Other	LTR?	07_Eutheria
MamRep1879	DNA	hAT?	07_Eutheria
MamRep1879	DNA	hAT?	07_Eutheria
MamRep1894	DNA	hAT	07_Eutheria
MamRep38	DNA	hAT	07_Eutheria
MamRep4096	DNA	hAT?	07_Eutheria
MamRep4096	DNA	hAT?	07_Eutheria
MamRep488	DNA	hAT	07_Eutheria
MamRep488	DNA	hAT	07_Eutheria
MamRep564	Other	ConsRep	07_Eutheria
MamRep605	Other	ConsRep	07_Eutheria
MamTip1	DNA	hAT-Tip100	07_Eutheria
MamTip3	DNA	hAT-Tip100	07_Eutheria
MARNA	DNA	TcMar-Mariner	07_Eutheria
MER102a	DNA	hAT-Charlie	07_Eutheria
MER102b	DNA	hAT-Charlie	07_Eutheria
MER102c	DNA	hAT-Charlie	07_Eutheria
MER103C	DNA	hAT-Charlie	07_Eutheria
MER104	DNA	TcMar-Tc2	07_Eutheria
MER105	DNA	DNA	07_Eutheria
MER105	DNA	DNA	07_Eutheria
MER106A	DNA	hAT-Charlie	07_Eutheria
MER106B	DNA	hAT-Charlie	07_Eutheria
MER110	LTR	ERV1	07_Eutheria
MER110A	LTR	ERV1	07_Eutheria
MER110-int	LTR	ERV1	07_Eutheria
MER112	DNA	hAT-Charlie	07_Eutheria
MER113	DNA	hAT-Charlie	07_Eutheria
MER113A	DNA	hAT-Charlie	07_Eutheria
MER113B	DNA	hAT-Charlie	07_Eutheria
MER115	DNA	hAT-Tip100	07_Eutheria
MER117	DNA	hAT-Charlie	07_Eutheria
MER119	DNA	hAT-Charlie	07_Eutheria
MER20	DNA	hAT-Charlie	07_Eutheria
MER20B	DNA	hAT-Charlie	07_Eutheria
MER21B	LTR	ERV3	07_Eutheria
MER21C	LTR	ERV3	07_Eutheria
MER21-int	LTR	ERVL	07_Eutheria
MER2B	DNA	TcMar-Tigger	07_Eutheria
MER3	DNA	hAT-Charlie	07_Eutheria
MER31-int	LTR	ERV1	07_Eutheria
MER33	DNA	hAT-Charlie	07_Eutheria
MER34A	LTR	ERV1	07_Eutheria
MER34A1	LTR	ERV1	07_Eutheria
MER45A	DNA	hAT-Tip100	07_Eutheria
MER45B	DNA	hAT-Tip100	07_Eutheria
MER45C	DNA	hAT-Tip100	07_Eutheria
MER45R	DNA	hAT-Tip100	07_Eutheria
MER46C	DNA	TcMar-Tigger	07_Eutheria
MER4B-int	LTR	ERV1	07_Eutheria
MER52-int	LTR	ERV1	07_Eutheria
MER53	DNA	hAT	07_Eutheria
MER58A	DNA	hAT-Charlie	07_Eutheria
MER58B	DNA	hAT-Charlie	07_Eutheria
MER58C	DNA	hAT-Charlie	07_Eutheria
MER58D	DNA	hAT-Charlie	07_Eutheria
MER5A	DNA	hAT-Charlie	07_Eutheria
MER5A1	DNA	hAT-Charlie	07_Eutheria
MER5B	DNA	hAT-Charlie	07_Eutheria
MER5C	DNA	hAT-Charlie	07_Eutheria
MER5C1	DNA	hAT-Charlie	07_Eutheria
MER63A	DNA	hAT-Blackjack	07_Eutheria
MER63B	DNA	hAT-Blackjack	07_Eutheria
MER63C	DNA	hAT-Blackjack	07_Eutheria
MER63D	DNA	hAT-Blackjack	07_Eutheria
MER68	LTR	ERVL	07_Eutheria
MER68B	LTR	ERV3	07_Eutheria
MER68C	LTR	ERV3	07_Eutheria
MER68-int	LTR	ERVL	07_Eutheria
MER70-int	LTR	ERVL	07_Eutheria
MER76	LTR	ERV3	07_Eutheria
MER76-int	LTR	ERV3	07_Eutheria
MER77	LTR	ERV3	07_Eutheria
MER77B	LTR	ERVL	07_Eutheria
MER81	DNA	hAT-Blackjack	07_Eutheria
MER83A-int	LTR	ERV1	07_Eutheria
MER83B-int	LTR	ERV1	07_Eutheria
MER88	LTR	ERV3	07_Eutheria
MER89	LTR	ERV1	07_Eutheria
MER89-int	LTR	ERV1	07_Eutheria
MER90	LTR	ERV1	07_Eutheria
MER90a	LTR	ERV1	07_Eutheria
MER91A	DNA	hAT-Tip100	07_Eutheria
MER91B	DNA	hAT-Tip100	07_Eutheria
MER91C	DNA	hAT-Tip100	07_Eutheria
MER92A	LTR	ERV1	07_Eutheria
MER92B	LTR	ERV1	07_Eutheria
MER92C	LTR	ERV1	07_Eutheria
MER92D	LTR	ERV1	07_Eutheria
MER92-int	LTR	ERV1	07_Eutheria
MER94	DNA	hAT-Blackjack	07_Eutheria
MER94B	DNA	hAT-Blackjack	07_Eutheria
MER96	DNA	hAT	07_Eutheria
MER96	DNA	hAT	07_Eutheria
MER96B	DNA	hAT	07_Eutheria
MER96B	DNA	hAT	07_Eutheria
MER97a	DNA	hAT-Tip100	07_Eutheria
MER97b	DNA	hAT-Tip100	07_Eutheria
MER97c	DNA	hAT-Tip100	07_Eutheria
MER97d	DNA	hAT-Tip100	07_Eutheria
MER99	DNA	hAT?	07_Eutheria
MERX	DNA	TcMar-Tigger	07_Eutheria
MLT1B	LTR	ERV3	07_Eutheria
MLT1B-int	LTR	ERVL-MaLR	07_Eutheria
MLT1C	LTR	ERV3	07_Eutheria
MLT1C-int	LTR	ERVL-MaLR	07_Eutheria
MLT1D	LTR	ERV3	07_Eutheria
MLT1D-int	LTR	ERVL-MaLR	07_Eutheria
MLT1E	LTR	ERV3	07_Eutheria
MLT1E1	LTR	ERV3	07_Eutheria
MLT1E1A	LTR	ERV3	07_Eutheria
MLT1E1A-int	LTR	ERVL-MaLR	07_Eutheria
MLT1E1-int	LTR	ERVL-MaLR	07_Eutheria
MLT1E2	LTR	ERV3	07_Eutheria
MLT1E2-int	LTR	ERVL-MaLR	07_Eutheria
MLT1E3	LTR	ERVL-MaLR	07_Eutheria
MLT1E3-int	LTR	ERVL-MaLR	07_Eutheria
MLT1E-int	LTR	ERVL-MaLR	07_Eutheria
MLT1F	LTR	ERV3	07_Eutheria
MLT1F1	LTR	ERV3	07_Eutheria
MLT1F1-int	LTR	ERVL-MaLR	07_Eutheria
MLT1F2	LTR	ERV3	07_Eutheria
MLT1F2-int	LTR	ERVL-MaLR	07_Eutheria
MLT1F-int	LTR	ERVL-MaLR	07_Eutheria
MLT1G	LTR	ERV3	07_Eutheria
MLT1G1	LTR	ERV3	07_Eutheria
MLT1G1-int	LTR	ERVL-MaLR	07_Eutheria
MLT1G3	LTR	ERV3	07_Eutheria
MLT1G3-int	LTR	ERVL-MaLR	07_Eutheria
MLT1G-int	LTR	ERVL-MaLR	07_Eutheria
MLT1H	LTR	ERV3	07_Eutheria
MLT1H1	LTR	ERV3	07_Eutheria
MLT1H1-int	LTR	ERVL-MaLR	07_Eutheria
MLT1H2	LTR	ERV3	07_Eutheria
MLT1H2-int	LTR	ERVL-MaLR	07_Eutheria
MLT1H-int	LTR	ERVL-MaLR	07_Eutheria
MLT1I	LTR	ERV3	07_Eutheria
MLT1I-int	LTR	ERVL-MaLR	07_Eutheria
MLT1-int	LTR	ERVL-MaLR	07_Eutheria
MLT1J	LTR	ERV3	07_Eutheria
MLT1J1	LTR	ERV3	07_Eutheria
MLT1J1-int	LTR	ERVL-MaLR	07_Eutheria
MLT1J2	LTR	ERV3	07_Eutheria
MLT1J2-int	LTR	ERVL-MaLR	07_Eutheria
MLT1J-int	LTR	ERV3	07_Eutheria
MLT1K	LTR	ERV3	07_Eutheria
MLT1K-int	LTR	ERVL-MaLR	07_Eutheria
MLT1L	LTR	ERV3	07_Eutheria
MLT1L-int	LTR	ERVL-MaLR	07_Eutheria
MLT1M	LTR	ERV3	07_Eutheria
MLT1M-int	LTR	ERVL-MaLR	07_Eutheria
MLT1N2	LTR	ERV3	07_Eutheria
MLT1N2-int	LTR	ERVL-MaLR	07_Eutheria
MLT1O	LTR	ERVL-MaLR 	07_Eutheria
MLT1O-int	LTR	ERVL	07_Eutheria
MLT2C1	LTR	ERVL	07_Eutheria
MLT2C2	LTR	ERV3	07_Eutheria
MLT2D	LTR	ERV3	07_Eutheria
MLT2E	LTR	ERV3	07_Eutheria
MLT2F	LTR	ERV3	07_Eutheria
MLT-int	LTR	ERV3	07_Eutheria
ORSL	DNA	hAT-Tip100	07_Eutheria
ORSL-2a	DNA	hAT-Tip100	07_Eutheria
ORSL-2b	DNA	hAT-Tip100	07_Eutheria
Tigger11a	DNA	TcMar-Tigger	07_Eutheria
Tigger12	DNA	TcMar-Tigger	07_Eutheria
Tigger12A	DNA	TcMar-Tigger	07_Eutheria
Tigger12c	DNA	TcMar-Tigger	07_Eutheria
Tigger13a	DNA	TcMar-Tigger	07_Eutheria
Tigger17a	DNA	TcMar-tigger	07_Eutheria
Tigger17b	DNA	TcMar-tigger	07_Eutheria
Tigger18a	DNA	TcMar-tigger	07_Eutheria
Tigger20a	DNA	TcMar-tigger	07_Eutheria
Tigger6a	DNA	TcMar-Tigger	07_Eutheria
Tigger6b	DNA	TcMar-Tigger	07_Eutheria
Tigger8	DNA	TcMar-Tigger	07_Eutheria
Tigger9a	DNA	TcMar-Tigger	07_Eutheria
Tigger9b	DNA	TcMar-Tigger	07_Eutheria
Zaphod	DNA	hAT-Tip100	07_Eutheria
Zaphod2	DNA	hAT-Tip100	07_Eutheria
Zaphod3	DNA	hAT-Tip100	07_Eutheria
Charlie12	DNA	hAT-Charlie	07_Eutheria/03_Primates
Charlie1	DNA	hAT-Charlie	07_Eutheria+Metatheria
Charlie18a	DNA	hAT-Charlie	07_Eutheria+Metatheria
Charlie4	DNA	hAT-Charlie	07_Eutheria+Metatheria
Charlie7	DNA	hAT-Charlie	07_Eutheria+Metatheria
L2	LINE	L2	07_Eutheria+Metatheria
L2c	LINE	L2	07_Eutheria+Metatheria
Tigger17	DNA	TcMar-tigger	07_Eutheria+Metatheria
MamRep137	DNA	TcMar?	08_Eutheria/Theria
MamRep137	DNA	TcMar?	08_Eutheria/Theria
L1M	LINE	L1	08_Eutheria/Theria?
L2a	LINE	L2	08_Eutheria/Theria?
L2b	LINE	L2-CR1	08_Eutheria/Theria?
Charlie1a	DNA	hAT-Charlie	09_Theria
Charlie1b	DNA	hAT-Charlie	09_Theria
Charlie1b_Mars	DNA	hAT-Charlie	09_Theria
LTR90A	LTR	LTR	09_Theria
LTR90B	LTR	LTR	09_Theria
X7A_LINE	LINE	CR1	10_Amniota/Theria
X7B_LINE	LINE	CR1	10_Amniota/Theria
X7C_LINE	LINE	CR1	10_Amniota/Theria
X7D_LINE	LINE	CR1	10_Amniota/Theria
Helitron2Na_Mam	DNA	Helitron?	10_Theria/Mammalia
L1MEj	LINE	L1	10_Theria/Mammalia
L3	LINE	CR1	10_Theria/Mammalia
L3b	LINE	CR1	10_Theria/Mammalia
L5	LINE	RTEX	10_Theria/Mammalia
MamRep434	DNA	TcMar-Tigger	10_Theria/Mammalia
MamTip2	DNA	hAT-Tip100	10_Theria/Mammalia
MER124	DNA	DNA	10_Theria/Mammalia
Tigger10	DNA	TcMar-Tigger	10_Theria/Mammalia
Tigger14a	DNA	TcMar-Tigger	10_Theria/Mammalia
Tigger15a	DNA	TcMar-Tigger	10_Theria/Mammalia
Tigger16a	DNA	TcMar-Tigger	10_Theria/Mammalia
Tigger16b	DNA	TcMar-Tigger	10_Theria/Mammalia
Tigger19a	DNA	TcMar-tigger	10_Theria/Mammalia
Charlie13a	DNA	hAT-Charlie	11_Mammalia
Charlie13b	DNA	hAT-Charlie	11_Mammalia
CR1_Mam	LINE	CR1	11_Mammalia
Mam_R4	LINE	Dong-R4	11_Mammalia
MamGyp-int	LTR	Gypsy	11_Mammalia
MamRep1161	DNA	TcMar	11_Mammalia
MamSINE1	SINE	tRNA	11_Mammalia
MER121	DNA	TcMar? hAT?	11_Mammalia
MER135	DNA	DNA	11_Mammalia
MIR	SINE	MIR	11_Mammalia
MIR3	SINE	MIR	11_Mammalia
MIRb	SINE	MIR	11_Mammalia
MIRc	SINE	MIR	11_Mammalia
Plat_L3	LINE	CR1	11_Mammalia
X3_LINE	LINE	RTE-BovB 	11_Mammalia
X6A_LINE	LINE	CR1	11_Mammalia
X6B_LINE	LINE	CR1	11_Mammalia
AmnSINE1	SINE	Deu	12_Amniota
AmnSINE2	SINE	Deu	12_Amniota
Eulor1	DNA	ConsRep	12_Amniota
Eulor10	Other	DNA?	12_Amniota
Eulor11	DNA	ConsRep	12_Amniota
Eulor12	Other	DNA?	12_Amniota
Eulor2A	Other	DNA?	12_Amniota
Eulor2B	Other	DNA?	12_Amniota
Eulor2C	Other	DNA?	12_Amniota
Eulor3	Other	DNA?	12_Amniota
Eulor7	Other	DNA?	12_Amniota
Eulor8	DNA	TcMar?	12_Amniota
Eulor9A	DNA	ConsRep	12_Amniota
Eulor9B	DNA	ConsRep	12_Amniota
Eulor9C	DNA	ConsRep	12_Amniota
MER125	DNA	DNA	12_Amniota
MER126	DNA	DNA	12_Amniota
MER127	DNA	TcMar-Tigger	12_Amniota
MER129	SINE	SINE	12_Amniota
MER130	Other	ConsRep	12_Amniota
MER131	SINE?	SINE?	12_Amniota
MER132	DNA	TcMar	12_Amniota
MER132	DNA	TcMar	12_Amniota
MER133A	DNA	DNA?	12_Amniota
MER133B	DNA	DNA?	12_Amniota
MER134	DNA	DNA	12_Amniota
MER136	DNA	DNA	12_Amniota
UCON12	Other	ConsRep	12_Amniota
UCON12A	Other	ConsRep	12_Amniota
UCON15	Other	ConsRep	12_Amniota
UCON16	Other	ConsRep	12_Amniota
UCON17	Other	ConsRep	12_Amniota
UCON19	Other	ConsRep	12_Amniota
UCON2	Other	ConsRep	12_Amniota
UCON20	Other	ConsRep	12_Amniota
UCON21	Other	DNA?	12_Amniota
UCON22	Other	ConsRep	12_Amniota
UCON23	DNA	hAT-Tip100?	12_Amniota
UCON24	Other	ConsRep	12_Amniota
UCON25	Other	ConsRep	12_Amniota
UCON26	Other	ConsRep	12_Amniota
UCON27	Other	ConsRep	12_Amniota
UCON28a	Other	ConsRep	12_Amniota
UCON28b	Other	ConsRep	12_Amniota
UCON28c	Other	ConsRep	12_Amniota
UCON29	DNA	PiggyBac?	12_Amniota
UCON4	Other	ConsRep	12_Amniota
UCON5	Other	ConsRep	12_Amniota
UCON6	Other	ConsRep	12_Amniota
UCON9	Other	ConsRep	12_Amniota
X1_LINE	LINE	CR1	12_Amniota
X8_LINE	LINE	CR1	12_Amniota
X9_LINE	LINE	CR1	12_Amniota
X2_LINE	LINE	CR1	13_Amniota/Euteleostemi?
Eulor4	Other	ConsRep	14_Tetrapoda
Eulor5A	Other	DNA?	14_Tetrapoda
Eulor5B	Other	DNA?	14_Tetrapoda
Eulor6A	Other	DNA?	14_Tetrapoda
Eulor6B	Other	DNA?	14_Tetrapoda
Eulor6C	Other	DNA?	14_Tetrapoda
Eulor6D	Other	DNA?	14_Tetrapoda
Eulor6E	Other	DNA?	14_Tetrapoda
LFSINE_Vert	SINE	SINE	14_Tetrapoda
MER123	DNA	DNA	14_Tetrapoda
UCON1	Other	ConsRep	14_Tetrapoda
UCON10	Other	ConsRep	14_Tetrapoda
UCON11	DNA	TcMar-tigger	14_Tetrapoda
UCON13	Other	Penelope	14_Tetrapoda
UCON14	Other	DNA?	14_Tetrapoda
UCON18	Other	ConsRep	14_Tetrapoda
UCON31	Other	ConsRep	14_Tetrapoda
UCON7	Other	DNA?	14_Tetrapoda
UCON8	DNA	DNA	14_Tetrapoda
X5A_LINE	LINE	CR1	15_Euteleostomi
X5B_LINE	LINE	CR1	15_Euteleostomi
