"name2","chrom","txStart","txEnd","name","uniqueID","Chromosome","Start_position","End_position","Enhancer_id","Enhancer_symbol","Cp"
"BCL6","chr3",187439165,187454285,"NM_001130845",10078,"chr3",187088166,187909165,"E_01_219","--",NA
"BCL6","chr3",187439165,187454285,"NM_001130845",10078,"chr3",186938166,186940165,"E_01_218","--",NA
"BCL6","chr3",187439165,187463513,"NM_001706",10079,"chr3",188892649,189232665,"E_01_147","--",NA
"BCL6","chr3",187439165,187463513,"NM_001706",10079,"chr3",187559166,187589165,"E_01_220","--",NA
"BCL6","chr3",187439165,187463513,"NM_001706",10079,"chr3",187088166,187909165,"E_01_219","--",NA
"BCL6","chr3",187439165,187463513,"NM_001706",10079,"chr3",186938166,186940165,"E_01_218","--",NA
"BCL6","chr3",187439165,187452695,"NM_001134738",10080,"chr3",188892649,189232665,"E_01_147","--",NA
"BCL6","chr3",187439165,187452695,"NM_001134738",10080,"chr3",187559166,187589165,"E_01_220","--",NA
"BCL6","chr3",187439165,187452695,"NM_001134738",10080,"chr3",187088166,187909165,"E_01_219","--",NA
"BCL6","chr3",187439165,187452695,"NM_001134738",10080,"chr3",186938166,186940165,"E_01_218","--",NA
"BNC2","chr9",16409501,16870786,"NM_017637",20229,"chr9",124638992,124641160,"E_01_175","--","1"
"BTG2","chr1",203274664,203278729,"NM_006763",4177,"chr1",203273731,203275395,"E_01_064","--",NA
"C11orf53","chr11",111126707,111156972,"NM_198498",26791,"chr11",111150917,111155431,"E_01_140","--",NA
"C3AR1","chr12",8210919,8218955,"NM_004054",30340,"chr12",8217948,8219702,"E_01_054","--",NA
"CACNA1C","chr12",2162416,2807115,"NM_001129827",29613,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129827",29613,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_199460",29599,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_199460",29599,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129832",29603,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129832",29603,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129839",29610,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129839",29610,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129841",29596,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129841",29596,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129836",29597,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129836",29597,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001167623",29609,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001167623",29609,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129830",29595,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129830",29595,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129838",29611,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129838",29611,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129831",29594,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129831",29594,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129834",29614,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129834",29614,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129829",29612,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129829",29612,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129840",29593,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129840",29593,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001167625",29616,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001167625",29616,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129837",29598,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129837",29598,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001167624",29608,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001167624",29608,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129844",29604,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129844",29604,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_000719",29615,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_000719",29615,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129843",29602,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129843",29602,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129846",29601,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129846",29601,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129835",29606,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129835",29606,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129833",29600,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129833",29600,"chr12",98559924,98563615,"E_01_196","--","1"
"CACNA1C","chr12",2162416,2807115,"NM_001129842",29605,"chr12",98562693,98566384,"E_01_197","--","3"
"CACNA1C","chr12",2162416,2807115,"NM_001129842",29605,"chr12",98559924,98563615,"E_01_196","--","1"
"CALM1","chr14",90863327,90874619,"NM_006888",33865,"chr14",90847328,90849327,"E_01_103","--",NA
"CASP8","chr2",202125223,202152434,"NM_033356",7229,"chr2",202120391,202125986,"E_01_408","--",NA
"CASP8","chr2",202122754,202152434,"NM_001080125",7227,"chr2",202120391,202125986,"E_01_408","--",NA
"CASP8","chr2",202098166,202152434,"NM_001080124",5615,"chr2",202120391,202125986,"E_01_408","--",NA
"CASP8","chr2",202098166,202152434,"NM_001228",5612,"chr2",202120391,202125986,"E_01_408","--",NA
"CASP8","chr2",202098166,202146638,"NM_033358",5614,"chr2",202120391,202125986,"E_01_408","--",NA
"CASP8","chr2",202098166,202152434,"NM_033355",5607,"chr2",202120391,202125986,"E_01_408","--",NA
"CCAT1","chr8",128219627,128231513,"NR_108049",19995,"chr8",128230173,128243000,"E_01_155","--",NA
"CCL2","chr17",32582296,32584220,"NM_002982",38872,"chr17",32565597,32566796,"E_01_084","--",NA
"CCL2","chr17",32582296,32584220,"NM_002982",38872,"chr17",32579685,32579693,"E_01_043","CCL2 Enhancer",NA
"CCL3","chr17",34415603,34417506,"NM_002983",38938,"chr17",34416208,34419359,"E_01_057","--",NA
"CCL3","chr17",34415603,34417506,"NM_002983",38938,"chr17",34411750,34415000,"E_01_056","--",NA
"CCL3","chr17",34415603,34417506,"NM_002983",38938,"chr17",34429461,34432613,"E_01_058","--",NA
"CCND1","chr11",69455873,69469242,"NM_053056",27148,"chr11",69468874,69470873,"E_01_362","--",NA
"CCND1","chr11",69455873,69469242,"NM_053056",27148,"chr11",69468762,69470761,"E_01_361","--",NA
"CCND1","chr11",69455873,69469242,"NM_053056",27148,"chr11",69329685,69330954,"E_01_002","ER¦Áenh588",NA
"CCR4","chr3",32993066,32996403,"NM_005508",8815,"chr3",34201596,34204662,"E_01_179","--",NA
"CCR4","chr3",32993066,32996403,"NM_005508",8815,"chr3",34181596,34184395,"E_01_178","--",NA
"CCR4","chr3",32993066,32996403,"NM_005508",8815,"chr3",33000400,33003599,"E_01_177","--",NA
"CCR4","chr3",32993066,32996403,"NM_005508",8815,"chr3",32993200,32996133,"E_01_176","--",NA
"CD14","chr5",140011313,140013286,"NM_001174104",13445,"chr5",139985480,139987671,"E_01_163","--",NA
"CD14","chr5",140011313,140013286,"NM_001174104",13445,"chr5",140009727,140011735,"E_01_166","--",NA
"CD14","chr5",140011313,140013286,"NM_001174104",13445,"chr5",139974522,139975981,"E_01_162","--",NA
"CD14","chr5",140011313,140013286,"NM_001174104",13445,"chr5",139990823,139992831,"E_01_165","--",NA
"CD14","chr5",140011313,140013286,"NM_001174104",13445,"chr5",139970047,139972237,"E_01_161","--",NA
"CD14","chr5",140011313,140013286,"NM_001174104",13445,"chr5",139987855,139989680,"E_01_164","--",NA
"CD14","chr5",140011313,140013286,"NM_001040021",13452,"chr5",139985480,139987671,"E_01_163","--",NA
"CD14","chr5",140011313,140013286,"NM_001040021",13452,"chr5",140009727,140011735,"E_01_166","--",NA
"CD14","chr5",140011313,140013286,"NM_001040021",13452,"chr5",139974522,139975981,"E_01_162","--",NA
"CD14","chr5",140011313,140013286,"NM_001040021",13452,"chr5",139990823,139992831,"E_01_165","--",NA
"CD14","chr5",140011313,140013286,"NM_001040021",13452,"chr5",139970047,139972237,"E_01_161","--",NA
"CD14","chr5",140011313,140013286,"NM_001040021",13452,"chr5",139987855,139989680,"E_01_164","--",NA
"CD14","chr5",140011313,140013286,"NM_001174105",13446,"chr5",139985480,139987671,"E_01_163","--",NA
"CD14","chr5",140011313,140013286,"NM_001174105",13446,"chr5",140009727,140011735,"E_01_166","--",NA
"CD14","chr5",140011313,140013286,"NM_001174105",13446,"chr5",139974522,139975981,"E_01_162","--",NA
"CD14","chr5",140011313,140013286,"NM_001174105",13446,"chr5",139990823,139992831,"E_01_165","--",NA
"CD14","chr5",140011313,140013286,"NM_001174105",13446,"chr5",139970047,139972237,"E_01_161","--",NA
"CD14","chr5",140011313,140013286,"NM_001174105",13446,"chr5",139987855,139989680,"E_01_164","--",NA
"CD14","chr5",140011313,140013035,"NM_000591",13453,"chr5",139985480,139987671,"E_01_163","--",NA
"CD14","chr5",140011313,140013035,"NM_000591",13453,"chr5",140009727,140011735,"E_01_166","--",NA
"CD14","chr5",140011313,140013035,"NM_000591",13453,"chr5",139974522,139975981,"E_01_162","--",NA
"CD14","chr5",140011313,140013035,"NM_000591",13453,"chr5",139990823,139992831,"E_01_165","--",NA
"CD14","chr5",140011313,140013035,"NM_000591",13453,"chr5",139970047,139972237,"E_01_161","--",NA
"CD14","chr5",140011313,140013035,"NM_000591",13453,"chr5",139987855,139989680,"E_01_164","--",NA
"CD200","chr3",112051916,112081658,"NM_001004196",8241,"chr3",112045518,112046117,"E_01_025","CD200 distal Enhancer",NA
"CD200","chr3",112051916,112081658,"NM_005944",8234,"chr3",112045518,112046117,"E_01_025","CD200 distal Enhancer",NA
"CD47","chr3",107761941,107809935,"NM_001777",9445,"chr3",107842839,107845592,"E_01_270","CD47 SE E3.2",NA
"CD47","chr3",107761941,107809935,"NM_001777",9445,"chr3",107846970,107854683,"E_01_271","CD47 SE E7",NA
"CD47","chr3",107761941,107809935,"NM_001777",9445,"chr3",107702616,107714185,"E_01_269","CD47 SE E5",NA
"CD47","chr3",107761941,107809935,"NM_001777",9445,"chr3",107662656,107762655,"E_01_303","--",NA
"CD47","chr3",107761941,107809935,"NM_198793",9444,"chr3",107842839,107845592,"E_01_270","CD47 SE E3.2",NA
"CD47","chr3",107761941,107809935,"NM_198793",9444,"chr3",107846970,107854683,"E_01_271","CD47 SE E7",NA
"CD47","chr3",107761941,107809935,"NM_198793",9444,"chr3",107702616,107714185,"E_01_269","CD47 SE E5",NA
"CD47","chr3",107761941,107809935,"NM_198793",9444,"chr3",107662656,107762655,"E_01_303","--",NA
"CD84","chr1",160510884,160549306,"NM_001184882",3724,"chr1",160542652,160543257,"E_01_329","--",NA
"CD84","chr1",160510884,160549306,"NM_001184882",3724,"chr1",160536894,160537651,"E_01_328","--",NA
"CD84","chr1",160510884,160549306,"NM_001184881",3725,"chr1",160542652,160543257,"E_01_329","--",NA
"CD84","chr1",160510884,160549306,"NM_001184881",3725,"chr1",160536894,160537651,"E_01_328","--",NA
"CD84","chr1",160510884,160549306,"NM_003874",3731,"chr1",160542652,160543257,"E_01_329","--",NA
"CD84","chr1",160510884,160549306,"NM_003874",3731,"chr1",160536894,160537651,"E_01_328","--",NA
"CD84","chr1",160510884,160549306,"NM_001184879",3727,"chr1",160542652,160543257,"E_01_329","--",NA
"CD84","chr1",160510884,160549306,"NM_001184879",3727,"chr1",160536894,160537651,"E_01_328","--",NA
"CDH1","chr16",68771195,68869444,"NM_004360",36081,"chr16",68777929,68779928,"E_01_295","--",NA
"CDKN1A","chr6",36646487,36655116,"NM_001220778",15560,"chr6",36640691,36643070,"E_01_006","p53enh3508",NA
"CDKN1A","chr6",36646487,36655116,"NM_001220778",15560,"chr6",36632238,36634237,"E_01_172","--",NA
"CDKN1A","chr6",36646487,36655116,"NM_001220778",15560,"chr6",36631691,36640853,"E_01_005","p53enh3507",NA
"CDKN1A","chr6",36646487,36655116,"NM_001220778",15560,"chr6",36640938,36642937,"E_01_383","",NA
"CDKN1A","chr6",36646487,36655116,"NM_001220778",15560,"chr6",36647238,36649237,"E_01_384","",NA
"CDKN1A","chr6",36644267,36655116,"NM_078467",15562,"chr6",36640691,36643070,"E_01_006","p53enh3508",NA
"CDKN1A","chr6",36644267,36655116,"NM_078467",15562,"chr6",36632238,36634237,"E_01_172","--",NA
"CDKN1A","chr6",36644267,36655116,"NM_078467",15562,"chr6",36631691,36640853,"E_01_005","p53enh3507",NA
"CDKN1A","chr6",36644267,36655116,"NM_078467",15562,"chr6",36640938,36642937,"E_01_383","",NA
"CDKN1A","chr6",36644267,36655116,"NM_078467",15562,"chr6",36647238,36649237,"E_01_384","",NA
"CDKN1A","chr6",36646456,36655116,"NM_000389",15561,"chr6",36640691,36643070,"E_01_006","p53enh3508",NA
"CDKN1A","chr6",36646456,36655116,"NM_000389",15561,"chr6",36632238,36634237,"E_01_172","--",NA
"CDKN1A","chr6",36646456,36655116,"NM_000389",15561,"chr6",36631691,36640853,"E_01_005","p53enh3507",NA
"CDKN1A","chr6",36646456,36655116,"NM_000389",15561,"chr6",36640938,36642937,"E_01_383","",NA
"CDKN1A","chr6",36646456,36655116,"NM_000389",15561,"chr6",36647238,36649237,"E_01_384","",NA
"CDKN1A","chr6",36644237,36655116,"NM_001220777",15563,"chr6",36640691,36643070,"E_01_006","p53enh3508",NA
"CDKN1A","chr6",36644237,36655116,"NM_001220777",15563,"chr6",36632238,36634237,"E_01_172","--",NA
"CDKN1A","chr6",36644237,36655116,"NM_001220777",15563,"chr6",36631691,36640853,"E_01_005","p53enh3507",NA
"CDKN1A","chr6",36644237,36655116,"NM_001220777",15563,"chr6",36640938,36642937,"E_01_383","",NA
"CDKN1A","chr6",36644237,36655116,"NM_001220777",15563,"chr6",36647238,36649237,"E_01_384","",NA
"CDKN2A","chr9",21967751,21975132,"NM_000077",20894,"chr9",21816752,21818751,"E_01_122","--",NA
"CDKN2A","chr9",21967751,21975132,"NM_001195132",20890,"chr9",21816752,21818751,"E_01_122","--",NA
"CDKN2A","chr9",21967751,21994490,"NM_058195",20892,"chr9",21816752,21818751,"E_01_122","--",NA
"CDKN2A","chr9",21967751,21974826,"NM_058197",20891,"chr9",21816752,21818751,"E_01_122","--",NA
"CDX2","chr13",28536205,28543505,"NM_001265",32201,"chr13",28545206,28547205,"E_01_294","--",NA
"CEP135","chr4",56814974,56899529,"NM_025009",10528,"chr4",56895794,56962351,"E_01_222","--",NA
"CEP89","chr19",33369904,33462869,"NM_032816",41109,"chr19",33299482,33300688,"E_01_407","--",NA
"CFTR","chr7",117120017,117308718,"NM_000492",16945,"chr7",117228052,117229440,"E_01_020","--",NA
"CFTR","chr7",117120017,117308718,"NM_000492",16945,"chr7",117075515,117075933,"E_01_184","DHS-44 Enhancer",NA
"CFTR","chr7",117120017,117308718,"NM_000492",16945,"chr7",117038918,117040917,"E_01_018","--",NA
"CFTR","chr7",117120017,117308718,"NM_000492",16945,"chr7",117011496,117063767,"E_01_236","--",NA
"CFTR","chr7",117120017,117308718,"NM_000492",16945,"chr7",117282956,117335227,"E_01_237","--",NA
"CFTR","chr7",117120017,117308718,"NM_000492",16945,"chr7",117099049,117099450,"E_01_019","--",NA
"CLU","chr8",27454434,27469268,"NR_045494",19448,"chr8",27455904,27456103,"E_01_286","--",NA
"CLU","chr8",27454434,27472328,"NM_001831",19449,"chr8",27455904,27456103,"E_01_286","--",NA
"CLU","chr8",27454434,27468954,"NR_038335",19450,"chr8",27455904,27456103,"E_01_286","--",NA
"COL1A1","chr17",48261457,48279000,"NM_000088",39511,"chr17",48258758,48260757,"E_01_116","bone Enhancer",NA
"COL1A2","chr7",94023873,94060544,"NM_000089",17838,"chr7",94002774,94005073,"E_01_291","--",NA
"COL1A2","chr7",94023873,94060544,"NM_000089",17838,"chr7",94002774,94005073,"E_01_188","--",NA
"COL2A1","chr12",48366748,48398285,"NM_033150",30634,"chr12",48368876,48369590,"E_01_180","--",NA
"COL2A1","chr12",48366748,48398285,"NM_033150",30634,"chr12",48369060,48369213,"E_01_124","--",NA
"COL2A1","chr12",48366748,48398285,"NM_033150",30634,"chr12",48368960,48369159,"E_01_135","--",NA
"COL2A1","chr12",48366748,48398285,"NM_001844",30633,"chr12",48368876,48369590,"E_01_180","--",NA
"COL2A1","chr12",48366748,48398285,"NM_001844",30633,"chr12",48369060,48369213,"E_01_124","--",NA
"COL2A1","chr12",48366748,48398285,"NM_001844",30633,"chr12",48368960,48369159,"E_01_135","--",NA
"CRY2","chr11",45868957,45904799,"NM_021117",27007,"Chr11",45846944,45846959,"E_01_276","--",NA
"CRY2","chr11",45868669,45904799,"NM_001127457",27009,"Chr11",45846944,45846959,"E_01_276","--",NA
"CSF1R","chr5",149432854,149466203,"NR_109969",13616,"chr5",149457543,149458807,"E_01_330","--",NA
"CSF1R","chr5",149432854,149466203,"NM_001288705",13615,"chr5",149457543,149458807,"E_01_330","--",NA
"CSF1R","chr5",149432854,149492935,"NM_005211",13614,"chr5",149457543,149458807,"E_01_330","--",NA
"CXCL13","chr4",78432907,78532988,"NM_006419",10596,"chr4",77511789,77605824,"E_01_281","--",NA
"CXCR5","chr11",118754475,118766980,"NM_001716",29223,"chr11",118767467,118769582,"E_01_213","CXCR5 Enhancer",NA
"CXCR5","chr11",118764101,118766980,"NM_032966",29218,"chr11",118767467,118769582,"E_01_213","CXCR5 Enhancer",NA
"CYP2D6","chr22",42522501,42526883,"NM_000106",46722,"chr22",42411334,42413643,"E_01_189","--",NA
"CYP2D6","chr22",42522501,42526883,"NM_000106",46722,"chr22",42411545,42415106,"E_01_190","--",NA
"CYP2D6","chr22",42522501,42526883,"NM_000106",46722,"chr22",42411770,42414470,"E_01_191","--",NA
"CYP2D6","chr22",42522501,42526883,"NM_001025161",46724,"chr22",42411334,42413643,"E_01_189","--",NA
"CYP2D6","chr22",42522501,42526883,"NM_001025161",46724,"chr22",42411545,42415106,"E_01_190","--",NA
"CYP2D6","chr22",42522501,42526883,"NM_001025161",46724,"chr22",42411770,42414470,"E_01_191","--",NA
"DDX6","chr11",118618473,118661657,"NM_001257191",27328,"chr11",118540533,118575295,"E_01_235","--",NA
"DDX6","chr11",118618473,118661972,"NM_004397",27326,"chr11",118540533,118575295,"E_01_235","--",NA
"DGKA","chr12",56325812,56347807,"NM_201445",30957,"chr12",56330414,56330909,"E_01_283","DGKA Enhancer ",NA
"DGKA","chr12",56325812,56347807,"NM_201444",30951,"chr12",56330414,56330909,"E_01_283","DGKA Enhancer ",NA
"DGKA","chr12",56325812,56347807,"NM_201554",30952,"chr12",56330414,56330909,"E_01_283","DGKA Enhancer ",NA
"DGKA","chr12",56324946,56347807,"NM_001345",30958,"chr12",56330414,56330909,"E_01_283","DGKA Enhancer ",NA
"DHRS4-AS1","chr14",24407940,24424321,"NR_023922",33349,"chr14",24435745,24437744,"E_01_420","--",NA
"DHRS4-AS1","chr14",24407940,24423406,"NR_023924",33345,"chr14",24435745,24437744,"E_01_420","--",NA
"DHRS4-AS1","chr14",24407940,24423406,"NR_023921",33340,"chr14",24435745,24437744,"E_01_420","--",NA
"DHRS4-AS1","chr14",24407940,24423406,"NR_023923",33346,"chr14",24435745,24437744,"E_01_420","--",NA
"DUSP1","chr5",172195093,172198203,"NM_004417",13779,"chr5",172196327,172199378,"E_01_418","--",NA
"DUSP4","chr8",29190579,29206322,"NM_057158",19470,"chr8",29203576,29214287,"E_01_419","--",NA
"DUSP4","chr8",29190579,29208267,"NM_001394",19469,"chr8",29203576,29214287,"E_01_419","--",NA
"EDN1","chr6",12290529,12297427,"NM_001955",14850,"chr6",12490001,12590000,"E_01_280","--",NA
"EDN1","chr6",12290529,12297427,"NM_001168319",14851,"chr6",12490001,12590000,"E_01_280","--",NA
"EGR2","chr10",64571756,64576126,"NM_001136177",25960,"chr10",64737033,64737909,"E_01_216","--",NA
"EGR2","chr10",64571756,64576126,"NM_001136179",25958,"chr10",64737033,64737909,"E_01_216","--",NA
"EGR2","chr10",64571756,64576126,"NM_000399",25962,"chr10",64737033,64737909,"E_01_216","--",NA
"EGR2","chr10",64571756,64578927,"NM_001136178",25959,"chr10",64737033,64737909,"E_01_216","--",NA
"EMCN","chr4",101316498,101439250,"NM_001159694",10670,"chr4",101576221,101578659,"E_01_090","GATA Enhancer",NA
"EMCN","chr4",101316498,101439250,"NM_016242",10671,"chr4",101576221,101578659,"E_01_090","GATA Enhancer",NA
"EP400","chr12",132434465,132565011,"NM_015409",30166,"chr12",131949638,131949801,"E_01_409","--",NA
"EPHB3","chr3",184279587,184300196,"NM_004443",8516,"chr3",184276288,184278287,"E_01_296","--",NA
"EPHB3","chr3",184279587,184300196,"NM_004443",8516,"chr3",184276288,184278287,"E_01_169","--",NA
"EPHX2","chr8",27348519,27402439,"NM_001979",18785,"chr8",27455904,27456103,"E_01_286","--",NA
"EPHX2","chr8",27348519,27402439,"NM_001256483",18781,"chr8",27455904,27456103,"E_01_286","--",NA
