TR.NAME,GENE.NAME,N.EXONS,N.INTRONS,TRANSCRIPT.L,EXONS.L,INTRONS.L,AV.INTRON.L,AV.EXON.L,INTRONS.dev.EXONS
NM_130440,PTPRF,33,32,92798,7739,85059,2658.09375,234.5151515,10.9909549
NM_021639,GPBP1L1,13,12,59328,3751,55577,4631.416667,288.5384615,14.81658224
NM_001194986,TRABD2B,7,6,236364,7036,229328,38221.33333,1005.142857,32.59351904
NM_002840,PTPRF,34,33,92798,7767,85031,2576.69697,228.4411765,10.94772757
NM_018150,RNF220,15,14,246438,3025,243413,17386.64286,201.6666667,80.46710744
NM_007051,FAF1,19,18,519003,2602,516401,28688.94444,136.9473684,198.4631053
NM_021080,DAB1,17,16,1252634,2597,1250037,78127.3125,152.7647059,481.3388525
NM_001193617,SCP2,15,14,124390,2682,121708,8693.428571,178.8,45.37956749
NM_001193600,SCP2,15,14,124390,2608,121782,8698.714286,173.8666667,46.69555215
NM_153035,TCEANC2,5,4,46144,4102,42042,10510.5,820.4,10.24914676
NM_002867,RAB3B,5,4,82810,12849,69961,17490.25,2569.8,5.444859522
NM_002979,SCP2,16,15,124390,2741,121649,8109.933333,171.3125,44.38124772
NM_015306,USP24,68,67,149009,10870,138139,2061.776119,159.8529412,12.70827967
NM_001193599,SCP2,15,14,124390,2668,121722,8694.428571,177.8666667,45.62293853
NM_001198687,LEPR,19,18,104725,3053,101672,5648.444444,160.6842105,33.30232558
NM_001113411,FGGY,17,16,465779,2103,463676,28979.75,123.7058824,220.4831194
NM_001198688,LEPR,19,18,100547,2954,97593,5421.833333,155.4736842,33.03757617
NM_001206739,ITGB3BP,10,9,82505,1136,81369,9041,113.6,71.62764085
NM_001145511,NFIA,11,10,385516,9337,376179,37617.9,848.8181818,40.28906501
NM_020925,CACHD1,27,26,222267,5301,216966,8344.846154,196.3333333,40.92925863
NM_003368,USP1,9,8,15094,3948,11146,1393.25,438.6666667,2.823201621
NM_001017415,USP1,9,8,15502,3518,11984,1498,390.8888889,3.406480955
NM_002303,LEPR,20,19,216843,4181,212662,11192.73684,209.05,50.86390816
NM_018291,FGGY,16,15,465779,2030,463749,30916.6,126.875,228.4477833
NM_001198689,LEPR,19,18,109741,5119,104622,5812.333333,269.4210526,20.43797617
NM_001145512,NFIA,12,11,380928,9227,371701,33791,768.9166667,40.28405766
NM_001134673,NFIA,11,10,380482,9493,370989,37098.9,863,39.08026967
NM_014288,ITGB3BP,9,8,82505,1018,81487,10185.875,113.1111111,80.04616896
NM_001017416,USP1,9,8,15502,3423,12079,1509.875,380.3333333,3.528775928
NM_005595,NFIA,10,9,380482,9400,371082,41231.33333,940,39.47680851
NM_001003680,LEPR,20,19,209762,3089,206673,10877.52632,154.45,66.90611848
NM_001003679,LEPR,20,19,214778,5155,209623,11032.78947,257.75,40.66401552
NM_020794,LRRC7,25,24,363315,6270,357045,14876.875,250.8,56.94497608
NM_173808,NEGR1,7,6,879654,5676,873978,145663,810.8571429,153.9778013
NM_001160011,ST6GALNAC3,4,3,502505,1152,501353,167117.6667,288,435.2022569
NM_005482,PIGK,11,10,130467,4636,125831,12583.1,421.4545455,27.1421484
NM_152996,ST6GALNAC3,5,4,556282,3264,553018,138254.5,652.8,169.4295343
NM_032270,LRRC8C,3,2,86452,7210,79242,39621,2403.333333,10.99056865
NM_012128,CLCA4,14,13,33675,3222,30453,2342.538462,230.1428571,9.451582868
NM_001134445,DDAH1,7,6,259880,4025,255855,42642.5,575,63.56645963
NM_001006605,FAM69A,5,4,119364,2608,116756,29189,521.6,44.76840491
NM_001252273,FAM69A,5,4,128795,878,127917,31979.25,175.6,145.691344
NM_002061,GCLM,7,6,22424,3081,19343,3223.833333,440.1428571,6.278156443
NM_001252269,FAM69A,4,3,119364,2472,116892,38964,618,47.28640777
NM_001252270,FAM69A,4,3,119364,2430,116934,38978,607.5,48.12098765
NM_001252271,FAM69A,5,4,34992,2651,32341,8085.25,530.2,12.19954734
NM_001113228,NTNG1,8,7,341848,3182,338666,48380.85714,397.75,106.4318039
NM_001113226,NTNG1,8,7,341848,3359,338489,48355.57143,419.875,100.7707651
NM_014917,NTNG1,6,5,341732,2938,338794,67758.8,489.6666667,115.3144997
NM_001042679,RHOC,6,5,5931,1301,4630,926,216.8333333,3.558800922
NM_002884,RAP1A,8,7,93698,1820,91878,13125.42857,227.5,50.48241758
NM_006496,GNAI3,9,8,47270,4741,42529,5316.125,526.7777778,8.970470365
NM_001204269,KCNA2,5,4,37896,1964,35932,8983,392.8,18.29531568
NM_001042678,RHOC,5,4,6278,1333,4945,1236.25,266.6,3.709677419
NM_006608,PHTF1,18,17,61955,3262,58693,3452.529412,181.2222222,17.99294911
NM_175744,RHOC,6,5,6278,1403,4875,975,233.8333333,3.474697078
NM_001010935,RAP1A,9,8,93698,1915,91783,11472.875,212.7777778,47.92845953
NM_001200001,NOTCH2,22,21,134583,4333,130250,6202.380952,196.9545455,30.06000462
NM_024408,NOTCH2,34,33,158143,11500,146643,4443.727273,338.2352941,12.75156522
NM_006784,WDR3,27,26,30679,3904,26775,1029.807692,144.5925926,6.85835041
NM_001037675,NBPF9,21,20,215450,4546,210904,10545.2,216.4761905,46.3933128
NM_001201326,PDZK1,7,6,36542,1903,34639,5773.166667,271.8571429,18.20231214
NM_001201325,PDZK1,9,8,36542,2238,34304,4288,248.6666667,15.3279714
NM_002614,PDZK1,10,9,36542,2310,34232,3803.555556,231,14.81904762
NM_001039703,NBPF10,86,85,1172752,11002,1161750,13667.64706,127.9302326,105.5944374
NM_001037501,NBPF8,20,19,215450,4642,210808,11095.15789,232.1,45.41318397
NM_001037501,NBPF8,20,19,772608,4645,767963,40419.10526,232.25,165.3311087
NM_001277444,NBPF9,25,24,755347,5054,750293,31262.20833,202.16,148.4552829
NM_020205,OTUD7B,12,11,70459,6427,64032,5821.090909,535.5833333,9.962968726
NM_001278267,NBPF20,131,130,2320935,17750,2303185,17716.80769,135.4961832,129.7569014
NM_001278191,TPM3,8,7,22919,3066,19853,2836.142857,383.25,6.475212003
NM_001278190,TPM3,7,6,27947,3156,24791,4131.833333,450.8571429,7.855196451
NM_001278189,TPM3,9,8,27947,3300,24647,3080.875,366.6666667,7.468787879
NM_001278188,TPM3,7,6,27947,3085,24862,4143.666667,440.7142857,8.058995138
NM_153649,TPM3,8,7,27947,3220,24727,3532.428571,402.5,7.679192547
NM_152263,TPM3,10,9,30324,7109,23215,2579.444444,710.9,3.265578844
NM_001043353,TPM3,8,7,27947,4547,23400,3342.857143,568.375,5.146250275
NM_001043352,TPM3,8,7,27947,4547,23400,3342.857143,568.375,5.146250275
NM_001043351,TPM3,8,7,27947,3220,24727,3532.428571,402.5,7.679192547
NM_015327,SMG5,22,21,33607,4585,29022,1382,208.4090909,6.329770992
NM_002585,PBX1,9,8,292465,6912,285553,35694.125,768,41.31264468
NM_001204963,PBX1,9,8,292465,4156,288309,36038.625,461.7777778,69.37175168
NM_001204961,PBX1,8,7,292465,6798,285667,40809.57143,849.75,42.02221242
NM_001136219,FCGR2A,7,6,14157,2436,11721,1953.5,348,4.811576355
NM_021642,FCGR2A,7,6,14157,2433,11724,1954,347.5714286,4.818742293
NM_001163629,MROH9,22,21,129296,3187,126109,6005.190476,144.8636364,39.56981487
NM_015569,DNM3,21,20,571241,7668,563573,28178.65,365.1428571,73.4967397
NM_001278252,DNM3,15,14,291916,2357,289559,20682.78571,157.1333333,122.8506576
NM_001136127,DNM3,20,19,571241,7655,563586,29662.42105,382.75,73.62325278
NM_022093,TNN,19,18,80210,5027,75183,4176.833333,264.5789474,14.95583847
NM_025063,MROH9,15,14,63312,2272,61040,4360,151.4666667,26.86619718
NM_005092,TNFSF18,3,2,9745,751,8994,4497,250.3333333,11.97603196
NM_201568,SMG7,22,21,81824,5810,76014,3619.714286,264.0909091,13.08330465
NM_001174061,SMG7,22,21,81824,6066,75758,3607.52381,275.7272727,12.48895483
NM_201569,SMG7,23,22,81824,4802,77022,3501,208.7826087,16.03956685
NM_021165,BRINP2,8,7,110927,3566,107361,15337.28571,445.75,30.1068424
NM_032360,ACBD6,8,7,214672,1624,213048,30435.42857,203,131.1871921
NM_001137669,RGSL1,22,21,110478,3782,106696,5080.761905,171.9090909,28.21152829
NM_003101,SOAT1,16,15,64967,6938,58029,3868.6,433.625,8.363937734
NM_173156,SMG7,22,21,81824,5948,75876,3613.142857,270.3636364,12.75655683
NM_170692,RASAL2,18,17,385786,10899,374887,22052.17647,605.5,34.39645839
NM_001252512,SOAT1,15,14,64967,6811,58156,4154,454.0666667,8.538540596
NM_001252511,SOAT1,15,14,64967,6878,58089,4149.214286,458.5333333,8.445623728
NM_000963,PTGS2,10,9,8617,4503,4114,457.1111111,450.3,0.913613147
NM_194314,ZBTB41,10,9,46860,8484,38376,4264,848.4,4.523338048
NM_133494,NEK7,10,9,165442,4142,161300,17922.22222,414.2,38.94253984
NM_001271887,SRGAP2D,6,5,22703,1073,21630,4326,178.8333333,20.1584343
NM_001271872,SRGAP2C,7,6,65103,2468,62635,10439.16667,352.5714286,25.37884927
NM_001271870,SRGAP2B,7,6,63872,1237,62635,10439.16667,176.7142857,50.63459984
NM_001167858,PPP1R12B,9,8,89542,1722,87820,10977.5,191.3333333,50.99883856
NM_001167857,PPP1R12B,10,9,89542,1836,87706,9745.111111,183.6,47.77015251
NM_002481,PPP1R12B,24,23,239869,11132,228737,9945.086957,463.8333333,20.54770032
NM_015326,SRGAP2,20,19,121585,5994,115591,6083.736842,299.7,19.28445112
NM_001170637,SRGAP2,20,19,121585,5991,115594,6083.894737,299.55,19.29460858
NM_001170580,HHAT,12,11,347000,3642,343358,31214.36364,303.5,94.27732015
NM_206595,ESRRG,8,7,586401,5253,581148,83021.14286,656.625,110.6316391
NM_206594,ESRRG,9,8,586401,5372,581029,72628.625,596.8888889,108.1587863
NM_001134285,ESRRG,9,8,634511,5328,629183,78647.875,592,118.0899024
NM_001122834,HHAT,12,11,348044,3587,344457,31314.27273,298.9166667,96.02927237
NM_018194,HHAT,12,11,347390,3653,343737,31248.81818,304.4166667,94.0971804
NM_001170564,HHAT,10,9,348044,3174,344870,38318.88889,317.4,108.6546944
NM_001243513,ESRRG,8,7,436429,5290,431139,61591.28571,661.25,81.50075614
NM_001243512,ESRRG,9,8,436429,5271,431158,53894.75,585.6666667,81.79814077
NM_001243511,ESRRG,7,6,436431,5115,431316,71886,730.7142857,84.32375367
NM_001243510,ESRRG,8,7,436431,5234,431197,61599.57143,654.25,82.38383645
NM_001243509,ESRRG,9,8,573726,5706,568020,71002.5,634,99.54784437
NM_001243507,ESRRG,8,7,573726,5614,568112,81158.85714,701.75,101.1955825
NM_001243506,ESRRG,7,6,586401,4836,581565,96927.5,690.8571429,120.2574442
NM_001243505,ESRRG,7,6,586610,4766,581844,96974,680.8571429,122.0822493
NM_001170587,HHAT,11,10,347390,3518,343872,34387.2,319.8181818,97.74644684
NM_018664,BATF3,3,2,13570,984,12586,6293,328,12.79065041
NM_206933,USH2A,72,71,800504,18955,781549,11007.73239,263.2638889,41.23181219
NM_001170588,HHAT,11,10,347390,3457,343933,34393.3,314.2727273,99.48886318
NM_001373,DNAH14,84,83,469642,13872,455770,5491.204819,165.1428571,32.85539216
NM_004446,EPRS,32,31,78060,5047,73013,2355.258065,157.71875,14.46661383
NM_145214,TRIM11,6,5,13142,2697,10445,2089,449.5,3.872821654
NM_018230,NUP133,26,25,67046,4196,62850,2514,161.3846154,14.978551
NM_002924,RGS7,18,17,581718,2513,579205,34070.88235,139.6111111,230.4834859
NM_000254,MTR,33,32,108702,10591,98111,3065.96875,320.9393939,9.263620055
NM_001282773,RGS7,16,15,581718,2379,579339,38622.6,148.6875,243.5220681
NM_000081,LYST,53,52,205898,13550,192348,3699,255.6603774,14.19542435
NM_001282778,RGS7,17,16,581718,2458,579260,36203.75,144.5882353,235.6631408
NM_001282775,RGS7,18,17,581718,2540,579178,34069.29412,141.1111111,228.0228346
NM_032752,ZNF496,9,8,31425,2437,28988,3623.5,270.7777778,11.89495281
NM_018012,KIF26B,15,14,548143,7302,540841,38631.5,486.8,74.06751575
NM_022743,SMYD3,12,11,668074,1475,666599,60599.90909,122.9166667,451.9315254
NM_001167740,SMYD3,12,11,758004,1647,756357,68759.72727,137.25,459.2331512
NM_001001918,OR14C36,1,0,940,940,NA,NA,940,NA
NM_001198994,NADK,14,13,28839,3667,25172,1936.307692,261.9285714,6.864466867
NM_001198993,NADK,12,11,27628,3178,24450,2222.727273,264.8333333,7.693517936
NM_033493,CDK11B,20,19,84677,2440,82237,4328.263158,122,33.70368852
NM_033492,CDK11B,20,19,84677,2467,82210,4326.842105,123.35,33.32387515
NM_033489,CDK11B,21,20,84677,2521,82156,4107.8,120.047619,32.5886553
NM_033488,CDK11B,21,20,84677,2488,82189,4109.45,118.4761905,33.03416399
NM_033487,CDK11B,18,17,84677,2211,82466,4850.941176,122.8333333,37.29805518
NM_033486,CDK11B,20,19,84677,2473,82204,4326.526316,123.65,33.24059846
NM_017900,AURKAIP1,4,3,1710,994,716,238.6666667,248.5,0.720321932
NM_001014980,FAM132A,8,7,4278,1051,3227,461,131.375,3.070409134
NM_023018,NADK,12,11,27240,3247,23993,2181.181818,270.5833333,7.389282415
NM_003036,SKI,7,6,81520,5714,75806,12634.33333,816.2857143,13.26671334
NM_001242672,TTC34,7,6,133425,1782,131643,21940.5,254.5714286,73.87373737
NM_003820,TNFRSF14,8,7,7464,1714,5750,821.4285714,214.25,3.354725788
NM_152492,CCDC27,12,11,19246,2186,17060,1550.909091,182.1666667,7.8042086
NM_001282669,DFFB,7,6,28164,3121,25043,4173.833333,445.8571429,8.024030759
NM_001409,MEGF6,37,36,123555,7476,116079,3224.416667,202.0540541,15.52688604
NM_004402,DFFB,7,6,28164,3049,25115,4185.833333,435.5714286,8.237126927
NM_001042478,AJAP1,6,5,122751,2076,120675,24135,346,58.12861272
NM_018836,AJAP1,6,5,128748,2929,125819,25163.8,488.1666667,42.95629908
NM_015102,NPHP4,30,29,129665,5034,124631,4297.62069,167.8,24.75784664
NM_001199863,KCNAB2,14,13,55081,3688,51393,3953.307692,263.4285714,13.93519523
NM_001199861,KCNAB2,16,15,108897,4282,104615,6974.333333,267.625,24.4313405
NM_001199862,KCNAB2,16,15,55274,4172,51102,3406.8,260.75,12.24880153
NM_001199860,KCNAB2,16,15,66907,4298,62609,4173.933333,268.625,14.56700791
NM_003636,KCNAB2,16,15,75182,4224,70958,4730.533333,264,16.79876894
NM_172130,KCNAB2,15,14,75182,4181,71001,5071.5,278.7333333,16.98182253
NM_001265592,PLEKHG5,22,21,31006,4816,26190,1247.142857,218.9090909,5.438122924
NM_198681,PLEKHG5,22,21,53971,5295,48676,2317.904762,240.6818182,9.192823418
NM_001042663,PLEKHG5,22,21,31334,4783,26551,1264.333333,217.4090909,5.551118545
NM_007274,ACOT7,9,8,129496,1814,127682,15960.25,201.5555556,70.38699008
NM_001242701,CAMTA1,4,3,102879,993,101886,33962,248.25,102.6042296
NM_181864,ACOT7,9,8,121553,1634,119919,14989.875,181.5555556,73.38984088
NM_001561,TNFRSF9,9,8,27296,6002,21294,2661.75,666.8888889,3.547817394
NM_001289861,PER3,23,22,60753,6288,54465,2475.681818,273.3913043,8.661736641
NM_001289862,PER3,22,21,60753,6344,54409,2590.904762,288.3636364,8.576450189
NM_001289863,PER3,23,22,60753,6267,54486,2476.636364,272.4782609,8.694112015
NM_001289864,PER3,22,21,60753,6402,54351,2588.142857,291,8.489690722
NM_016831,PER3,22,21,60753,6317,54436,2592.190476,287.1363636,8.617381669
NM_024980,GPR157,4,3,24755,1157,23598,7866,289.25,20.39585134
NM_001042681,RERE,23,22,465237,8032,457205,20782.04545,349.2173913,56.92293327
NM_012102,RERE,24,23,465237,8218,457019,19870.3913,342.4166667,55.61194938
NM_004285,H6PD,5,4,36533,9120,27413,6853.25,1824,3.005811404
NM_001282587,H6PD,5,4,31493,9032,22461,5615.25,1806.4,2.486824624
NM_015074,KIF1B,47,46,170899,10628,160271,3484.152174,226.1276596,15.08007151
NM_183416,KIF1B,21,20,97893,7685,90208,4510.4,365.952381,11.73819128
NM_006048,UBE4B,27,26,148257,5519,142738,5489.923077,204.4074074,25.86301866
NM_020248,CTNNBIP1,6,5,61984,3001,58983,11796.6,500.1666667,19.65444852
NM_014944,CLSTN1,18,17,95473,5180,90293,5311.352941,287.7777778,17.43108108
NM_001105562,UBE4B,28,27,148257,5907,142350,5272.222222,210.9642857,24.09852717
NM_001009566,CLSTN1,19,18,95473,5211,90262,5014.555556,274.2631579,17.32143543
NM_001012329,CTNNBIP1,5,4,61984,2966,59018,14754.5,593.2,19.89817937
NM_001079843,CASZ1,21,20,160069,7980,152089,7604.45,380,19.05877193
NM_001170754,C1orf127,13,12,35566,2774,32792,2732.666667,213.3846154,11.82119683
NM_002685,EXOSC10,24,23,33264,2756,30508,1326.434783,114.8333333,11.06966618
NM_017766,CASZ1,16,15,149472,4454,145018,9667.866667,278.375,32.55904805
NM_004565,PEX14,9,8,155814,1935,153879,19234.875,215,79.52403101
NM_004958,MTOR,58,57,156022,8783,147239,2583.140351,151.4310345,16.76408972
NM_001001998,EXOSC10,25,24,33264,2832,30432,1268,113.28,10.74576271
NM_001281430,TNFRSF8,14,13,80832,3609,77223,5940.230769,257.7857143,21.39733998
NM_001127660,MFN2,18,17,33336,4550,28786,1693.294118,252.7777778,6.326593407
NM_001040195,AGTRAP,4,3,14688,1131,13557,4519,282.75,11.9867374
NM_001243,TNFRSF8,15,14,80832,3701,77131,5509.357143,246.7333333,20.84058363
NM_001040197,AGTRAP,6,5,14688,1286,13402,2680.4,214.3333333,10.4214619
NM_001040196,AGTRAP,6,5,14688,1265,13423,2684.6,210.8333333,10.61106719
NM_001040194,AGTRAP,5,4,14688,1167,13521,3380.25,233.4,11.58611825
NM_014874,MFN2,19,18,33336,4696,28640,1591.111111,247.1578947,6.098807496
NM_020350,AGTRAP,5,4,14688,1188,13500,3375,237.6,11.36363636
NM_015378,VPS13D,70,69,281987,16398,265589,3849.115942,234.2571429,16.19642639
NM_018156,VPS13D,69,68,281987,16322,265665,3906.838235,236.5507246,16.27649798
NM_001013630,AADACL4,4,3,22533,1579,20954,6984.666667,394.75,13.27042432
NM_201628,KAZN,15,14,519333,6037,513296,36664,402.4666667,85.02501242
NM_015209,KAZN,8,7,469440,3913,465527,66503.85714,489.125,118.969333
NM_001018001,KAZN,8,7,138357,3651,134706,19243.71429,456.375,36.89564503
NM_001017999,KAZN,8,7,122238,3661,118577,16939.57143,457.625,32.38923791
NM_052929,FHAD1,31,30,150856,5121,145735,4857.833333,165.1935484,28.45830892
NM_001018000,KAZN,8,7,144028,3850,140178,20025.42857,481.25,36.40987013
NM_015001,SPEN,15,14,92593,12242,80351,5739.357143,816.1333333,6.563551707
NM_001287811,DNAJC16,14,13,44922,5898,39024,3001.846154,421.2857143,6.616480163
NM_015291,DNAJC16,15,14,44922,6084,38838,2774.142857,405.6,6.383629191
NM_018994,FBXO42,10,9,102391,2986,99405,11045,298.6,33.29035499
NM_017459,MFAP2,9,8,7084,1091,5993,749.125,121.2222222,5.493125573
NM_001135247,MFAP2,9,8,7084,1088,5996,749.5,120.8888889,5.511029412
NM_002403,MFAP2,9,8,6176,1110,5066,633.25,123.3333333,4.563963964
NM_013358,PADI1,16,15,40882,3863,37019,2467.933333,241.4375,9.582966606
NM_007365,PADI2,16,15,52694,4379,48315,3221,273.6875,11.03334095
NM_017940,NBPF1,29,28,51180,5976,45204,1614.428571,206.0689655,7.564257028
NM_001135248,MFAP2,9,8,6176,1107,5069,633.625,123,4.579042457
NM_030812,ACTL8,3,2,71752,1864,69888,34944,621.3333333,37.49356223
NM_001011722,ARHGEF10L,27,26,117324,4288,113036,4347.538462,158.8148148,26.36100746
NM_032880,IGSF21,10,9,270739,1954,268785,29865,195.4,137.5562948
NM_018125,ARHGEF10L,29,28,158042,4523,153519,5482.821429,155.9655172,33.94185275
NM_020765,UBR4,106,105,135748,15988,119760,1140.571429,150.8301887,7.490617963
NM_001282162,CAPZB,9,8,145936,2100,143836,17979.5,233.3333333,68.49333333
NM_001206541,CAPZB,9,8,146870,2208,144662,18082.75,245.3333333,65.51721014
NM_001136265,IFFO2,9,8,52054,5844,46210,5776.25,649.3333333,7.907255305
NM_013945,PAX7,8,7,105134,2262,102872,14696,282.75,45.47833775
NM_002584,PAX7,8,7,105134,2268,102866,14695.14286,283.5,45.35537919
NM_001206540,CAPZB,10,9,146870,1902,144968,16107.55556,190.2,76.21871714
NM_001135254,PAX7,9,8,117862,6062,111800,13975,673.5555556,18.44275817
NM_004930,CAPZB,9,8,146870,1788,145082,18135.25,198.6666667,81.14205817
NM_181719,TMCO4,16,15,117706,2990,114716,7647.733333,186.875,38.36655518
NM_001177520,ALPL,10,9,69049,2325,66724,7413.777778,232.5,28.69849462
NM_001127501,ALPL,11,10,69049,2442,66607,6660.7,222,27.27559378
NM_001198803,EIF4G3,15,14,233515,2212,231303,16521.64286,147.4666667,104.5673599
NM_001198802,EIF4G3,35,34,370598,6460,364138,10709.94118,184.5714286,56.36811146
NM_016287,HP1BP3,13,12,44012,3934,40078,3339.833333,302.6153846,10.18759532
NM_001198801,EIF4G3,35,34,370598,6550,364048,10707.29412,187.1428571,55.57984733
NM_000478,ALPL,12,11,69049,2608,66441,6040.090909,217.3333333,25.47584356
NM_001113348,ECE1,19,18,128296,5155,123141,6841.166667,271.3157895,23.88768186
NM_003760,EIF4G3,32,31,305093,6073,299020,9645.806452,189.78125,49.23760909
NM_001039802,CDC42,7,6,40318,2301,38017,6336.166667,328.7142857,16.52194698
NM_014870,ZBTB40,18,17,79308,8722,70586,4152.117647,484.5555556,8.092868608
NM_005529,HSPG2,97,96,115015,14385,100630,1048.229167,148.2989691,6.995481404
NM_044472,CDC42,6,5,38178,1519,36659,7331.8,253.1666667,24.13364055
NM_001013693,LDLRAD2,5,4,12958,4017,8941,2235.25,803.4,2.225790391
NM_001083621,ZBTB40,19,18,79308,9011,70297,3905.388889,474.2631579,7.801242925
NM_001791,CDC42,6,5,40318,2174,38144,7628.8,362.3333333,17.54553818
NM_033631,LUZP1,5,4,84837,8492,76345,19086.25,1698.4,8.990226095
NM_003196,TCEA3,11,10,43708,1597,42111,4211.1,145.1818182,26.36881653
NM_001142546,LUZP1,4,3,84837,8425,76412,25470.66667,2106.25,9.069673591
NM_004091,E2F2,7,6,24794,5200,19594,3265.666667,742.8571429,3.768076923
NM_001010980,NCMAP,4,3,53253,3994,49259,16419.66667,998.5,12.33324987
NM_173065,IFNLR1,6,5,33120,4438,28682,5736.4,739.6666667,6.462821091
NM_020448,NIPAL3,12,11,57230,5438,51792,4708.363636,453.1666667,9.524089739
NM_173064,IFNLR1,7,6,33120,4483,28637,4772.833333,640.4285714,6.387909882
NM_170743,IFNLR1,7,6,33120,4570,28550,4758.333333,652.8571429,6.24726477
NM_020485,RHCE,10,9,58625,1628,56997,6333,162.8,35.01044226
NM_138618,RHCE,9,8,58625,1493,57132,7141.5,165.8888889,38.26657736
