#Name (cmd = mergePeaks /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.5/bg.clean.pos /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.5/target.clean..pos -d given -cobound 1 -prefix /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.5/0.503085142773674.2.tmp)	chr	start	end	strand	stat	stat2	/t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.5/target.clean..pos
BG34554-chopped1	chr10	10400002	10440000	+	0.000	0.000	2469
BG17543-chopped1	chr14	42760002	42800000	+	0.000	0.000	2777
BG9044-chopped1	chr5	90400002	90440000	+	0.000	0.000	3362
BG9926-chopped1	chr11	84080002	84120000	+	0.000	0.000	266
BG15503-chopped1	chr9	9920002	9960000	+	0.000	0.000	1490
BG6239-chopped1	chr10	67080002	67120000	+	0.000	0.000	511
BG11497-chopped1	chr9	127280002	127320000	+	0.000	0.000	5198
BG22179-chopped1	chr8	33640002	33680000	+	0.000	0.000	4664
BG16541-chopped1	chr15	95880002	95920000	+	0.000	0.000	3152
BG7277-chopped1	chr12	39400002	39440000	+	0.000	0.000	2233
BG18381-chopped1	chr10	66040002	66080000	+	0.000	0.000	5632
BG10695-chopped1	chr4	116280002	116320000	+	0.000	0.000	3002
BG19255-chopped1	chr2	222840002	222880000	+	0.000	0.000	1415
BG15576-chopped1	chr12	114360002	114400000	+	0.000	0.000	5175
BG7077-chopped1	chr2	186280002	186320000	+	0.000	0.000	5846
BG33270-chopped1	chr13	32280002	32320000	+	0.000	0.000	447
BG26503-chopped1	chr10	21400002	21440000	+	0.000	0.000	5100
BG1803-chopped1	chr4	10360002	10400000	+	0.000	0.000	6138
BG8642-chopped1	chr6	20400002	20440000	+	0.000	0.000	909
BG1721-chopped1	chr1	12840002	12880000	+	0.000	0.000	5252
BG30265-chopped1	chr4	165360002	165400000	+	0.000	0.000	2236
BG17488-chopped1	chr15	26960002	27000000	+	0.000	0.000	4711
BG21777-chopped1	chr4	120960002	121000000	+	0.000	0.000	1533
BG4235-chopped1	chr12	24720002	24760000	+	0.000	0.000	2563
BG2841-chopped1	chrX	14240002	14280000	+	0.000	0.000	4558
BG25256-chopped1	chr20	58400002	58440000	+	0.000	0.000	2741
BG33224-chopped1	chr10	108720002	108760000	+	0.000	0.000	908
BG4035-chopped1	chr12	78520002	78560000	+	0.000	0.000	621
BG27341-chopped1	chr12	93680002	93720000	+	0.000	0.000	2330
BG34990-chopped1	chr3	30520002	30560000	+	0.000	0.000	2635
BG6229-chopped1	chr14	34680002	34720000	+	0.000	0.000	3337
BG13772-chopped1	chr8	62120002	62160000	+	0.000	0.000	5296
BG20775-chopped1	chr9	84840002	84880000	+	0.000	0.000	1838
BG19527-chopped1	chr14	61720002	61760000	+	0.000	0.000	2776
BG3233-chopped1	chr9	84960002	85000000	+	0.000	0.000	4799
BG17051-chopped1	chr4	12760002	12800000	+	0.000	0.000	2089
BG247-chopped1	chr12	760002	800000	+	0.000	0.000	3459
BG6829-chopped1	chr4	95040002	95080000	+	0.000	0.000	3711
BG10130-chopped1	chr4	24120002	24160000	+	0.000	0.000	588
BG21449-chopped1	chr4	77240002	77280000	+	0.000	0.000	2636
BG25374-chopped1	chr4	168160002	168200000	+	0.000	0.000	4032
BG3833-chopped1	chr5	123360002	123400000	+	0.000	0.000	4906
BG33897-chopped1	chr1	163080002	163120000	+	0.000	0.000	4647
BG15811-chopped1	chr4	148880002	148920000	+	0.000	0.000	3342
BG13526-chopped1	chr13	62880002	62920000	+	0.000	0.000	769
BG15284-chopped1	chr12	13800002	13840000	+	0.000	0.000	1855
BG33060-chopped1	chr2	220640002	220680000	+	0.000	0.000	3742
BG5827-chopped1	chr13	92440002	92480000	+	0.000	0.000	2377
BG32540-chopped1	chr3	28920002	28960000	+	0.000	0.000	2161
BG29007-chopped1	chr7	14760002	14800000	+	0.000	0.000	398
BG7030-chopped1	chr4	109000002	109040000	+	0.000	0.000	1621
BG2586-chopped1	chr4	53360002	53400000	+	0.000	0.000	3585
BG16203-chopped1	chr7	87600002	87640000	+	0.000	0.000	5051
BG12524-chopped1	chr10	5360002	5400000	+	0.000	0.000	5320
BG10157-chopped1	chr3	53800002	53840000	+	0.000	0.000	5728
BG5345-chopped1	chr1	165800002	165840000	+	0.000	0.000	5174
BG29971-chopped1	chr10	129880002	129920000	+	0.000	0.000	1442
BG3305-chopped1	chr6	110400002	110440000	+	0.000	0.000	5944
BG7430-chopped1	chr9	81320002	81360000	+	0.000	0.000	2510
BG1584-chopped1	chr9	114760002	114800000	+	0.000	0.000	413
BG11722-chopped1	chr5	60360002	60400000	+	0.000	0.000	5740
BG15838-chopped1	chr4	60160002	60200000	+	0.000	0.000	5653
BG3223-chopped1	chr12	85760002	85800000	+	0.000	0.000	5211
BG9624-chopped1	chr17	40240002	40280000	+	0.000	0.000	5673
BG16276-chopped1	chr16	62680002	62720000	+	0.000	0.000	6031
BG11195-chopped1	chr3	61480002	61520000	+	0.000	0.000	1476
BG25564-chopped1	chr4	55800002	55840000	+	0.000	0.000	1316
BG14236-chopped1	chr13	95000002	95040000	+	0.000	0.000	904
BG18361-chopped1	chr9	43760002	43800000	+	0.000	0.000	1729
BG9424-chopped1	chr11	98760002	98800000	+	0.000	0.000	1355
BG21885-chopped1	chr2	144480002	144520000	+	0.000	0.000	2894
BG30727-chopped1	chr21	26600002	26640000	+	0.000	0.000	1802
BG20283-chopped1	chr1	214720002	214760000	+	0.000	0.000	1500
BG27003-chopped1	chr14	40200002	40240000	+	0.000	0.000	1536
BG26684-chopped1	chr1	186240002	186280000	+	0.000	0.000	4155
BG34652-chopped1	chr4	118960002	119000000	+	0.000	0.000	3264
BG10720-chopped1	chr4	79560002	79600000	+	0.000	0.000	2253
BG14836-chopped1	chr1	214480002	214520000	+	0.000	0.000	5066
BG23242-chopped1	chr6	23040002	23080000	+	0.000	0.000	5140
BG33050-chopped1	chr12	78840002	78880000	+	0.000	0.000	5048
BG33932-chopped1	chr7	144280002	144320000	+	0.000	0.000	6510
BG7657-chopped1	chr6	80840002	80880000	+	0.000	0.000	4398
BG24562-chopped1	chr12	94400002	94440000	+	0.000	0.000	5495
BG32085-chopped1	chr18	25240002	25280000	+	0.000	0.000	4481
BG11840-chopped1	chr4	12680002	12720000	+	0.000	0.000	6133
BG2576-chopped1	chr14	42040002	42080000	+	0.000	0.000	27
BG29998-chopped1	chr7	51760002	51800000	+	0.000	0.000	4316
BG9742-chopped1	chr3	37160002	37200000	+	0.000	0.000	1113
BG12269-chopped1	chr18	3880002	3920000	+	0.000	0.000	2220
BG4215-chopped1	chr15	37480002	37520000	+	0.000	0.000	3560
BG17268-chopped1	chr4	29400002	29440000	+	0.000	0.000	4016
BG4661-chopped1	chr7	14240002	14280000	+	0.000	0.000	1376
BG15874-chopped1	chr4	135920002	135960000	+	0.000	0.000	905
BG5535-chopped1	chr7	70160002	70200000	+	0.000	0.000	5390
BG26556-chopped1	chr9	66480002	66520000	+	0.000	0.000	6064
BG4015-chopped1	chr4	173680002	173720000	+	0.000	0.000	2386
BG2621-chopped1	chr3	138160002	138200000	+	0.000	0.000	4426
BG14708-chopped1	chr9	119640002	119680000	+	0.000	0.000	303
BG33559-chopped1	chr1	97880002	97920000	+	0.000	0.000	4067
BG24962-chopped1	chr2	135440002	135480000	+	0.000	0.000	462
BG8940-chopped1	chr4	126240002	126280000	+	0.000	0.000	2932
BG25836-chopped1	chr6	148120002	148160000	+	0.000	0.000	782
BG22040-chopped1	chr10	51800002	51840000	+	0.000	0.000	3121
BG22595-chopped1	chr1	76520002	76560000	+	0.000	0.000	3429
BG30563-chopped1	chr13	57880002	57920000	+	0.000	0.000	248
BG10747-chopped1	chr1	72280002	72320000	+	0.000	0.000	2911
BG22840-chopped1	chr6	122080002	122120000	+	0.000	0.000	1542
BG11512-chopped1	chr9	30360002	30400000	+	0.000	0.000	483
BG34924-chopped1	chr4	160800002	160840000	+	0.000	0.000	5042
BG21320-chopped1	chr9	3200002	3240000	+	0.000	0.000	5372
BG17913-chopped1	chr13	31480002	31520000	+	0.000	0.000	2435
BG21429-chopped1	chr6	85040002	85080000	+	0.000	0.000	4971
BG14226-chopped1	chr7	144400002	144440000	+	0.000	0.000	937
BG13270-chopped1	chr2	103440002	103480000	+	0.000	0.000	3522
BG7047-chopped1	chr3	176400002	176440000	+	0.000	0.000	6095
BG18151-chopped1	chr9	19600002	19640000	+	0.000	0.000	1083
BG16866-chopped1	chr7	12600002	12640000	+	0.000	0.000	4714
BG29715-chopped1	chr15	35120002	35160000	+	0.000	0.000	2321
BG1892-chopped1	chr11	103280002	103320000	+	0.000	0.000	2398
BG11139-chopped1	chr1	55760002	55800000	+	0.000	0.000	1907
BG3086-chopped1	chr8	49840002	49880000	+	0.000	0.000	1833
BG22267-chopped1	chr7	15120002	15160000	+	0.000	0.000	2959
BG30235-chopped1	chr7	39640002	39680000	+	0.000	0.000	4461
BG34360-chopped1	chr7	108040002	108080000	+	0.000	0.000	6075
BG23587-chopped1	chr2	140640002	140680000	+	0.000	0.000	585
BG31555-chopped1	chr5	15840002	15880000	+	0.000	0.000	1273
BG10419-chopped1	chr3	59240002	59280000	+	0.000	0.000	58
BG12259-chopped1	chr8	73560002	73600000	+	0.000	0.000	3409
BG34160-chopped1	chr4	163040002	163080000	+	0.000	0.000	4975
BG32875-chopped1	chr5	44440002	44480000	+	0.000	0.000	6237
BG3686-chopped1	chr18	65520002	65560000	+	0.000	0.000	44
BG19343-chopped1	chr3	178240002	178280000	+	0.000	0.000	1839
BG2611-chopped1	chr12	118000002	118040000	+	0.000	0.000	918
BG25908-chopped1	chr16	54920002	54960000	+	0.000	0.000	652
BG26346-chopped1	chr1	102760002	102800000	+	0.000	0.000	2686
BG28186-chopped1	chr21	25440002	25480000	+	0.000	0.000	3223
BG12222-chopped1	chr1	73880002	73920000	+	0.000	0.000	4956
BG1564-chopped1	chr9	23080002	23120000	+	0.000	0.000	5672
BG4278-chopped1	chr4	123840002	123880000	+	0.000	0.000	2178
BG27911-chopped1	chr5	6720002	6760000	+	0.000	0.000	1268
BG14862-chopped1	chr8	99520002	99560000	+	0.000	0.000	3224
BG17903-chopped1	chr12	126200002	126240000	+	0.000	0.000	5451
BG23259-chopped1	chr3	182200002	182240000	+	0.000	0.000	5249
BG18341-chopped1	chr13	92360002	92400000	+	0.000	0.000	1360
BG7119-chopped1	chr2	146560002	146600000	+	0.000	0.000	3040
BG12822-chopped1	chr7	90200002	90240000	+	0.000	0.000	1807
BG7683-chopped1	chr6	162400002	162440000	+	0.000	0.000	6027
BG15536-chopped1	chr1	180440002	180480000	+	0.000	0.000	393
BG32993-chopped1	chr12	84920002	84960000	+	0.000	0.000	5998
BG18141-chopped1	chr11	99440002	99480000	+	0.000	0.000	3316
BG20263-chopped1	chr1	99600002	99640000	+	0.000	0.000	1969
BG19015-chopped1	chr4	187560002	187600000	+	0.000	0.000	3404
BG9759-chopped1	chr20	12120002	12160000	+	0.000	0.000	2991
BG24379-chopped1	chr4	164200002	164240000	+	0.000	0.000	5600
BG17621-chopped1	chr8	69480002	69520000	+	0.000	0.000	4366
BG32347-chopped1	chr3	26000002	26040000	+	0.000	0.000	3905
BG381-chopped1	chr4	178640002	178680000	+	0.000	0.000	3696
BG29705-chopped1	chr16	62480002	62520000	+	0.000	0.000	538
BG12540-chopped1	chr5	55760002	55800000	+	0.000	0.000	1643
BG10255-chopped1	chr4	31840002	31880000	+	0.000	0.000	6068
BG34432-chopped1	chr12	122800002	122840000	+	0.000	0.000	2871
BG30871-chopped1	chr2	157720002	157760000	+	0.000	0.000	3953
BG11575-chopped1	chr7	25600002	25640000	+	0.000	0.000	3192
BG5361-chopped1	chr12	93160002	93200000	+	0.000	0.000	2385
BG18741-chopped1	chr11	83880002	83920000	+	0.000	0.000	2578
BG3321-chopped1	chr6	89000002	89040000	+	0.000	0.000	2217
BG20217-chopped1	chr2	157160002	157200000	+	0.000	0.000	3781
BG32310-chopped1	chr2	84400002	84440000	+	0.000	0.000	6079
BG15854-chopped1	chr6	111840002	111880000	+	0.000	0.000	697
BG6917-chopped1	chr4	165680002	165720000	+	0.000	0.000	3190
BG1836-chopped1	chr3	23440002	23480000	+	0.000	0.000	6474
BG29141-chopped1	chr5	166280002	166320000	+	0.000	0.000	2200
BG24697-chopped1	chr9	83360002	83400000	+	0.000	0.000	5428
BG11529-chopped1	chr7	33520002	33560000	+	0.000	0.000	3521
BG16092-chopped1	chr5	114120002	114160000	+	0.000	0.000	1712
BG32019-chopped1	chr8	85800002	85840000	+	0.000	0.000	4812
BG6635-chopped1	chr3	155120002	155160000	+	0.000	0.000	5418
BG17848-chopped1	chr4	136040002	136080000	+	0.000	0.000	102
BG27656-chopped1	chr10	65400002	65440000	+	0.000	0.000	6188
BG28421-chopped1	chr20	36440002	36480000	+	0.000	0.000	4548
BG32710-chopped1	chr12	97560002	97600000	+	0.000	0.000	3889
BG15808-chopped1	chr4	188200002	188240000	+	0.000	0.000	4554
BG23340-chopped1	chr5	16280002	16320000	+	0.000	0.000	3089
BG27456-chopped1	chr5	118360002	118400000	+	0.000	0.000	6369
BG7755-chopped1	chr5	91840002	91880000	+	0.000	0.000	1495
BG15608-chopped1	chr12	78680002	78720000	+	0.000	0.000	6148
BG23249-chopped1	chr6	73640002	73680000	+	0.000	0.000	982
BG27701-chopped1	chr3	158280002	158320000	+	0.000	0.000	5938
BG16046-chopped1	chr18	63440002	63480000	+	0.000	0.000	2861
BG7673-chopped1	chr3	73960002	74000000	+	0.000	0.000	1002
BG5388-chopped1	chr6	62240002	62280000	+	0.000	0.000	3575
BG9949-chopped1	chr3	137920002	137960000	+	0.000	0.000	2261
BG3994-chopped1	chr9	79240002	79280000	+	0.000	0.000	3839
BG25780-chopped1	chr5	128440002	128480000	+	0.000	0.000	1986
BG1508-chopped1	chr2	198480002	198520000	+	0.000	0.000	2084
BG21900-chopped1	chr6	16960002	17000000	+	0.000	0.000	1749
BG4668-chopped1	chr7	116360002	116400000	+	0.000	0.000	2620
BG11010-chopped1	chr18	34520002	34560000	+	0.000	0.000	4826
BG34422-chopped1	chr12	29880002	29920000	+	0.000	0.000	5552
BG27774-chopped1	chr16	55640002	55680000	+	0.000	0.000	1480
BG11810-chopped1	chr8	54200002	54240000	+	0.000	0.000	1836
BG24969-chopped1	chr9	107560002	107600000	+	0.000	0.000	6054
BG22047-chopped1	chr6	164960002	165000000	+	0.000	0.000	1498
BG26172-chopped1	chr5	143680002	143720000	+	0.000	0.000	2320
BG19405-chopped1	chr11	21600002	21640000	+	0.000	0.000	5525
BG21527-chopped1	chr12	82680002	82720000	+	0.000	0.000	450
BG23367-chopped1	chr9	26400002	26440000	+	0.000	0.000	1963
BG22847-chopped1	chr14	43680002	43720000	+	0.000	0.000	150
BG3911-chopped1	chr12	30480002	30520000	+	0.000	0.000	4480
BG32900-chopped1	chr6	10560002	10600000	+	0.000	0.000	5827
BG13604-chopped1	chr10	11560002	11600000	+	0.000	0.000	5000
BG23085-chopped1	chr4	158680002	158720000	+	0.000	0.000	6103
BG14042-chopped1	chr21	37720002	37760000	+	0.000	0.000	2030
BG18158-chopped1	chr8	69760002	69800000	+	0.000	0.000	5478
BG22565-chopped1	chr4	86680002	86720000	+	0.000	0.000	5210
BG15362-chopped1	chr10	10600002	10640000	+	0.000	0.000	2221
BG19478-chopped1	chr15	27600002	27640000	+	0.000	0.000	969
BG18403-chopped1	chr11	50640002	50680000	+	0.000	0.000	4484
BG1899-chopped1	chr1	14920002	14960000	+	0.000	0.000	2276
BG15162-chopped1	chr13	78560002	78600000	+	0.000	0.000	3366
BG30888-chopped1	chr9	19720002	19760000	+	0.000	0.000	2550
BG21845-chopped1	chr8	72720002	72760000	+	0.000	0.000	795
BG12802-chopped1	chr18	37720002	37760000	+	0.000	0.000	2007
BG33493-chopped1	chr14	42080002	42120000	+	0.000	0.000	4680
BG15080-chopped1	chr6	102640002	102680000	+	0.000	0.000	5170
BG25324-chopped1	chr13	73520002	73560000	+	0.000	0.000	6477
BG31007-chopped1	chr7	70200002	70240000	+	0.000	0.000	2117
BG12275-chopped1	chr16	27400002	27440000	+	0.000	0.000	573
BG18921-chopped1	chr12	75160002	75200000	+	0.000	0.000	4547
BG17074-chopped1	chr13	104960002	105000000	+	0.000	0.000	4339
BG19241-chopped1	chr15	37600002	37640000	+	0.000	0.000	4290
BG4903-chopped1	chr2	180720002	180760000	+	0.000	0.000	6193
BG21363-chopped1	chr6	103120002	103160000	+	0.000	0.000	1875
BG31171-chopped1	chr8	71680002	71720000	+	0.000	0.000	3602
BG7181-chopped1	chr16	62880002	62920000	+	0.000	0.000	5371
BG14269-chopped1	chr4	37040002	37080000	+	0.000	0.000	6046
BG23002-chopped1	chr6	164480002	164520000	+	0.000	0.000	3752
BG24959-chopped1	chr20	54520002	54560000	+	0.000	0.000	5981
BG12229-chopped1	chr4	135240002	135280000	+	0.000	0.000	866
BG26162-chopped1	chr21	41080002	41120000	+	0.000	0.000	4628
BG15389-chopped1	chr14	99640002	99680000	+	0.000	0.000	4204
BG9175-chopped1	chr1	112120002	112160000	+	0.000	0.000	5765
BG12029-chopped1	chr5	76240002	76280000	+	0.000	0.000	993
BG21-chopped1	chr1	144960002	145000000	+	0.000	0.000	3246
BG17028-chopped1	chr12	116240002	116280000	+	0.000	0.000	1234
BG24677-chopped1	chr4	10240002	10280000	+	0.000	0.000	5869
BG15634-chopped1	chr18	39040002	39080000	+	0.000	0.000	1915
BG18794-chopped1	chr16	80200002	80240000	+	0.000	0.000	2976
BG34730-chopped1	chr7	22080002	22120000	+	0.000	0.000	3471
BG33765-chopped1	chr9	27320002	27360000	+	0.000	0.000	215
BG1980-chopped1	chr10	107400002	107440000	+	0.000	0.000	4132
BG17628-chopped1	chr9	26120002	26160000	+	0.000	0.000	546
BG29276-chopped1	chr16	17880002	17920000	+	0.000	0.000	2424
BG7735-chopped1	chr1	211920002	211960000	+	0.000	0.000	2473
BG22355-chopped1	chr5	91800002	91840000	+	0.000	0.000	4808
BG24195-chopped1	chr20	5680002	5720000	+	0.000	0.000	1583
BG19713-chopped1	chr9	108120002	108160000	+	0.000	0.000	4269
BG10507-chopped1	chr4	16280002	16320000	+	0.000	0.000	2890
BG26280-chopped1	chr4	16760002	16800000	+	0.000	0.000	197
BG26716-chopped1	chr2	81200002	81240000	+	0.000	0.000	2623
BG24995-chopped1	chr18	35240002	35280000	+	0.000	0.000	6241
BG2454-chopped1	chr12	62760002	62800000	+	0.000	0.000	4968
BG30678-chopped1	chr14	97640002	97680000	+	0.000	0.000	4571
BG17792-chopped1	chr15	69520002	69560000	+	0.000	0.000	5906
BG21635-chopped1	chr6	119760002	119800000	+	0.000	0.000	5177
BG988-chopped1	chr3	87280002	87320000	+	0.000	0.000	561
BG10871-chopped1	chr13	24200002	24240000	+	0.000	0.000	70
BG26189-chopped1	chr7	89960002	90000000	+	0.000	0.000	5322
BG19431-chopped1	chr16	56120002	56160000	+	0.000	0.000	3287
BG30923-chopped1	chr5	80800002	80840000	+	0.000	0.000	5437
BG6488-chopped1	chr20	12440002	12480000	+	0.000	0.000	3094
BG20033-chopped1	chr5	56120002	56160000	+	0.000	0.000	5062
BG20588-chopped1	chr2	228200002	228240000	+	0.000	0.000	3276
BG23629-chopped1	chr18	47520002	47560000	+	0.000	0.000	3401
BG16426-chopped1	chr9	23720002	23760000	+	0.000	0.000	114
BG3492-chopped1	chr15	24040002	24080000	+	0.000	0.000	739
BG20833-chopped1	chr7	144840002	144880000	+	0.000	0.000	1200
BG24949-chopped1	chr2	194040002	194080000	+	0.000	0.000	5348
BG21153-chopped1	chr2	60640002	60680000	+	0.000	0.000	4056
BG35195-chopped1	chr5	161200002	161240000	+	0.000	0.000	3061
BG14059-chopped1	chr18	37920002	37960000	+	0.000	0.000	529
BG20633-chopped1	chr16	58800002	58840000	+	0.000	0.000	2242
BG30441-chopped1	chr4	179920002	179960000	+	0.000	0.000	2062
BG751-chopped1	chr9	28640002	28680000	+	0.000	0.000	2115
BG16699-chopped1	chr8	96440002	96480000	+	0.000	0.000	2448
BG14659-chopped1	chr11	28640002	28680000	+	0.000	0.000	6346
BG8445-chopped1	chr11	103800002	103840000	+	0.000	0.000	564
BG3364-chopped1	chr20	57880002	57920000	+	0.000	0.000	3421
BG25787-chopped1	chr1	58680002	58720000	+	0.000	0.000	1174
BG20151-chopped1	chr4	27600002	27640000	+	0.000	0.000	2191
BG16744-chopped1	chr2	104600002	104640000	+	0.000	0.000	2575
BG13057-chopped1	chr12	80760002	80800000	+	0.000	0.000	5110
BG8245-chopped1	chr2	186800002	186840000	+	0.000	0.000	5063
BG33109-chopped1	chr6	162600002	162640000	+	0.000	0.000	3479
BG32153-chopped1	chr3	179840002	179880000	+	0.000	0.000	1776
BG15142-chopped1	chr1	60400002	60440000	+	0.000	0.000	5933
BG25059-chopped1	chr9	118480002	118520000	+	0.000	0.000	3808
BG33473-chopped1	chr5	59360002	59400000	+	0.000	0.000	2895
BG9810-chopped1	chr11	96520002	96560000	+	0.000	0.000	3861
BG13657-chopped1	chr1	199520002	199560000	+	0.000	0.000	1587
BG3318-chopped1	chr8	99560002	99600000	+	0.000	0.000	71
BG3118-chopped1	chr7	83920002	83960000	+	0.000	0.000	1071
BG28264-chopped1	chr2	237440002	237480000	+	0.000	0.000	1477
BG6723-chopped1	chr15	36040002	36080000	+	0.000	0.000	5583
BG23183-chopped1	chr9	29320002	29360000	+	0.000	0.000	4337
BG19776-chopped1	chr9	77000002	77040000	+	0.000	0.000	5391
BG23619-chopped1	chr14	49160002	49200000	+	0.000	0.000	6491
BG33427-chopped1	chr10	76200002	76240000	+	0.000	0.000	6296
BG9437-chopped1	chr12	130240002	130280000	+	0.000	0.000	4213
BG16416-chopped1	chr4	54920002	54960000	+	0.000	0.000	3524
BG21898-chopped1	chr4	35880002	35920000	+	0.000	0.000	3693
BG26224-chopped1	chr8	136800002	136840000	+	0.000	0.000	2286
BG22663-chopped1	chr6	118280002	118320000	+	0.000	0.000	1815
BG25704-chopped1	chr5	160000002	160040000	+	0.000	0.000	4049
BG5121-chopped1	chr1	226800002	226840000	+	0.000	0.000	1347
BG496-chopped1	chr8	13960002	14000000	+	0.000	0.000	5955
BG22017-chopped1	chr13	107920002	107960000	+	0.000	0.000	1687
BG6441-chopped1	chr8	50440002	50480000	+	0.000	0.000	884
BG8517-chopped1	chr5	164000002	164040000	+	0.000	0.000	1893
BG12809-chopped1	chr12	127760002	127800000	+	0.000	0.000	604
BG9837-chopped1	chr2	213480002	213520000	+	0.000	0.000	6258
BG4756-chopped1	chr4	21000002	21040000	+	0.000	0.000	2526
BG20141-chopped1	chr6	85480002	85520000	+	0.000	0.000	6469
BG13047-chopped1	chr13	70760002	70800000	+	0.000	0.000	4148
BG1314-chopped1	chr10	8120002	8160000	+	0.000	0.000	3667
BG12091-chopped1	chr5	163840002	163880000	+	0.000	0.000	2456
BG31378-chopped1	chr6	24080002	24120000	+	0.000	0.000	2128
BG24175-chopped1	chr15	97800002	97840000	+	0.000	0.000	1099
BG32143-chopped1	chr12	92640002	92680000	+	0.000	0.000	2881
BG20941-chopped1	chr13	78960002	79000000	+	0.000	0.000	6111
BG168-chopped1	chr1	218000002	218040000	+	0.000	0.000	4657
BG15687-chopped1	chr14	58520002	58560000	+	0.000	0.000	3502
