ID	Gene Name	Species
ZRANB2-AS2	ZRANB2 antisense RNA 2 (head to head)(ZRANB2-AS2)	Homo sapiens	
AP1B1P1	adaptor related protein complex 1 beta 1 subunit pseudogene 1(AP1B1P1)	Homo sapiens	
ADCY10P1	adenylate cyclase 10, soluble pseudogene 1(ADCY10P1)	Homo sapiens	
AOX2P	aldehyde oxidase 2 pseudogene(AOX2P)	Homo sapiens	
LOC100506747	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein LOC641515 homolog(LOC100506747)	Homo sapiens	
ANTXRLP1	anthrax toxin receptor-like pseudogene 1(ANTXRLP1)	Homo sapiens	
CASC15	cancer susceptibility candidate 15 (non-protein coding)(CASC15)	Homo sapiens	
CASC16	cancer susceptibility candidate 16 (non-protein coding)(CASC16)	Homo sapiens	
CASC18	cancer susceptibility candidate 18 (non-protein coding)(CASC18)	Homo sapiens	
CES1P2	carboxylesterase 1 pseudogene 2(CES1P2)	Homo sapiens	
LOC729930	chromosome 11 open reading frame 74 pseudogene(LOC729930)	Homo sapiens	
C12orf80	chromosome 12 open reading frame 80(C12orf80)	Homo sapiens	
C18orf63	chromosome 18 open reading frame 63(C18orf63)	Homo sapiens	
C20orf78	chromosome 20 open reading frame 78(C20orf78)	Homo sapiens	
LOC389705	chromosome 4 open reading frame 27 pseudogene(LOC389705)	Homo sapiens	
C7orf72	chromosome 7 open reading frame 72(C7orf72)	Homo sapiens	
C7orf76	chromosome 7 open reading frame 76(C7orf76)	Homo sapiens	
C8orf87	chromosome 8 open reading frame 87(C8orf87)	Homo sapiens	
LOC728024	chromosome X open reading frame 56 pseudogene(LOC728024)	Homo sapiens	
CCDC59	coiled-coil domain containing 59(CCDC59)	Homo sapiens	
CAHM	colon adenocarcinoma hypermethylated (non-protein coding)(CAHM)	Homo sapiens	
CCAT1	colon cancer associated transcript 1 (non-protein coding)(CCAT1)	Homo sapiens	
CCAT2	colon cancer associated transcript 2 (non-protein coding)(CCAT2)	Homo sapiens	
CRNDE	colorectal neoplasia differentially expressed (non-protein coding)(CRNDE)	Homo sapiens	
DANCR	differentiation antagonizing non-protein coding RNA(DANCR)	Homo sapiens	
DUX4L2	double homeobox 4 like 2(DUX4L2)	Homo sapiens	
DUX4L3	double homeobox 4 like 3(DUX4L3)	Homo sapiens	
FAM200B	family with sequence similarity 200 member B(FAM200B)	Homo sapiens	
FAM225A	family with sequence similarity 225 member A (non-protein coding)(FAM225A)	Homo sapiens	
FAM229B	family with sequence similarity 229 member B(FAM229B)	Homo sapiens	
LOC100128164	four and a half LIM domains 1 pseudogene(LOC100128164)	Homo sapiens	
GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4(GEMIN8P4)	Homo sapiens	
GUSBP10	glucuronidase, beta pseudogene 10(GUSBP10)	Homo sapiens	
GUCY2GP	guanylate cyclase 2G, pseudogene(GUCY2GP)	Homo sapiens	
LOC100131635	hCG1645011-like(LOC100131635)	Homo sapiens	
LOC100130298	hCG1816373-like(LOC100130298)	Homo sapiens	
HPVC1	human papillomavirus (type 18) E5 central sequence-like 1(HPVC1)	Homo sapiens	
IRX6	iroquois homeobox 6(IRX6)	Homo sapiens	
KRTAP24-1	keratin associated protein 24-1(KRTAP24-1)	Homo sapiens	
LENEP	lens epithelial protein(LENEP)	Homo sapiens	
LINC01004	long intergenic non-protein coding RNA 1004(LINC01004)	Homo sapiens	
LINC01020	long intergenic non-protein coding RNA 1020(LINC01020)	Homo sapiens	
LINC01060	long intergenic non-protein coding RNA 1060(LINC01060)	Homo sapiens	
LINC01069	long intergenic non-protein coding RNA 1069(LINC01069)	Homo sapiens	
LINC01088	long intergenic non-protein coding RNA 1088(LINC01088)	Homo sapiens	
LINC01091	long intergenic non-protein coding RNA 1091(LINC01091)	Homo sapiens	
LINC01094	long intergenic non-protein coding RNA 1094(LINC01094)	Homo sapiens	
LINC01096	long intergenic non-protein coding RNA 1096(LINC01096)	Homo sapiens	
LINC01097	long intergenic non-protein coding RNA 1097(LINC01097)	Homo sapiens	
LINC01111	long intergenic non-protein coding RNA 1111(LINC01111)	Homo sapiens	
LINC01122	long intergenic non-protein coding RNA 1122(LINC01122)	Homo sapiens	
LINC01134	long intergenic non-protein coding RNA 1134(LINC01134)	Homo sapiens	
LINC01139	long intergenic non-protein coding RNA 1139(LINC01139)	Homo sapiens	
LINC01146	long intergenic non-protein coding RNA 1146(LINC01146)	Homo sapiens	
LINC01152	long intergenic non-protein coding RNA 1152(LINC01152)	Homo sapiens	
LINC01160	long intergenic non-protein coding RNA 1160(LINC01160)	Homo sapiens	
LINC01194	long intergenic non-protein coding RNA 1194(LINC01194)	Homo sapiens	
LINC01197	long intergenic non-protein coding RNA 1197(LINC01197)	Homo sapiens	
LINC01208	long intergenic non-protein coding RNA 1208(LINC01208)	Homo sapiens	
LINC00189	long intergenic non-protein coding RNA 189(LINC00189)	Homo sapiens	
LINC00210	long intergenic non-protein coding RNA 210(LINC00210)	Homo sapiens	
LINC00276	long intergenic non-protein coding RNA 276(LINC00276)	Homo sapiens	
LINC00282	long intergenic non-protein coding RNA 282(LINC00282)	Homo sapiens	
LINC00317	long intergenic non-protein coding RNA 317(LINC00317)	Homo sapiens	
LINC00320	long intergenic non-protein coding RNA 320(LINC00320)	Homo sapiens	
LINC00331	long intergenic non-protein coding RNA 331(LINC00331)	Homo sapiens	
LINC00333	long intergenic non-protein coding RNA 333(LINC00333)	Homo sapiens	
LINC00348	long intergenic non-protein coding RNA 348(LINC00348)	Homo sapiens	
LINC00353	long intergenic non-protein coding RNA 353(LINC00353)	Homo sapiens	
LINC00371	long intergenic non-protein coding RNA 371(LINC00371)	Homo sapiens	
LINC00378	long intergenic non-protein coding RNA 378(LINC00378)	Homo sapiens	
LINC00380	long intergenic non-protein coding RNA 380(LINC00380)	Homo sapiens	
LINC00395	long intergenic non-protein coding RNA 395(LINC00395)	Homo sapiens	
LINC00421	long intergenic non-protein coding RNA 421(LINC00421)	Homo sapiens	
LINC00423	long intergenic non-protein coding RNA 423(LINC00423)	Homo sapiens	
LINC00433	long intergenic non-protein coding RNA 433(LINC00433)	Homo sapiens	
LINC00443	long intergenic non-protein coding RNA 443(LINC00443)	Homo sapiens	
LINC00460	long intergenic non-protein coding RNA 460(LINC00460)	Homo sapiens	
LINC00473	long intergenic non-protein coding RNA 473(LINC00473)	Homo sapiens	
LINC00474	long intergenic non-protein coding RNA 474(LINC00474)	Homo sapiens	
LINC00487	long intergenic non-protein coding RNA 487(LINC00487)	Homo sapiens	
LINC00488	long intergenic non-protein coding RNA 488(LINC00488)	Homo sapiens	
LINC00501	long intergenic non-protein coding RNA 501(LINC00501)	Homo sapiens	
LINC00507	long intergenic non-protein coding RNA 507(LINC00507)	Homo sapiens	
LINC00520	long intergenic non-protein coding RNA 520(LINC00520)	Homo sapiens	
LINC00534	long intergenic non-protein coding RNA 534(LINC00534)	Homo sapiens	
LINC00535	long intergenic non-protein coding RNA 535(LINC00535)	Homo sapiens	
LINC00540	long intergenic non-protein coding RNA 540(LINC00540)	Homo sapiens	
LINC00544	long intergenic non-protein coding RNA 544(LINC00544)	Homo sapiens	
LINC00551	long intergenic non-protein coding RNA 551(LINC00551)	Homo sapiens	
LINC00558	long intergenic non-protein coding RNA 558(LINC00558)	Homo sapiens	
LINC00559	long intergenic non-protein coding RNA 559(LINC00559)	Homo sapiens	
LINC00581	long intergenic non-protein coding RNA 581(LINC00581)	Homo sapiens	
LINC00587	long intergenic non-protein coding RNA 587(LINC00587)	Homo sapiens	
LINC00592	long intergenic non-protein coding RNA 592(LINC00592)	Homo sapiens	
LINC00613	long intergenic non-protein coding RNA 613(LINC00613)	Homo sapiens	
LINC00618	long intergenic non-protein coding RNA 618(LINC00618)	Homo sapiens	
LINC00636	long intergenic non-protein coding RNA 636(LINC00636)	Homo sapiens	
LINC00639	long intergenic non-protein coding RNA 639(LINC00639)	Homo sapiens	
LINC00649	long intergenic non-protein coding RNA 649(LINC00649)	Homo sapiens	
LINC00656	long intergenic non-protein coding RNA 656(LINC00656)	Homo sapiens	
LINC00673	long intergenic non-protein coding RNA 673(LINC00673)	Homo sapiens	
LINC00678	long intergenic non-protein coding RNA 678(LINC00678)	Homo sapiens	
LINC00693	long intergenic non-protein coding RNA 693(LINC00693)	Homo sapiens	
LINC00706	long intergenic non-protein coding RNA 706(LINC00706)	Homo sapiens	
LINC00707	long intergenic non-protein coding RNA 707(LINC00707)	Homo sapiens	
LINC00709	long intergenic non-protein coding RNA 709(LINC00709)	Homo sapiens	
LINC00842	long intergenic non-protein coding RNA 842(LINC00842)	Homo sapiens	
LINC00871	long intergenic non-protein coding RNA 871(LINC00871)	Homo sapiens	
LINC00877	long intergenic non-protein coding RNA 877(LINC00877)	Homo sapiens	
LINC00879	long intergenic non-protein coding RNA 879(LINC00879)	Homo sapiens	
LINC00882	long intergenic non-protein coding RNA 882(LINC00882)	Homo sapiens	
LINC00923	long intergenic non-protein coding RNA 923(LINC00923)	Homo sapiens	
LINC00943	long intergenic non-protein coding RNA 943(LINC00943)	Homo sapiens	
LINC00944	long intergenic non-protein coding RNA 944(LINC00944)	Homo sapiens	
LINC00964	long intergenic non-protein coding RNA 964(LINC00964)	Homo sapiens	
LINC00971	long intergenic non-protein coding RNA 971(LINC00971)	Homo sapiens	
LINC00993	long intergenic non-protein coding RNA 993(LINC00993)	Homo sapiens	
LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript(LINC-PINT)	Homo sapiens	
LUCAT1	lung cancer associated transcript 1 (non-protein coding)(LUCAT1)	Homo sapiens	
LOC654342	lymphocyte-specific protein 1 pseudogene(LOC654342)	Homo sapiens	
MIR101-1	microRNA 101-1(MIR101-1)	Homo sapiens	
MIR107	microRNA 107(MIR107)	Homo sapiens	
MIR1205	microRNA 1205(MIR1205)	Homo sapiens	
MIR1208	microRNA 1208(MIR1208)	Homo sapiens	
MIR1252	microRNA 1252(MIR1252)	Homo sapiens	
MIR1258	microRNA 1258(MIR1258)	Homo sapiens	
MIR137	microRNA 137(MIR137)	Homo sapiens	
MIR148A	microRNA 148a(MIR148A)	Homo sapiens	
MIR17	microRNA 17(MIR17)	Homo sapiens	
MIR1827	microRNA 1827(MIR1827)	Homo sapiens	
MIR184	microRNA 184(MIR184)	Homo sapiens	
MIR19A	microRNA 19a(MIR19A)	Homo sapiens	
MIR2052	microRNA 2052(MIR2052)	Homo sapiens	
MIR2054	microRNA 2054(MIR2054)	Homo sapiens	
MIR206	microRNA 206(MIR206)	Homo sapiens	
MIR20A	microRNA 20a(MIR20A)	Homo sapiens	
MIR2116	microRNA 2116(MIR2116)	Homo sapiens	
MIR216A	microRNA 216a(MIR216A)	Homo sapiens	
MIR217	microRNA 217(MIR217)	Homo sapiens	
MIR2682	microRNA 2682(MIR2682)	Homo sapiens	
MIR3064	microRNA 3064(MIR3064)	Homo sapiens	
MIR30A	microRNA 30a(MIR30A)	Homo sapiens	
MIR3128	microRNA 3128(MIR3128)	Homo sapiens	
MIR3134	microRNA 3134(MIR3134)	Homo sapiens	
MIR3136	microRNA 3136(MIR3136)	Homo sapiens	
MIR3138	microRNA 3138(MIR3138)	Homo sapiens	
MIR3153	microRNA 3153(MIR3153)	Homo sapiens	
MIR3156-1	microRNA 3156-1(MIR3156-1)	Homo sapiens	
MIR3167	microRNA 3167(MIR3167)	Homo sapiens	
MIR3169	microRNA 3169(MIR3169)	Homo sapiens	
MIR3180-4	microRNA 3180-4(MIR3180-4)	Homo sapiens	
MIR3607	microRNA 3607(MIR3607)	Homo sapiens	
MIR378D2	microRNA 378d-2(MIR378D2)	Homo sapiens	
MIR378J	microRNA 378j(MIR378J)	Homo sapiens	
MIR3913-1	microRNA 3913-1(MIR3913-1)	Homo sapiens	
MIR3913-2	microRNA 3913-2(MIR3913-2)	Homo sapiens	
MIR3919	microRNA 3919(MIR3919)	Homo sapiens	
MIR3924	microRNA 3924(MIR3924)	Homo sapiens	
MIR3935	microRNA 3935(MIR3935)	Homo sapiens	
MIR3942	microRNA 3942(MIR3942)	Homo sapiens	
MIR3975	microRNA 3975(MIR3975)	Homo sapiens	
MIR4268	microRNA 4268(MIR4268)	Homo sapiens	
MIR4282	microRNA 4282(MIR4282)	Homo sapiens	
MIR4288	microRNA 4288(MIR4288)	Homo sapiens	
MIR4294	microRNA 4294(MIR4294)	Homo sapiens	
MIR4302	microRNA 4302(MIR4302)	Homo sapiens	
MIR4303	microRNA 4303(MIR4303)	Homo sapiens	
MIR4325	microRNA 4325(MIR4325)	Homo sapiens	
MIR4422	microRNA 4422(MIR4422)	Homo sapiens	
MIR4423	microRNA 4423(MIR4423)	Homo sapiens	
MIR4439	microRNA 4439(MIR4439)	Homo sapiens	
MIR4449	microRNA 4449(MIR4449)	Homo sapiens	
MIR4471	microRNA 4471(MIR4471)	Homo sapiens	
MIR4484	microRNA 4484(MIR4484)	Homo sapiens	
MIR4498	microRNA 4498(MIR4498)	Homo sapiens	
MIR4500	microRNA 4500(MIR4500)	Homo sapiens	
MIR4508	microRNA 4508(MIR4508)	Homo sapiens	
MIR4511	microRNA 4511(MIR4511)	Homo sapiens	
MIR4636	microRNA 4636(MIR4636)	Homo sapiens	
MIR4642	microRNA 4642(MIR4642)	Homo sapiens	
MIR4652	microRNA 4652(MIR4652)	Homo sapiens	
MIR4660	microRNA 4660(MIR4660)	Homo sapiens	
MIR4661	microRNA 4661(MIR4661)	Homo sapiens	
MIR4680	microRNA 4680(MIR4680)	Homo sapiens	
MIR4693	microRNA 4693(MIR4693)	Homo sapiens	
MIR4705	microRNA 4705(MIR4705)	Homo sapiens	
MIR4713	microRNA 4713(MIR4713)	Homo sapiens	
MIR4775	microRNA 4775(MIR4775)	Homo sapiens	
MIR4776-1	microRNA 4776-1(MIR4776-1)	Homo sapiens	
MIR4790	microRNA 4790(MIR4790)	Homo sapiens	
MIR4799	microRNA 4799(MIR4799)	Homo sapiens	
MIR4801	microRNA 4801(MIR4801)	Homo sapiens	
MIR5047	microRNA 5047(MIR5047)	Homo sapiens	
MIR5091	microRNA 5091(MIR5091)	Homo sapiens	
MIR548A3	microRNA 548a-3(MIR548A3)	Homo sapiens	
MIR548AC	microRNA 548ac(MIR548AC)	Homo sapiens	
MIR548AI	microRNA 548ai(MIR548AI)	Homo sapiens	
MIR548AJ2	microRNA 548aj-2(MIR548AJ2)	Homo sapiens	
MIR548AL	microRNA 548al(MIR548AL)	Homo sapiens	
MIR548AN	microRNA 548an(MIR548AN)	Homo sapiens	
MIR548AP	microRNA 548ap(MIR548AP)	Homo sapiens	
MIR548AS	microRNA 548as(MIR548AS)	Homo sapiens	
MIR548AZ	microRNA 548az(MIR548AZ)	Homo sapiens	
MIR548BA	microRNA 548ba(MIR548BA)	Homo sapiens	
MIR548D2	microRNA 548d-2(MIR548D2)	Homo sapiens	
MIR548F1	microRNA 548f-1(MIR548F1)	Homo sapiens	
MIR548F3	microRNA 548f-3(MIR548F3)	Homo sapiens	
MIR548F5	microRNA 548f-5(MIR548F5)	Homo sapiens	
MIR548G	microRNA 548g(MIR548G)	Homo sapiens	
MIR548H3	microRNA 548h-3(MIR548H3)	Homo sapiens	
MIR548H4	microRNA 548h-4(MIR548H4)	Homo sapiens	
MIR548I4	microRNA 548i-4(MIR548I4)	Homo sapiens	
MIR548N	microRNA 548n(MIR548N)	Homo sapiens	
MIR548O2	microRNA 548o-2(MIR548O2)	Homo sapiens	
MIR548Q	microRNA 548q(MIR548Q)	Homo sapiens	
MIR548T	microRNA 548t(MIR548T)	Homo sapiens	
MIR5583-2	microRNA 5583-2(MIR5583-2)	Homo sapiens	
