Gene Cluster 1
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment
UP_KEYWORDS	Transmembrane	17	100.0	1.027645752767354E-9	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	17	5651	20581	3.4277743658071973
UP_SEQ_FEATURE	transmembrane region	16	94.11764705882352	1.0337452149017222E-9	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	17	5056	20063	3.7201468552215187
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	17	100.0	1.6939129714637505E-9	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	17	5163	18224	3.3220995545225644
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	15	88.23529411764706	4.11811988717118E-9	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR8K5, OR8K3, OR4A15, OR4A16	17	4234	20063	4.146226972130373
UP_KEYWORDS	Disulfide bond	14	82.35294117647058	2.5818760476661644E-8	OR5R1, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	17	3434	20581	4.583113501661585
UP_KEYWORDS	Glycoprotein	15	88.23529411764706	4.9803671631076026E-8	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR8K5, OR8K3, OR4A15, OR4A16	17	4551	20581	3.7242493569609776
UP_KEYWORDS	Membrane	17	100.0	9.452119968615058E-8	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	17	7494	20581	2.5847815507307805
UP_SEQ_FEATURE	chain:Olfactory receptor 5R1	1	5.88235294117647	1.0	OR5R1	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 4X2	1	5.88235294117647	1.0	OR4X2	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 5L2	1	5.88235294117647	1.0	OR5L2	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 4X1	1	5.88235294117647	1.0	OR4X1	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 5L1	1	5.88235294117647	1.0	OR5L1	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 4S1	1	5.88235294117647	1.0	OR4S1	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 5J2	1	5.88235294117647	1.0	OR5J2	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 8K5	1	5.88235294117647	1.0	OR8K5	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 8K3	1	5.88235294117647	1.0	OR8K3	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 5D18	1	5.88235294117647	1.0	OR5D18	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 8K1	1	5.88235294117647	1.0	OR8K1	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 5D14	1	5.88235294117647	1.0	OR5D14	17	1	20063	0.0
UP_KEYWORDS	Signal	1	5.88235294117647	1.0	OR4C3	17	4160	20581	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 4C3	1	5.88235294117647	1.0	OR4C3	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 4B1	1	5.88235294117647	1.0	OR4B1	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 4A16	1	5.88235294117647	1.0	OR4A16	17	1	20063	0.0
UP_SEQ_FEATURE	chain:Olfactory receptor 4A15	1	5.88235294117647	1.0	OR4A15	17	1	20063	0.0
