GO_BP_terms,_Bl_count_1;all_genes,_Bl_count_1;_Bl_count_HiC_all,_Bl_count_2;_Bl_count_1,_Bl_count_3;_Bl_count_1,_Bl_count_4;_Bl_count_1,_Bl_count_5;_Bl_count_1,_Bl_count_grthan5;_Bl_count_1
positive regulation of cell projection organization,NA,NA,NA,NA,NA,0.0148159749967208,0.0253164182368472
positive regulation of interleukin-10 production,NA,NA,NA,NA,NA,0.0419983967059461,NA
positive regulation of nervous system development,NA,NA,NA,NA,NA,0.00882873224525504,0.00151173009983264
positive regulation of neurogenesis,NA,NA,NA,NA,NA,0.00882873224525504,0.00276286454749086
positive regulation of neuron differentiation,NA,NA,NA,NA,NA,0.0105256337935883,0.00307421831856888
positive regulation of neuron projection development,NA,NA,NA,NA,NA,0.00882873224525504,0.00666486280695798
positive regulation of synapse assembly,NA,NA,NA,NA,NA,NA,0.00398382779327206
reflex,NA,NA,NA,NA,NA,0.0283455004203919,NA
regulation of action potential,NA,NA,NA,NA,NA,NA,0.00486135673592439
regulation of canonical Wnt signaling pathway,NA,NA,NA,NA,NA,0.022077750460537,NA
regulation of cardiac muscle cell action potential,NA,NA,NA,NA,NA,NA,0.0227570386837796
regulation of cell morphogenesis,NA,NA,NA,NA,NA,0.00882873224525504,NA
regulation of cell-substrate adhesion,NA,NA,NA,NA,NA,0.0382497638482852,NA
regulation of GTPase activity,NA,NA,NA,NA,NA,NA,0.00534646653066185
regulation of ion transmembrane transport,NA,NA,NA,NA,NA,NA,0.0344197165732812
regulation of MAP kinase activity,NA,NA,NA,NA,NA,0.0419983967059461,NA
regulation of membrane depolarization,NA,NA,NA,NA,NA,NA,0.0229732150263869
regulation of membrane lipid distribution,NA,NA,NA,NA,NA,0.022077750460537,NA
regulation of membrane potential,NA,NA,NA,NA,NA,0.00175671136314763,0.000169318429748329
regulation of neuron projection development,NA,NA,NA,NA,NA,0.00175671136314763,0.00362766463822938
regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,0.0375679795373732,0.00222345646325256
regulation of protein secretion,NA,NA,NA,NA,NA,0.0398811787118131,NA
regulation of synapse assembly,NA,NA,NA,NA,NA,0.0121131341498277,0.00205808375013048
regulation of synapse organization,NA,NA,NA,NA,NA,0.022077750460537,0.0225159274669827
regulation of synapse structure or activity,NA,NA,NA,NA,NA,0.0218045586675865,0.0194914293894271
regulation of synaptic transmission  glutamatergic,NA,NA,NA,NA,NA,NA,0.0372630275064374
regulation of Wnt signaling pathway,NA,NA,NA,NA,NA,0.00962316041394196,NA
regulation of wound healing,NA,NA,NA,NA,NA,0.04986587252427,NA
renal system development,NA,NA,NA,0.0451590302577494,NA,0.00882873224525504,NA
response to exogenous dsRNA,NA,NA,NA,NA,NA,0.022077750460537,NA
response to follicle-stimulating hormone,NA,NA,NA,NA,NA,0.022077750460537,NA
retinal ganglion cell axon guidance,NA,NA,NA,NA,NA,0.0186409770527365,0.0139252935777924
sensory perception of mechanical stimulus,NA,NA,NA,NA,NA,0.0111863011452116,0.0139252935777924
sensory perception of sound,NA,NA,NA,NA,NA,0.00983055328780413,0.0420362301563958
signal release,NA,NA,NA,NA,NA,0.0327609289503614,NA
sodium ion transmembrane transport,NA,NA,NA,NA,NA,NA,0.0139252935777924
sodium ion transport,NA,NA,NA,NA,NA,NA,0.00307421831856888
synapse assembly,NA,NA,NA,NA,NA,0.0382497638482852,0.00205808375013048
synapse organization,NA,NA,NA,NA,NA,0.0401979485116404,0.00205808375013048
synaptic transmission  glutamatergic,NA,NA,NA,NA,NA,0.0108008611128438,0.00117021913869829
trabecula formation,NA,NA,NA,NA,NA,0.0148159749967208,NA
trabecula morphogenesis,NA,NA,NA,NA,NA,0.00962316041394196,NA
transmission of nerve impulse,NA,NA,NA,NA,NA,0.0419983967059461,NA
urogenital system development,NA,NA,NA,0.0451590302577494,NA,0.00461807962580735,NA
vasoconstriction,NA,NA,NA,NA,NA,NA,0.0363986166940656
ventricular septum development,NA,NA,NA,NA,NA,0.0111863011452116,NA
ventricular septum morphogenesis,NA,NA,NA,NA,NA,0.022077750460537,NA
Wnt signaling pathway,NA,NA,NA,NA,NA,0.0283455004203919,NA
