GO_CC_terms,_Pa_count_1;all_genes,_Pa_count_1;_Pa_count_HiC_all,_Pa_count_2;_Pa_count_1,_Pa_count_3;_Pa_count_1,_Pa_count_4;_Pa_count_1,_Pa_count_5;_Pa_count_1,_Pa_count_grthan5;_Pa_count_1
cytoplasmic region,NA,NA,NA,NA,0.00432650678744786,2.97695697441876e-06,NA
cytoplasmic side of membrane,NA,NA,NA,NA,NA,0.040619175196691,NA
cytoplasmic side of plasma membrane,NA,NA,NA,NA,NA,0.037123409554265,NA
dendrite cytoplasm,NA,NA,NA,NA,NA,0.0241226880551064,NA
dendrite membrane,NA,NA,NA,NA,0.0238420335400828,NA,NA
dendritic shaft,NA,NA,NA,NA,NA,0.0330247081882383,NA
dendritic spine,NA,NA,NA,NA,0.0409697523465785,0.00597770257517816,0.0421006454551194
distal axon,NA,NA,NA,NA,1.8468338068632e-05,0.00019189510389542,NA
dynein complex,NA,NA,NA,NA,NA,0.00521112176204162,NA
dystrophin-associated glycoprotein complex,NA,NA,NA,NA,NA,NA,0.0345297497861871
early endosome,NA,NA,NA,NA,0.0394208041462918,NA,NA
exocyst,NA,NA,NA,NA,NA,0.037123409554265,NA
extracellular matrix,NA,NA,NA,NA,NA,0.0172543442139263,0.000986379071328351
extracellular matrix component,NA,NA,NA,NA,0.00369764939216466,0.0218218946160958,NA
fibrillar center,NA,NA,NA,NA,0.0297661390604516,NA,NA
filopodium,NA,NA,NA,NA,0.0446317542627685,NA,NA
focal adhesion,NA,NA,NA,NA,NA,0.040619175196691,NA
GABA receptor complex,NA,NA,NA,NA,0.00388601487635412,0.0212707976298733,NA
GABA-A receptor complex,NA,NA,NA,NA,0.00540814008105684,0.0341535115653635,NA
glycoprotein complex,NA,NA,NA,NA,NA,NA,0.0345297497861871
growth cone,NA,NA,NA,NA,0.000957892714523558,6.84576540006086e-05,NA
guanylate cyclase complex  soluble,NA,NA,NA,NA,NA,0.040303170942238,NA
I band,NA,NA,NA,NA,NA,0.00440105733795467,NA
intercalated disc,NA,NA,NA,NA,0.0238101516157982,0.0341535115653635,NA
invadopodium,NA,NA,NA,NA,NA,0.040303170942238,NA
ion channel complex,NA,NA,NA,NA,5.99100615505679e-08,3.90238634925466e-08,0.000310751639181102
ionotropic glutamate receptor complex,NA,NA,NA,NA,0.00616482914655104,5.32371836564464e-05,0.000310751639181102
lamellipodium,NA,NA,NA,NA,0.0275264829660421,NA,NA
leading edge membrane,NA,NA,NA,NA,0.00975446993048661,0.0341535115653635,NA
main axon,NA,NA,NA,NA,NA,0.00327458338148493,0.0196565475214689
membrane microdomain,NA,NA,NA,NA,0.0275264829660421,0.000139843960106421,NA
membrane raft,NA,NA,NA,NA,0.0297916953900765,0.000184763513261883,NA
membrane region,NA,NA,NA,NA,0.0259915611565277,0.000124592634912897,NA
microtubule associated complex,NA,NA,NA,NA,NA,0.00921750863090657,NA
microvillus,NA,NA,NA,NA,NA,0.024838658417557,NA
myofibril,NA,NA,NA,NA,NA,0.0216873804984873,NA
neuron projection membrane,NA,NA,NA,NA,0.0100208993811276,0.0262165994812272,NA
neuron projection terminus,NA,NA,NA,NA,0.0162676286810381,NA,NA
neuron spine,NA,NA,NA,NA,0.0301904370912744,0.00521112176204162,0.0496629848296545
neuron to neuron synapse,NA,NA,NA,NA,0.00975446993048661,9.19838565635916e-10,0.00197130855933305
neuronal cell body,NA,NA,NA,NA,0.0207827970293144,6.84576540006086e-05,NA
neurotransmitter receptor complex,NA,NA,NA,NA,0.00388601487635412,5.13412471855706e-05,0.000515021648811082
NMDA selective glutamate receptor complex,NA,NA,NA,NA,NA,0.0433225359831082,0.0473140729033243
phosphatase complex,NA,NA,NA,NA,NA,0.0262165994812272,NA
plasma membrane raft,NA,NA,NA,NA,NA,0.0316878803362213,NA
postsynapse,NA,NA,NA,NA,6.6397327015167e-08,5.81060447433336e-11,8.47185724796847e-05
postsynaptic density,NA,NA,NA,NA,0.0114282073397059,4.33903390810942e-10,0.0026417751729641
postsynaptic density membrane,NA,NA,NA,NA,0.000546594848738524,6.84576540006086e-05,0.00197130855933305
postsynaptic membrane,NA,NA,NA,NA,1.65879256845999e-05,4.16742277669168e-09,0.000116293573949727
postsynaptic specialization,NA,NA,NA,NA,0.00975446993048661,7.16970687379605e-10,0.00288545635298897
postsynaptic specialization membrane,NA,NA,NA,NA,0.000252882154160602,6.84576540006086e-05,0.00134568216301474
potassium channel complex,NA,NA,NA,NA,0.000103843041175626,6.84576540006086e-05,0.00113906338159695
presynapse,NA,NA,NA,NA,5.01417105450062e-05,0.000393687227761961,NA
presynaptic membrane,NA,NA,NA,NA,0.0432455371682074,0.0341535115653635,0.00279248513653661
protein phosphatase type 2A complex,NA,NA,NA,NA,NA,0.0341535115653635,NA
protein serine/threonine phosphatase complex,NA,NA,NA,NA,NA,0.0262165994812272,NA
proteinaceous extracellular matrix,NA,NA,NA,NA,0.0238101516157982,0.00400322828792144,0.000310751639181102
receptor complex,NA,NA,NA,NA,0.0037490860701611,3.23495239137526e-06,0.0135836144186252
sarcolemma,NA,NA,NA,NA,0.00975446993048661,0.00254863854342106,NA
sarcomere,NA,NA,NA,NA,NA,0.040619175196691,NA
site of polarized growth,NA,NA,NA,NA,0.000732531793319663,0.000135550785469119,NA
synaptic membrane,NA,NA,NA,NA,3.41115121900389e-05,1.91859675453849e-08,7.91255307477688e-05
transmembrane transporter complex,NA,NA,NA,NA,2.20526082169852e-07,2.56185255390196e-08,0.00136397350611178
transporter complex,NA,NA,NA,NA,6.87021769477036e-07,4.58780199046811e-08,0.00152933881933714
voltage-gated calcium channel complex,NA,NA,NA,NA,NA,0.00349920316102095,NA
voltage-gated potassium channel complex,NA,NA,NA,NA,0.000230625717446401,0.000170433525771309,0.00279248513653661
Z disc,NA,NA,NA,NA,NA,0.00327973808777996,NA
