GO_BP_terms,_Lu_count_1;all_genes,_Lu_count_1;_Lu_count_HiC_all,_Lu_count_2;_Lu_count_1,_Lu_count_3;_Lu_count_1,_Lu_count_4;_Lu_count_1,_Lu_count_5;_Lu_count_1,_Lu_count_grthan5;_Lu_count_1
epithelium migration,NA,NA,NA,0.00981028234035873,NA,NA,NA
ERK1 and ERK2 cascade,NA,NA,NA,0.0367054987984132,NA,NA,NA
extracellular matrix organization,NA,NA,NA,NA,0.0418094955725384,NA,NA
eye development,NA,NA,NA,0.000364476707876766,NA,NA,NA
eye morphogenesis,NA,NA,NA,0.00616137807581515,NA,NA,NA
forebrain development,NA,NA,NA,0.000191725650648743,0.00237227069414096,NA,NA
gamma-aminobutyric acid signaling pathway,NA,NA,NA,NA,0.0402604965233115,NA,NA
gastrulation,NA,NA,NA,0.018027166729712,NA,NA,NA
gland development,NA,NA,NA,0.00453142491346453,NA,NA,NA
glutamate receptor signaling pathway,NA,NA,NA,NA,0.0185871756047342,0.0371358333469923,NA
heart morphogenesis,NA,NA,NA,0.0150727189764301,NA,NA,NA
hematopoietic progenitor cell differentiation,NA,NA,NA,0.013671728644659,NA,NA,NA
homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,NA,0.000171722198571695,5.3482655199307e-08,NA,NA
inner ear development,NA,NA,NA,0.000721476028464997,NA,NA,NA
inner ear morphogenesis,NA,NA,NA,0.0487647032252257,NA,NA,NA
ionotropic glutamate receptor signaling pathway,NA,NA,NA,NA,0.00709139280013557,NA,NA
kidney development,NA,NA,NA,4.53309807949805e-06,0.0016523507397965,NA,NA
kidney epithelium development,NA,NA,NA,2.87219858381279e-05,0.0491078541962522,NA,NA
kidney morphogenesis,NA,NA,NA,0.0199880621720654,NA,NA,NA
limb development,NA,NA,NA,0.0495690337710131,NA,NA,NA
limb morphogenesis,NA,NA,NA,0.01214032033573,NA,NA,NA
locomotory behavior,NA,NA,NA,0.0291763922858541,NA,NA,NA
membrane depolarization,NA,NA,NA,0.0371082234843922,NA,NA,NA
mesenchymal cell proliferation,NA,NA,NA,0.0467272851659225,NA,NA,NA
mesonephric epithelium development,NA,NA,NA,2.87219858381279e-05,NA,NA,NA
mesonephric tubule development,NA,NA,NA,2.87219858381279e-05,NA,NA,NA
mesonephric tubule morphogenesis,NA,NA,NA,0.00242816255101243,NA,NA,NA
mesonephros development,NA,NA,NA,5.60983881533201e-05,NA,NA,NA
microtubule-based movement,NA,NA,NA,0.000961824778609317,NA,NA,NA
monovalent inorganic cation transport,NA,NA,NA,0.0325945049566094,0.0418094955725384,NA,NA
morphogenesis of a branching epithelium,NA,NA,NA,0.0037180063147591,NA,NA,NA
morphogenesis of a branching structure,NA,NA,NA,0.00154708196219678,NA,NA,NA
morphogenesis of an epithelial fold,NA,NA,NA,0.0303316710436696,NA,NA,NA
motor neuron axon guidance,NA,NA,NA,NA,NA,0.0325795659990352,NA
muscle organ development,NA,NA,NA,0.0393037036964113,NA,NA,NA
muscle tissue development,NA,NA,NA,0.00166470065406677,NA,NA,NA
negative chemotaxis,NA,NA,NA,NA,NA,0.00710038688023268,NA
negative regulation of cell adhesion,NA,NA,NA,0.0198523270894438,NA,NA,NA
negative regulation of cell migration,NA,NA,NA,0.0263962666196111,NA,NA,NA
negative regulation of cell motility,NA,NA,NA,0.041159213884945,NA,NA,NA
negative regulation of sequestering of calcium ion,NA,NA,NA,NA,0.0452478905606977,NA,NA
nephron development,NA,NA,NA,0.00155291071084366,NA,NA,NA
nephron epithelium development,NA,NA,NA,0.00657048031983067,NA,NA,NA
nephron epithelium morphogenesis,NA,NA,NA,0.00804395807244361,NA,NA,NA
nephron morphogenesis,NA,NA,NA,0.00988442877638226,NA,NA,NA
nephron tubule development,NA,NA,NA,0.00124284702352802,NA,NA,NA
nephron tubule morphogenesis,NA,NA,NA,0.0126473088058366,NA,NA,NA
nerve development,NA,NA,NA,0.0202949560187069,0.0203025529890404,NA,NA
neural retina development,NA,NA,NA,0.0454813635652994,NA,NA,NA
neural tube development,NA,NA,NA,0.0178833506690133,NA,NA,NA
neuron fate commitment,NA,NA,NA,0.0174881345397216,NA,NA,NA
neuron projection guidance,NA,NA,NA,0.00233943173272519,2.95180401643344e-07,0.000159545074689401,NA
neuron recognition,NA,NA,NA,NA,0.0144692079060912,NA,NA
non-canonical Wnt signaling pathway,NA,NA,NA,0.0239097369436426,NA,NA,NA
oligodendrocyte differentiation,NA,NA,NA,0.025913351770234,NA,NA,NA
ossification,NA,NA,NA,0.00616137807581515,NA,NA,NA
osteoblast differentiation,NA,NA,NA,0.0196750265995641,NA,NA,NA
pallium development,NA,NA,NA,0.0456705066300561,NA,NA,NA
pathway-restricted SMAD protein phosphorylation,NA,NA,NA,0.0487647032252257,NA,NA,NA
pattern specification process,NA,NA,NA,0.0151515451642031,NA,NA,NA
peptidyl-threonine modification,NA,NA,NA,0.0138732690405527,NA,NA,NA
peptidyl-threonine phosphorylation,NA,NA,NA,0.041159213884945,NA,NA,NA
peptidyl-tyrosine dephosphorylation,NA,NA,NA,0.0444727870372397,NA,NA,NA
positive regulation of actin filament bundle assembly,NA,NA,NA,0.0487647032252257,NA,NA,NA
positive regulation of axonogenesis,NA,NA,NA,NA,0.0347706342753318,NA,NA
positive regulation of bone mineralization,NA,NA,NA,0.0138732690405527,NA,NA,NA
positive regulation of cell development,NA,NA,NA,0.00296514613333612,0.0215682507918941,NA,NA
positive regulation of cell morphogenesis involved in differentiation,NA,NA,NA,NA,0.0305639328625385,NA,NA
positive regulation of cell projection organization,NA,NA,NA,0.013671728644659,0.0263442235268644,NA,NA
positive regulation of cell-matrix adhesion,NA,NA,NA,NA,0.0401890276611263,NA,NA
positive regulation of cell-substrate adhesion,NA,NA,NA,0.0102688943638248,0.0315744911244943,NA,NA
positive regulation of cellular component biogenesis,NA,NA,NA,0.0138657175413634,0.0212676505382763,NA,NA
positive regulation of GTPase activity,NA,NA,NA,NA,0.00580895922212979,NA,NA
positive regulation of nervous system development,NA,NA,NA,0.00164573985571653,0.00457313323252952,0.00557516088005692,NA
positive regulation of neurogenesis,NA,NA,NA,0.00231340577614512,0.0203025529890404,NA,NA
positive regulation of neuron differentiation,NA,NA,NA,0.0099617920295091,0.00438554550622953,NA,NA
positive regulation of neuron projection development,NA,NA,NA,0.0161973174168204,0.00696144158368735,NA,NA
positive regulation of ossification,NA,NA,NA,0.0100949920680675,NA,NA,NA
positive regulation of SMAD protein signal transduction,NA,NA,NA,0.0153035833996175,NA,NA,NA
positive regulation of stress fiber assembly,NA,NA,NA,0.0298834002242663,NA,NA,NA
positive regulation of synapse assembly,NA,NA,NA,NA,0.00851463857005479,0.00133232910560808,NA
positive regulation of synaptic transmission  glutamatergic,NA,NA,NA,0.0323939525763347,NA,NA,NA
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,NA,NA,NA,0.0339248040604928,NA,NA,NA
post-embryonic development,NA,NA,NA,0.0208591895533363,NA,NA,NA
potassium ion transmembrane transport,NA,NA,NA,NA,0.0191465238470798,NA,NA
potassium ion transport,NA,NA,NA,NA,0.0150497612949149,NA,NA
production of miRNAs involved in gene silencing by miRNA,NA,NA,NA,0.0145981024100989,NA,NA,NA
production of small RNA involved in gene silencing by RNA,NA,NA,NA,0.0492282845243382,NA,NA,NA
prostate gland epithelium morphogenesis,NA,NA,NA,0.0303316710436696,NA,NA,NA
prostate gland morphogenesis,NA,NA,NA,0.0439617109737723,NA,NA,NA
protein dephosphorylation,NA,NA,NA,0.0035587591085233,NA,NA,NA
protein heterotetramerization,NA,NA,NA,NA,NA,0.0294330503957135,0.0428711170783444
regulation of actin cytoskeleton organization,NA,NA,NA,0.0149665325765961,NA,NA,NA
regulation of actin filament bundle assembly,NA,NA,NA,0.00453142491346453,NA,NA,NA
regulation of actin filament organization,NA,NA,NA,0.0365781329851831,NA,NA,NA
regulation of actin filament-based process,NA,NA,NA,0.00221668747060107,NA,NA,NA
regulation of actomyosin structure organization,NA,NA,NA,0.000386187106295058,NA,NA,NA
regulation of BMP signaling pathway,NA,NA,NA,0.0314886762578631,NA,NA,NA
regulation of cation transmembrane transport,NA,NA,NA,NA,0.0418094955725384,NA,NA
regulation of cell growth,NA,NA,NA,NA,0.0443258818268281,NA,NA
regulation of cell morphogenesis,NA,NA,NA,0.0199880621720654,0.0203025529890404,NA,NA
regulation of cell-substrate adhesion,NA,NA,NA,0.00172127686710846,0.0217559651644632,NA,NA
regulation of cellular response to growth factor stimulus,NA,NA,NA,0.00389059929559909,NA,NA,NA
regulation of chondrocyte differentiation,NA,NA,NA,NA,0.0217559651644632,NA,NA
regulation of dephosphorylation,NA,NA,NA,0.0303316710436696,NA,NA,NA
regulation of embryonic development,NA,NA,NA,0.0037180063147591,NA,NA,NA
regulation of epithelial cell migration,NA,NA,NA,0.0151515451642031,NA,NA,NA
regulation of epithelial cell proliferation,NA,NA,NA,0.0233014643433159,NA,NA,NA
regulation of ERK1 and ERK2 cascade,NA,NA,NA,0.0303316710436696,NA,NA,NA
regulation of GTPase activity,NA,NA,NA,NA,0.00149041886240188,NA,NA
regulation of ion transmembrane transport,NA,NA,NA,0.0219202375525524,0.00438554550622953,NA,NA
regulation of kidney development,NA,NA,NA,0.0271492564838534,NA,NA,NA
regulation of membrane potential,NA,NA,NA,0.029488696026455,0.00149041886240188,NA,NA
regulation of mesonephros development,NA,NA,NA,0.0303316710436696,NA,NA,NA
regulation of morphogenesis of a branching structure,NA,NA,NA,0.0168560917775967,NA,NA,NA
regulation of morphogenesis of an epithelium,NA,NA,NA,0.00132992518114096,NA,NA,NA
regulation of neuron projection development,NA,NA,NA,0.00124284702352802,0.00203047725344316,0.0294330503957135,NA
regulation of oligodendrocyte differentiation,NA,NA,NA,0.0330120740147583,NA,NA,NA
regulation of organ morphogenesis,NA,NA,NA,0.00453142491346453,NA,NA,NA
regulation of ossification,NA,NA,NA,0.0202949560187069,NA,NA,NA
regulation of phosphatase activity,NA,NA,NA,0.0253565618262605,NA,NA,NA
regulation of postsynaptic membrane potential,NA,NA,NA,NA,0.0203025529890404,NA,NA
regulation of Ras protein signal transduction,NA,NA,NA,NA,0.0242450542535795,NA,NA
regulation of SMAD protein signal transduction,NA,NA,NA,0.0180359104379931,NA,NA,NA
regulation of small GTPase mediated signal transduction,NA,NA,NA,0.00970860568524926,0.00851463857005479,NA,NA
regulation of stress fiber assembly,NA,NA,NA,0.00231340577614512,NA,NA,NA
regulation of synapse assembly,NA,NA,NA,0.0130736759975592,0.00958231729494453,0.00710038688023268,NA
regulation of synapse organization,NA,NA,NA,0.0150969781975988,NA,0.00710038688023268,NA
regulation of synapse structure or activity,NA,NA,NA,0.0131977056273497,NA,0.00560837483870594,NA
regulation of synaptic transmission  glutamatergic,NA,NA,NA,0.029488696026455,NA,NA,NA
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,NA,NA,NA,0.0177121280549886,NA,NA,NA
release of sequestered calcium ion into cytosol,NA,NA,NA,NA,0.0452478905606977,NA,NA
renal system development,NA,NA,NA,2.4724706110906e-07,0.000906973358062457,NA,NA
renal tubule development,NA,NA,NA,0.000800513463967769,NA,NA,NA
renal tubule morphogenesis,NA,NA,NA,0.00453142491346453,NA,NA,NA
reproductive structure development,NA,NA,NA,0.0208591895533363,NA,NA,NA
reproductive system development,NA,NA,NA,0.0199880621720654,NA,NA,NA
response to histamine,NA,NA,NA,NA,0.0185871756047342,NA,NA
response to leucine,NA,NA,NA,NA,0.0277859352488061,NA,NA
retina development in camera-type eye,NA,NA,NA,0.00322743530031131,NA,NA,NA
retina morphogenesis in camera-type eye,NA,NA,NA,0.0298834002242663,NA,NA,NA
retinal ganglion cell axon guidance,NA,NA,NA,NA,0.0401890276611263,NA,NA
second-messenger-mediated signaling,NA,NA,NA,NA,0.0414146386919086,NA,NA
sensory organ morphogenesis,NA,NA,NA,0.00102237946174222,NA,NA,NA
signal release,NA,NA,NA,0.0381269995524463,NA,NA,NA
skeletal system development,NA,NA,NA,0.00132992518114096,NA,NA,NA
skeletal system morphogenesis,NA,NA,NA,0.0244708099000024,NA,NA,NA
smooth muscle tissue development,NA,NA,NA,0.0393037036964113,NA,NA,NA
sodium ion transport,NA,NA,NA,0.0199880621720654,NA,NA,NA
stress fiber assembly,NA,NA,NA,0.00233943173272519,NA,NA,NA
striated muscle tissue development,NA,NA,NA,0.011056476928714,NA,NA,NA
substrate-dependent cell migration,NA,NA,NA,0.0145981024100989,NA,NA,NA
synapse assembly,NA,NA,NA,NA,0.00438554550622953,0.00967446201059072,NA
synapse organization,NA,NA,NA,0.0102688943638248,0.00457313323252952,0.00710038688023268,NA
synaptic transmission  glutamatergic,NA,NA,NA,0.013671728644659,0.00438554550622953,NA,NA
telencephalon development,NA,NA,NA,0.0249382209866106,0.0242450542535795,NA,NA
tissue migration,NA,NA,NA,0.01214032033573,NA,NA,NA
transmembrane receptor protein serine/threonine kinase signaling pathway,NA,NA,NA,0.0202839874268692,NA,NA,NA
ureteric bud development,NA,NA,NA,2.1287122362827e-05,NA,NA,NA
ureteric bud morphogenesis,NA,NA,NA,0.00330454213919772,NA,NA,NA
urogenital system development,NA,NA,NA,1.31272707130651e-07,0.000587913078411338,NA,NA
ventricular septum development,NA,NA,NA,0.0208591895533363,NA,NA,NA
vocalization behavior,NA,NA,NA,NA,NA,NA,0.0419270740157246
Wnt signaling pathway,NA,NA,NA,0.00185857679158259,NA,NA,NA
Wnt signaling pathway  calcium modulating pathway,NA,NA,NA,0.0325945049566094,NA,NA,NA
