GO_MF_terms,_SB_count_1;all_genes,_SB_count_1;_SB_count_HiC_all,_SB_count_2;_SB_count_1,_SB_count_3;_SB_count_1,_SB_count_4;_SB_count_1,_SB_count_5;_SB_count_1,_SB_count_grthan5;_SB_count_1
neurotransmitter receptor activity,NA,NA,NA,NA,NA,0.0115183935979853,0.00302615490362813
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,0.0197699110551093,0.0113489835672936
odorant binding,NA,NA,NA,NA,NA,0.019842038329448,NA
passive transmembrane transporter activity,NA,NA,NA,NA,0.000562293638074155,4.75824672958305e-06,8.93494797239952e-05
peptide hormone binding,NA,NA,NA,NA,NA,0.0197699110551093,NA
polypeptide N-acetylgalactosaminyltransferase activity,NA,NA,NA,NA,NA,NA,0.0386758823791288
postsynaptic neurotransmitter receptor activity,NA,NA,NA,NA,NA,0.00435074327826707,0.00338665184618944
potassium channel activity,NA,NA,NA,NA,0.000670835907637732,0.0318848576331991,NA
potassium ion transmembrane transporter activity,NA,NA,NA,NA,0.000491391453949185,0.0477036370599569,NA
protein serine/threonine kinase activity,NA,NA,NA,NA,0.000475641770714785,0.000985538359949624,0.0358189604913247
protein tyrosine kinase activator activity,NA,NA,NA,NA,NA,NA,0.0210906852498072
Rho GTPase binding,NA,NA,NA,NA,NA,0.0155390474627781,NA
sialyltransferase activity,NA,NA,NA,NA,NA,0.0431817796583999,NA
signal transducer  downstream of receptor  with serine/threonine kinase activity,NA,NA,NA,NA,0.00720795295455264,0.0171452612549674,NA
signal transducer activity  downstream of receptor,NA,NA,NA,NA,0.0152345853710322,0.00528897659564294,NA
substrate-specific channel activity,NA,NA,NA,NA,0.000179606735418495,1.50096885562988e-06,5.54586571332443e-05
transmembrane receptor protein kinase activity,NA,NA,NA,NA,0.00785952987114599,0.0144723765948133,0.0358189604913247
transmembrane receptor protein phosphatase activity,NA,NA,NA,NA,NA,NA,0.000337301094526974
transmembrane receptor protein tyrosine kinase activity,NA,NA,NA,NA,NA,0.00740602421656318,NA
transmembrane receptor protein tyrosine phosphatase activity,NA,NA,NA,NA,NA,NA,0.000337301094526974
transmitter-gated channel activity,NA,NA,NA,NA,NA,0.000202979930140637,0.00282262925136135
transmitter-gated ion channel activity,NA,NA,NA,NA,NA,0.000202979930140637,0.00282262925136135
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,0.0197699110551093,0.0113489835672936
voltage-gated calcium channel activity,NA,NA,NA,NA,NA,0.0465505249351519,NA
voltage-gated cation channel activity,NA,NA,NA,NA,0.00426812013130625,0.000301740222057646,NA
voltage-gated channel activity,NA,NA,NA,NA,0.00720795295455264,0.00435074327826707,0.0479545878290869
voltage-gated ion channel activity,NA,NA,NA,NA,0.00720795295455264,0.00435074327826707,0.0479545878290869
voltage-gated potassium channel activity,NA,NA,NA,NA,0.00502887505778924,NA,NA
