GO_BP_terms,_TLC_count_1;all_genes,_TLC_count_1;_TLC_count_HiC_all,_TLC_count_2;_TLC_count_1,_TLC_count_3;_TLC_count_1,_TLC_count_4;_TLC_count_1,_TLC_count_5;_TLC_count_1,_TLC_count_grthan5;_TLC_count_1
segmentation,NA,NA,NA,NA,NA,NA,0.0324897436327382
sensory organ morphogenesis,NA,NA,NA,NA,NA,NA,0.0492672750775272
sensory perception of mechanical stimulus,NA,NA,NA,NA,NA,NA,0.0133770487068272
sensory perception of sound,NA,NA,NA,NA,NA,NA,0.0152677978668138
signal release,NA,NA,NA,NA,NA,NA,0.0103585345859135
skeletal system development,NA,NA,NA,NA,NA,0.0350174774295719,0.0133770487068272
skeletal system morphogenesis,NA,NA,NA,NA,NA,0.0362511873493867,0.0246224749690733
striated muscle tissue development,NA,NA,NA,NA,NA,NA,0.0276031917305354
synaptic transmission  GABAergic,NA,NA,NA,NA,NA,0.0381650913283026,NA
telencephalon development,NA,NA,NA,NA,NA,0.0345679222507811,0.000195693083039231
ureteric bud development,NA,NA,NA,NA,NA,NA,0.0246224749690733
urogenital system development,NA,NA,NA,NA,0.0492240480412623,0.0107989765521488,1.86117691392612e-06
Wnt signaling pathway,NA,NA,NA,NA,NA,NA,0.0406165341612641
