GO_CC_terms,_Lu_count_1;all_genes,_Lu_count_1;_Lu_count_HiC_all,_Lu_count_2;_Lu_count_1,_Lu_count_3;_Lu_count_1,_Lu_count_4;_Lu_count_1,_Lu_count_5;_Lu_count_1,_Lu_count_grthan5;_Lu_count_1
filopodium tip,NA,NA,NA,NA,NA,0.0133375649682921,NA
GABA receptor complex,NA,NA,NA,NA,0.00171968009997768,NA,NA
GABA-A receptor complex,NA,NA,NA,NA,0.00546513370162793,NA,NA
germ plasm,NA,NA,NA,0.0485185106979271,NA,NA,NA
growth cone,NA,NA,NA,0.0130416430543658,0.0383067984447267,0.0328440091602888,NA
intercalated disc,NA,NA,NA,0.0485185106979271,NA,NA,NA
ion channel complex,NA,NA,NA,5.44765125401495e-05,4.70887520891634e-07,0.0116110334120716,NA
ionotropic glutamate receptor complex,NA,NA,NA,NA,0.0129506375113313,0.0179351323775385,NA
juxtaparanode region of axon,NA,NA,NA,NA,0.00143102926751698,NA,NA
lamellipodium,NA,NA,NA,0.0339248388459175,NA,NA,NA
leading edge membrane,NA,NA,NA,NA,0.0439941374444283,NA,NA
main axon,NA,NA,NA,0.0339248388459175,0.000174781740847888,NA,NA
microfibril,NA,NA,NA,NA,NA,0.0255109144874565,NA
myofibril,NA,NA,NA,0.036363479852015,NA,NA,NA
neuron projection membrane,NA,NA,NA,0.0169738237281137,0.000210750595515019,NA,NA
neuron spine,NA,NA,NA,0.0278026206950554,0.0439941374444283,NA,NA
neuron to neuron synapse,NA,NA,NA,8.87528504867552e-05,0.000103195106777804,0.00161433465110184,NA
neuronal cell body,NA,NA,NA,0.0430856849292462,NA,NA,NA
neurotransmitter receptor complex,NA,NA,NA,NA,0.00238294407964754,0.0212256867177458,NA
NMDA selective glutamate receptor complex,NA,NA,NA,NA,NA,0.0327300597613545,NA
nuclear nucleosome,NA,NA,NA,NA,NA,0.0359810968129976,0.00655175491155384
nucleosome,NA,NA,NA,NA,NA,0.000786596065775859,0.00442785851778175
P granule,NA,NA,NA,0.0485185106979271,NA,NA,NA
plasma membrane raft,NA,NA,NA,0.0250277418995486,NA,NA,NA
plasma membrane receptor complex,NA,NA,NA,0.0148984503146963,NA,NA,NA
pole plasm,NA,NA,NA,0.0485185106979271,NA,NA,NA
postsynapse,NA,NA,NA,1.07294403685553e-06,9.00810358667877e-07,0.00996341848562916,NA
postsynaptic density,NA,NA,NA,0.000149538620073555,8.6315619246082e-05,0.00159138898810154,NA
postsynaptic density membrane,NA,NA,NA,NA,0.000540773030236504,NA,NA
postsynaptic membrane,NA,NA,NA,1.30010413947562e-05,0.00145836898590028,NA,NA
postsynaptic specialization,NA,NA,NA,0.000157276763567494,0.000103195106777804,0.00159138898810154,NA
postsynaptic specialization membrane,NA,NA,NA,NA,0.0011152334905302,NA,NA
potassium channel complex,NA,NA,NA,0.0130383347425342,1.42533721812251e-06,0.0327300597613545,NA
presynapse,NA,NA,NA,NA,0.00315208017143071,0.0376992520666791,NA
protein-DNA complex,NA,NA,NA,NA,NA,0.000208426142174001,0.00743527295910714
proteinaceous extracellular matrix,NA,NA,NA,9.58178646648442e-05,0.000578518136570916,0.00556669613011279,NA
receptor complex,NA,NA,NA,2.40820327480284e-05,7.02952118498196e-05,0.0116110334120716,NA
sarcolemma,NA,NA,NA,0.00405639839740127,NA,NA,NA
site of polarized growth,NA,NA,NA,0.0130383347425342,NA,0.0376992520666791,0.0110445235127268
synaptic membrane,NA,NA,NA,4.06001669694573e-05,0.000238345474679669,0.0111264873715833,NA
synaptic vesicle,NA,NA,NA,NA,0.0493390252909033,NA,NA
transmembrane transporter complex,NA,NA,NA,8.41846930517469e-05,4.70887520891634e-07,0.0116110334120716,NA
transporter complex,NA,NA,NA,0.000203010042272361,9.00810358667877e-07,0.0131664409827108,NA
voltage-gated calcium channel complex,NA,NA,NA,0.0318097594794209,NA,NA,NA
voltage-gated potassium channel complex,NA,NA,NA,0.0116747038000366,2.19307576592836e-06,NA,NA
Z disc,NA,NA,NA,0.0278026206950554,NA,NA,NA
