GO_BP_terms,_Ov_count_1;all_genes,_Ov_count_1;_Ov_count_HiC_all,_Ov_count_2;_Ov_count_1,_Ov_count_3;_Ov_count_1,_Ov_count_4;_Ov_count_1,_Ov_count_5;_Ov_count_1,_Ov_count_grthan5;_Ov_count_1
positive regulation of cell development,NA,NA,NA,NA,0.048852477067799,0.0144445266602731,NA
positive regulation of cell projection organization,NA,NA,NA,NA,NA,0.00575542866841117,NA
positive regulation of cell-substrate adhesion,NA,NA,NA,NA,0.0358638348242856,NA,NA
positive regulation of insulin secretion involved in cellular response to glucose stimulus,NA,NA,NA,NA,NA,0.024704049554339,NA
positive regulation of nervous system development,NA,NA,NA,NA,0.0168396712655535,0.00251825440541121,0.00172920859866313
positive regulation of neurogenesis,NA,NA,NA,NA,NA,0.0142698990632303,NA
positive regulation of neuron differentiation,NA,NA,NA,NA,NA,0.014452255894297,NA
positive regulation of neuron projection development,NA,NA,NA,NA,NA,0.00180717847365776,NA
positive regulation of synapse assembly,NA,NA,NA,NA,NA,NA,2.75667821163703e-05
potassium ion transmembrane transport,NA,NA,NA,NA,0.0072442297466081,0.00242972598824779,NA
potassium ion transport,NA,NA,NA,NA,0.021651657316726,0.00501525944948146,NA
regulation of cardiac muscle cell contraction,NA,NA,NA,NA,0.0275578708158846,0.0350877601339306,NA
regulation of cell morphogenesis,NA,NA,NA,NA,NA,0.00488391549401083,NA
regulation of cell morphogenesis involved in differentiation,NA,NA,NA,NA,NA,0.00240680462143132,NA
regulation of cell-substrate adhesion,NA,NA,NA,NA,0.00517659539724335,NA,NA
regulation of dendrite development,NA,NA,NA,NA,NA,0.00604514098880092,0.0368293697860931
regulation of hormone levels,NA,NA,NA,0.0471002914091485,NA,NA,NA
regulation of insulin secretion involved in cellular response to glucose stimulus,NA,NA,NA,NA,NA,0.0262358223587983,NA
regulation of ion transmembrane transport,NA,NA,NA,NA,NA,NA,0.0331919648345399
regulation of membrane potential,NA,NA,NA,NA,0.0155610097803638,3.6254356380459e-06,1.3029997618338e-07
regulation of neuron migration,NA,NA,NA,NA,NA,NA,0.00136751330945653
regulation of neuron projection development,NA,NA,NA,NA,NA,7.29532284858957e-06,0.00584926599825372
regulation of neurotransmitter levels,NA,NA,NA,NA,NA,0.0497464194414858,NA
regulation of NMDA receptor activity,NA,NA,NA,NA,NA,0.0434726917093179,NA
regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,6.01021570042934e-05,2.75667821163703e-05
regulation of synapse assembly,NA,NA,NA,NA,NA,NA,4.80079552739421e-05
regulation of synapse organization,NA,NA,NA,NA,NA,0.00670309113223913,0.000541270452576751
regulation of synapse structure or activity,NA,NA,NA,NA,NA,0.0073458109173566,0.000546085645503248
regulation of synaptic transmission  glutamatergic,NA,NA,NA,NA,NA,0.0292661693829778,NA
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,NA,NA,NA,NA,0.0402638578828756,NA,NA
renal system development,NA,NA,NA,0.0479048378539835,0.0347124908243654,NA,NA
response to histamine,NA,NA,NA,NA,NA,NA,0.0231386392897901
retinal ganglion cell axon guidance,NA,NA,NA,NA,NA,0.000196267257656438,0.000167543160901869
second-messenger-mediated signaling,NA,NA,NA,NA,NA,NA,0.0365968349507734
sensory perception of chemical stimulus,NA,NA,NA,NA,0.0134530871563225,NA,NA
sensory perception of mechanical stimulus,NA,NA,NA,NA,NA,1.84125082594837e-05,0.000126687723661699
sensory perception of smell,NA,NA,NA,NA,0.0051620759517077,NA,NA
sensory perception of sound,NA,NA,NA,NA,NA,1.392343673004e-05,2.75667821163703e-05
signal release from synapse,NA,NA,NA,NA,NA,0.0350877601339306,NA
sodium ion transmembrane transport,NA,NA,NA,NA,NA,0.00273370994289753,NA
sodium ion transport,NA,NA,NA,NA,NA,0.00575542866841117,NA
startle response,NA,NA,NA,NA,NA,NA,0.0331432707240496
synapse assembly,NA,NA,NA,0.0471002914091485,NA,0.00214813916940912,0.000123421119728804
synapse organization,NA,NA,NA,NA,NA,1.4148200855742e-05,0.000123421119728804
synaptic transmission  glutamatergic,NA,NA,NA,NA,NA,0.00225340410546633,NA
transmembrane receptor protein serine/threonine kinase signaling pathway,NA,NA,NA,NA,0.0465330038186982,NA,NA
urogenital system development,NA,NA,NA,NA,0.0109418686206557,NA,NA
