GO_BP_terms,_SB_count_1;all_genes,_SB_count_1;_SB_count_HiC_all,_SB_count_2;_SB_count_1,_SB_count_3;_SB_count_1,_SB_count_4;_SB_count_1,_SB_count_5;_SB_count_1,_SB_count_grthan5;_SB_count_1
positive regulation of chondrocyte differentiation,NA,NA,NA,NA,NA,0.0369703397443191,NA
positive regulation of dendrite development,NA,NA,NA,NA,NA,0.0141296120777224,0.00271538036230765
positive regulation of dendrite morphogenesis,NA,NA,NA,NA,NA,NA,0.0442683927125444
positive regulation of dendritic spine development,NA,NA,NA,NA,NA,0.023488888968644,NA
positive regulation of nervous system development,NA,NA,NA,NA,0.00491252210793409,0.00015417294775525,7.45619867748518e-05
positive regulation of neurogenesis,NA,NA,NA,NA,0.0100293339037792,0.000771737969409058,0.00209441087028588
positive regulation of neuron differentiation,NA,NA,NA,NA,0.00347828928441056,0.00101636175608118,0.0031488857385547
positive regulation of neuron projection development,NA,NA,NA,NA,0.00318915412148501,0.00484540360486236,0.028020601759222
positive regulation of phosphatidylinositol 3-kinase signaling,NA,NA,NA,NA,NA,0.0327310438361372,NA
positive regulation of synapse assembly,NA,NA,NA,NA,NA,0.00528404017276331,0.000309526417209764
postsynapse organization,NA,NA,NA,NA,NA,0.0164041090984455,NA
potassium ion transmembrane transport,NA,NA,NA,NA,0.00491252210793409,NA,NA
potassium ion transport,NA,NA,NA,NA,0.0076918634685024,NA,NA
proteoglycan metabolic process,NA,NA,NA,NA,NA,0.0413779347016323,NA
receptor localization to synapse,NA,NA,NA,NA,NA,NA,0.0129128611401462
regulation of action potential,NA,NA,NA,NA,NA,NA,0.0442683927125444
regulation of axonogenesis,NA,NA,NA,NA,NA,0.0186276825061847,0.0270060862795349
regulation of blood circulation,NA,NA,NA,NA,NA,0.0124611741230495,NA
regulation of calcium ion transmembrane transporter activity,NA,NA,NA,NA,NA,NA,0.0380610835749634
regulation of cardiac muscle cell action potential,NA,NA,NA,NA,NA,NA,0.0442683927125444
regulation of cardiac muscle cell contraction,NA,NA,NA,NA,NA,0.023488888968644,0.0356529141381476
regulation of cardiac muscle contraction,NA,NA,NA,NA,NA,0.0356586374999583,NA
regulation of cartilage development,NA,NA,NA,NA,NA,0.0190194086956494,NA
regulation of cation channel activity,NA,NA,NA,NA,NA,NA,0.0125381643402274
regulation of cation transmembrane transport,NA,NA,NA,NA,NA,NA,0.0442683927125444
regulation of cell morphogenesis,NA,NA,NA,NA,NA,0.00134026360529717,0.00274061469565077
regulation of cell morphogenesis involved in differentiation,NA,NA,NA,NA,NA,0.00261944533191888,0.0176568015807008
regulation of chondrocyte differentiation,NA,NA,NA,NA,NA,0.000771737969409058,NA
regulation of dendrite development,NA,NA,NA,NA,NA,0.000573553157906831,0.00683932183776372
regulation of dendritic spine development,NA,NA,NA,NA,NA,0.00261944533191888,NA
regulation of heart contraction,NA,NA,NA,NA,NA,0.0413779347016323,NA
regulation of ion transmembrane transport,NA,NA,NA,NA,NA,0.013616225649772,0.0329919268494079
regulation of ion transmembrane transporter activity,NA,NA,NA,NA,NA,NA,0.0173625738776481
regulation of membrane potential,NA,NA,NA,NA,0.0475372911175203,6.56854639300313e-07,0.000118299905577286
regulation of muscle tissue development,NA,NA,NA,NA,0.0334791749832339,NA,NA
regulation of neurological system process,NA,NA,NA,NA,NA,0.0366471715475062,NA
regulation of neuron migration,NA,NA,NA,NA,NA,NA,0.00280172498015513
regulation of neuron projection development,NA,NA,NA,NA,0.00195122865915965,1.14810920458142e-05,0.000275588865621327
regulation of non-canonical Wnt signaling pathway,NA,NA,NA,NA,NA,0.0322503707567793,NA
regulation of phospholipase A2 activity,NA,NA,NA,NA,0.0233983358838422,NA,NA
regulation of phospholipase activity,NA,NA,NA,NA,0.0279923362128002,NA,NA
regulation of postsynapse organization,NA,NA,NA,NA,NA,0.0237382185114391,NA
regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,7.6994800417121e-05,0.00238007636996287
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,NA,NA,NA,NA,NA,0.0356586374999583,NA
regulation of Rho protein signal transduction,NA,NA,NA,NA,NA,0.0164162996394061,NA
regulation of small GTPase mediated signal transduction,NA,NA,NA,NA,NA,0.0122969784976445,NA
regulation of synapse assembly,NA,NA,NA,NA,0.0103475709991849,0.0018213518851837,0.000118299905577286
regulation of synapse organization,NA,NA,NA,NA,0.00551723152199995,0.000384173769679353,0.00144911756599135
regulation of synapse structure or activity,NA,NA,NA,NA,0.00691850531633735,0.000834281814773764,0.00144911756599135
regulation of synaptic plasticity,NA,NA,NA,NA,NA,NA,0.00514011735912564
regulation of synaptic transmission  glutamatergic,NA,NA,NA,NA,NA,0.00392092007095093,0.00977628138608519
regulation of trans-synaptic signaling,NA,NA,NA,NA,NA,0.00012982717843297,0.00514011735912564
regulation of transmembrane transporter activity,NA,NA,NA,NA,NA,NA,0.024031213306409
regulation of transporter activity,NA,NA,NA,NA,NA,NA,0.0394127313734324
regulation of Wnt signaling pathway  planar cell polarity pathway,NA,NA,NA,NA,NA,0.0482364862723533,NA
regulation of wound healing,NA,NA,NA,NA,0.0475372911175203,NA,NA
release of sequestered calcium ion into cytosol by endoplasmic reticulum,NA,NA,NA,NA,NA,0.0439017054630143,NA
renal system development,NA,NA,NA,0.0479650692495513,0.00205559664998048,0.00330462907136822,NA
response to transforming growth factor beta,NA,NA,NA,NA,NA,0.0462546427025975,NA
retinal ganglion cell axon guidance,NA,NA,NA,NA,NA,0.000834281814773764,NA
Rho protein signal transduction,NA,NA,NA,NA,NA,0.0239941496103112,NA
second-messenger-mediated signaling,NA,NA,NA,NA,NA,0.000384173769679353,0.0356529141381476
sensory organ morphogenesis,NA,NA,NA,NA,0.0230720349190967,0.0458136723044686,NA
sensory perception of mechanical stimulus,NA,NA,NA,NA,0.0319848047309876,0.000221423951113004,NA
sensory perception of sound,NA,NA,NA,NA,NA,0.000654906740271088,0.0485090049867643
signal release,NA,NA,NA,NA,0.00347828928441056,0.000618204362199337,NA
signal release from synapse,NA,NA,NA,NA,NA,0.0230322437613391,NA
skeletal system development,NA,NA,NA,NA,0.0079467672859374,0.0214617059777834,NA
sodium ion transport,NA,NA,NA,NA,0.0326071556092868,NA,NA
startle response,NA,NA,NA,NA,NA,NA,0.0489014121749519
striated muscle tissue development,NA,NA,NA,NA,0.031868162897187,0.0387649116869316,NA
substrate-dependent cell migration,NA,NA,NA,NA,NA,0.00916815395197887,NA
synapse assembly,NA,NA,NA,NA,NA,0.000167050938633362,1.39030813869415e-05
synapse organization,NA,NA,NA,NA,0.00550546094772539,5.71110846173638e-07,7.95495627258794e-07
synaptic transmission  glutamatergic,NA,NA,NA,NA,0.012169746293357,0.000638349766576931,0.000164503775515655
synaptic vesicle cycle,NA,NA,NA,NA,NA,0.021056671940341,NA
telencephalon cell migration,NA,NA,NA,NA,NA,0.0496742508224788,0.00465437728163394
telencephalon development,NA,NA,NA,NA,0.0077624794033255,0.0236725535964896,NA
urogenital system development,NA,NA,NA,NA,0.000908829771794789,0.00197293296457555,NA
