rank,repName,repFamily,repType,cluster,repTranspoType
79,MER5B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
80,LTR16A1,ERVL,LTR,ClusterI,Retrotransposon
81,LTR50,ERVL,LTR,ClusterI,Retrotransposon
82,MLT1H,ERVL-MaLR,LTR,ClusterI,Retrotransposon
83,FordPrefect,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
84,Arthur1A,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
85,Charlie1b,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
86,MER5A,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
87,MLT1G,ERVL-MaLR,LTR,ClusterI,Retrotransposon
88,MLT1H2,ERVL-MaLR,LTR,ClusterI,Retrotransposon
89,MER5C,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
90,LTR16A,ERVL,LTR,ClusterI,Retrotransposon
91,L1MD,L1,non-LTR,ClusterI,Retrotransposon
92,MER91A,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
93,MLT1H1,ERVL-MaLR,LTR,ClusterI,Retrotransposon
94,MER91C,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
95,MER58D,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
96,LTR37A,ERV1,LTR,ClusterI,Retrotransposon
97,MER57A-int,ERV1,LTR,ClusterI,Retrotransposon
98,MADE2,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
99,MER97a,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
100,Charlie1,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
101,MER94,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
102,MLT2F,ERVL,LTR,ClusterI,Retrotransposon
103,MER5A1,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
104,MLT1G1,ERVL-MaLR,LTR,ClusterI,Retrotransposon
105,MER119,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
106,MER97b,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
107,MER63C,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
108,MER3,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
109,MER63B,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
110,Charlie5,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
111,L1MD2,L1,non-LTR,ClusterI,Retrotransposon
112,MER33,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
113,LTR16B,ERVL,LTR,ClusterI,Retrotransposon
114,MER45R,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
115,MLT1F1,ERVL-MaLR,LTR,ClusterI,Retrotransposon
116,MER45C,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
117,L1MD1,L1,non-LTR,ClusterI,Retrotransposon
118,MLT1F,ERVL-MaLR,LTR,ClusterI,Retrotransposon
119,L1MD3,L1,non-LTR,ClusterI,Retrotransposon
120,L1MC3,L1,non-LTR,ClusterI,Retrotransposon
121,LTR41,ERVL,LTR,ClusterI,Retrotransposon
122,MER106A,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
123,MER63A,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
124,MER58C,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
125,MLT1F2,ERVL-MaLR,LTR,ClusterI,Retrotransposon
126,MER96B,hAT,DNAtransposon,ClusterI,DNAtransposon
127,MER58B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
128,Tigger6a,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
129,Tigger6b,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
130,L1MB7,L1,non-LTR,ClusterI,Retrotransposon
131,MER45B,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
132,MER106B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
133,MLT1F-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
134,LTR40a,ERVL,LTR,ClusterI,Retrotransposon
135,MER58A,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
136,LTR40b,ERVL,LTR,ClusterI,Retrotransposon
137,MLT1E3,ERVL-MaLR,LTR,ClusterI,Retrotransposon
138,MLT1E1A,ERVL-MaLR,LTR,ClusterI,Retrotransposon
139,MER20,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
140,MLT1E,ERVL-MaLR,LTR,ClusterI,Retrotransposon
141,L1MB8,L1,non-LTR,ClusterI,Retrotransposon
142,ORSL,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
143,MLT1E1,ERVL-MaLR,LTR,ClusterI,Retrotransposon
144,MER81,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
145,MER53,hAT,DNAtransposon,ClusterI,DNAtransposon
146,MER96,hAT,DNAtransposon,ClusterI,DNAtransposon
147,MER45A,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
148,L1MC2,L1,non-LTR,ClusterI,Retrotransposon
149,MER68,ERVL,LTR,ClusterI,Retrotransposon
150,L1MB4,L1,non-LTR,ClusterI,Retrotransposon
151,LTR52,ERVL,LTR,ClusterI,Retrotransposon
152,MLT1E2,ERVL-MaLR,LTR,ClusterI,Retrotransposon
153,MLT1D,ERVL-MaLR,LTR,ClusterI,Retrotransposon
154,L1MB5,L1,non-LTR,ClusterI,Retrotransposon
155,MER92B,ERV1,LTR,ClusterI,Retrotransposon
156,MLT2C1,ERVL,LTR,ClusterI,Retrotransposon
157,MER77,ERVL,LTR,ClusterI,Retrotransposon
158,MER82,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
159,MER89,ERV1,LTR,ClusterI,Retrotransposon
160,L1MC1,L1,non-LTR,ClusterI,Retrotransposon
161,MLT1C,ERVL-MaLR,LTR,ClusterI,Retrotransposon
162,MER67D,ERV1,LTR,ClusterI,Retrotransposon
163,L1MB3,L1,non-LTR,ClusterI,Retrotransposon
164,MER67C,ERV1,LTR,ClusterI,Retrotransposon
165,L1MB2,L1,non-LTR,ClusterI,Retrotransposon
166,L1M3c,L1,non-LTR,ClusterI,Retrotransposon
167,L1M3e,L1,non-LTR,ClusterI,Retrotransposon
168,MER74A,ERVL,LTR,ClusterI,Retrotransposon
169,MLT2D,ERVL,LTR,ClusterI,Retrotransposon
170,L1M3,L1,non-LTR,ClusterI,Retrotransposon
171,MLT2C2,ERVL,LTR,ClusterI,Retrotransposon
172,MLT1B,ERVL-MaLR,LTR,ClusterI,Retrotransposon
173,MER31B,ERV1,LTR,ClusterI,Retrotransposon
174,L1MA9,L1,non-LTR,ClusterI,Retrotransposon
175,MER74B,ERVL,LTR,ClusterI,Retrotransposon
176,L1MA10,L1,non-LTR,ClusterI,Retrotransposon
177,L1MB1,L1,non-LTR,ClusterI,Retrotransposon
178,L1M2,L1,non-LTR,ClusterI,Retrotransposon
179,LTR49-int,ERV1,LTR,ClusterI,Retrotransposon
180,MLT2B4,ERVL,LTR,ClusterI,Retrotransposon
181,L1MA8,L1,non-LTR,ClusterI,Retrotransposon
182,MLT2B1,ERVL,LTR,ClusterI,Retrotransposon
183,MER21C,ERVL,LTR,ClusterI,Retrotransposon
184,MER4B-int,ERV1,LTR,ClusterI,Retrotransposon
185,MLT1A,ERVL-MaLR,LTR,ClusterI,Retrotransposon
186,MER34,ERV1,LTR,ClusterI,Retrotransposon
187,MER31A,ERV1,LTR,ClusterI,Retrotransposon
188,MER34B,ERV1,LTR,ClusterI,Retrotransposon
189,MER34C_,ERV1,LTR,ClusterI,Retrotransposon
190,MLT1A0,ERVL-MaLR,LTR,ClusterI,Retrotransposon
191,L1MA7,L1,non-LTR,ClusterI,Retrotransposon
192,MER39,ERV1,LTR,ClusterI,Retrotransposon
193,MLT1A0-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
194,MLT2B2,ERVL,LTR,ClusterI,Retrotransposon
195,L1M1,L1,non-LTR,ClusterI,Retrotransposon
196,L1M3b,L1,non-LTR,ClusterI,Retrotransposon
197,MER44C,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
198,L1MA6,L1,non-LTR,ClusterI,Retrotransposon
199,MSTD-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
200,MLT1A1,ERVL-MaLR,LTR,ClusterI,Retrotransposon
201,MER44B,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
202,MER44A,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
203,Tigger7,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
204,MER44D,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
205,LTR48,ERV1,LTR,ClusterI,Retrotransposon
206,MER21B,ERVL,LTR,ClusterI,Retrotransposon
207,MSTD,ERVL-MaLR,LTR,ClusterI,Retrotransposon
208,Tigger4,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
209,MER2,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
210,Ricksha,MuDR,DNAtransposon,ClusterI,DNAtransposon
211,MER2B,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
212,Tigger3b,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
213,Tigger5,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
214,Tigger3,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
215,MER6C,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
216,Tigger1,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
217,L1MA5,L1,non-LTR,ClusterI,Retrotransposon
218,MSTC,ERVL-MaLR,LTR,ClusterI,Retrotransposon
219,LTR54,ERV1,LTR,ClusterI,Retrotransposon
220,MER6,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
221,MER6A,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
222,LTR48B,ERV1,LTR,ClusterI,Retrotransposon
223,Tigger2,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
224,Tigger2b_Pri,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
225,MER65A,ERV1,LTR,ClusterI,Retrotransposon
226,L1M3f,L1,non-LTR,ClusterI,Retrotransposon
227,L1MA4,L1,non-LTR,ClusterI,Retrotransposon
228,Tigger2a,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
229,L1MA4A,L1,non-LTR,ClusterI,Retrotransposon
230,HSMAR2,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
231,LTR49,ERV1,LTR,ClusterI,Retrotransposon
232,MSTB2,ERVL-MaLR,LTR,ClusterI,Retrotransposon
233,PRIMA4-int,ERV1,LTR,ClusterI,Retrotransposon
234,L1MA5A,L1,non-LTR,ClusterI,Retrotransposon
235,MER8,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
236,LTR23,ERV1,LTR,ClusterI,Retrotransposon
237,LTR26,ERV1,LTR,ClusterI,Retrotransposon
238,L1PB4,L1,non-LTR,ClusterI,Retrotransposon
239,MER39B,ERV1,LTR,ClusterI,Retrotransposon
240,L1PA17,L1,non-LTR,ClusterI,Retrotransposon
241,LTR39,ERV1,LTR,ClusterI,Retrotransposon
242,LTR47A,ERVL,LTR,ClusterI,Retrotransposon
243,MER4D,ERV1,LTR,ClusterI,Retrotransposon
244,MER49,ERV1,LTR,ClusterI,Retrotransposon
245,MSTB1,ERVL-MaLR,LTR,ClusterI,Retrotransposon
246,MER72,ERV1,LTR,ClusterI,Retrotransposon
247,L1PA15-16,L1,non-LTR,ClusterI,Retrotransposon
248,L1MA3,L1,non-LTR,ClusterI,Retrotransposon
249,L1PA16,L1,non-LTR,ClusterI,Retrotransposon
250,FAM,Alu,non-LTR,ClusterII,Retrotransposon
251,L1PB3,L1,non-LTR,ClusterI,Retrotransposon
252,L1PA15,L1,non-LTR,ClusterI,Retrotransposon
253,MSTB-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
254,MER4C,ERV1,LTR,ClusterI,Retrotransposon
255,MER4D1,ERV1,LTR,ClusterI,Retrotransposon
256,MER21A,ERVL,LTR,ClusterI,Retrotransposon
257,L1MA2,L1,non-LTR,ClusterI,Retrotransposon
258,LTR32,ERVL,LTR,ClusterI,Retrotransposon
259,L1MA1,L1,non-LTR,ClusterI,Retrotransposon
260,MSTB,ERVL-MaLR,LTR,ClusterI,Retrotransposon
261,L1PA13,L1,non-LTR,ClusterI,Retrotransposon
262,LTR8A,ERV1,LTR,ClusterI,Retrotransposon
263,MER30B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
264,L1PA14,L1,non-LTR,ClusterI,Retrotransposon
265,L1PB2,L1,non-LTR,ClusterI,Retrotransposon
266,L1PREC2,L1,non-LTR,ClusterI,Retrotransposon
267,L1P5,L1,non-LTR,ClusterI,Retrotransposon
268,L1P,L1,non-LTR,ClusterI,Retrotransposon
269,L1P4,L1,non-LTR,ClusterI,Retrotransposon
270,LOR1a,ERV1,LTR,ClusterI,Retrotransposon
271,L1PBa,L1,non-LTR,ClusterI,Retrotransposon
272,L1PBa1,L1,non-LTR,ClusterI,Retrotransposon
273,MSTA-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
274,Charlie3,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
275,MLT2B3,ERVL,LTR,ClusterI,Retrotransposon
276,MER4A,ERV1,LTR,ClusterI,Retrotransposon
277,MER6B,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
278,LOR1b,ERV1,LTR,ClusterI,Retrotransposon
279,MER41B,ERV1,LTR,ClusterI,Retrotransposon
280,AluJo,Alu,non-LTR,ClusterII,Retrotransposon
281,L1PA12,L1,non-LTR,ClusterI,Retrotransposon
282,FLAM_A,Alu,non-LTR,ClusterII,Retrotransposon
283,MER4B,ERV1,LTR,ClusterI,Retrotransposon
284,MER107,DNA,DNAtransposon,ClusterI,DNAtransposon
285,MER50,ERV1,LTR,ClusterI,Retrotransposon
286,MSTA,ERVL-MaLR,LTR,ClusterI,Retrotransposon
287,MER66B,ERV1,LTR,ClusterI,Retrotransposon
288,MER75,PiggyBac,DNAtransposon,ClusterI,DNAtransposon
289,MER1A,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
290,HSMAR1,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
291,L1PA11,L1,non-LTR,ClusterI,Retrotransposon
292,L1PB1,L1,non-LTR,ClusterI,Retrotransposon
293,L1PB,L1,non-LTR,ClusterI,Retrotransposon
294,THE1D-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
295,Charlie12,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
296,MER4E1,ERV1,LTR,ClusterI,Retrotransposon
297,L1PA10,L1,non-LTR,ClusterI,Retrotransposon
298,LTR8,ERV1,LTR,ClusterI,Retrotransposon
299,MER30,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
300,MER1B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
301,AluJb,Alu,non-LTR,ClusterII,Retrotransposon
302,FLAM_C,Alu,non-LTR,ClusterII,Retrotransposon
303,THE1D,ERVL-MaLR,LTR,ClusterI,Retrotransposon
304,THE1C-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
305,MER50B,ERV1,LTR,ClusterI,Retrotransposon
306,MER52A,ERV1,LTR,ClusterI,Retrotransposon
307,L1P3,L1,non-LTR,ClusterI,Retrotransposon
308,THE1C,ERVL-MaLR,LTR,ClusterI,Retrotransposon
309,THE1B-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
310,MER41C,ERV1,LTR,ClusterI,Retrotransposon
311,LTR1D,ERV1,LTR,ClusterI,Retrotransposon
312,L1PA8A,L1,non-LTR,ClusterI,Retrotransposon
313,MER41A,ERV1,LTR,ClusterI,Retrotransposon
314,MLT2A2,ERVL,LTR,ClusterI,Retrotransposon
315,MER4A1,ERV1,LTR,ClusterI,Retrotransposon
316,LTR1B,ERV1,LTR,ClusterI,Retrotransposon
317,MLT-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
318,MER51A,ERV1,LTR,ClusterI,Retrotransposon
319,MER85,PiggyBac,DNAtransposon,ClusterI,DNAtransposon
320,PABL_A,ERV1,LTR,ClusterI,Retrotransposon
321,MLT2A1,ERVL,LTR,ClusterI,Retrotransposon
322,THE1A-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
323,THE1B,ERVL-MaLR,LTR,ClusterI,Retrotransposon
324,MADE1,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
325,LTR1,ERV1,LTR,ClusterI,Retrotransposon
326,LTR9,ERV1,LTR,ClusterI,Retrotransposon
327,MER61A,ERV1,LTR,ClusterI,Retrotransposon
328,MER51B,ERV1,LTR,ClusterI,Retrotransposon
329,LTR9B,ERV1,LTR,ClusterI,Retrotransposon
330,THE1A,ERVL-MaLR,LTR,ClusterI,Retrotransposon
331,L1PA8,L1,non-LTR,ClusterI,Retrotransposon
332,L1PA7,L1,non-LTR,ClusterI,Retrotransposon
333,L1P2,L1,non-LTR,ClusterI,Retrotransposon
334,AluSx,Alu,non-LTR,ClusterII,Retrotransposon
335,LTR10C,ERV1,LTR,ClusterI,Retrotransposon
336,LTR12_,ERV1,LTR,ClusterI,Retrotransposon
337,AluSc,Alu,non-LTR,ClusterII,Retrotransposon
338,AluSq,Alu,non-LTR,ClusterII,Retrotransposon
339,L1PA6,L1,non-LTR,ClusterI,Retrotransposon
340,LTR10F,ERV1,LTR,ClusterI,Retrotransposon
341,AluSg,Alu,non-LTR,ClusterII,Retrotransposon
342,LTR17,ERV1,LTR,ClusterI,Retrotransposon
343,AluSp,Alu,non-LTR,ClusterII,Retrotransposon
344,L1PA5,L1,non-LTR,ClusterI,Retrotransposon
345,L1P1,L1,non-LTR,ClusterI,Retrotransposon
346,MER11A,ERVK,LTR,ClusterII,Retrotransposon
347,LTR7B,ERV1,LTR,ClusterI,Retrotransposon
348,LTR2,ERV1,LTR,ClusterI,Retrotransposon
349,LTR12,ERV1,LTR,ClusterI,Retrotransposon
350,L1PA4,L1,non-LTR,ClusterI,Retrotransposon
351,MER11C,ERVK,LTR,ClusterII,Retrotransposon
352,L1PA3,L1,non-LTR,ClusterI,Retrotransposon
353,LTR5_Hs,ERVK,LTR,ClusterII,Retrotransposon
354,AluY,Alu,non-LTR,ClusterII,Retrotransposon
355,LTR12C,ERV1,LTR,ClusterI,Retrotransposon
356,MER11B,ERVK,LTR,ClusterII,Retrotransposon
357,FRAM,Alu,non-LTR,ClusterII,Retrotransposon
358,AluYd8,Alu,non-LTR,ClusterII,Retrotransposon
359,L1HS,L1,non-LTR,ClusterI,Retrotransposon
360,L1PA2,L1,non-LTR,ClusterI,Retrotransposon
361,LTR7,ERV1,LTR,ClusterI,Retrotransposon
362,AluYg6,Alu,non-LTR,ClusterII,Retrotransposon
363,AluYa5,Alu,non-LTR,ClusterII,Retrotransposon
364,AluYb8,Alu,non-LTR,ClusterII,Retrotransposon
