min2Mb_chr1_All_topCP3_gapBin50_hub1	min2Mb_chr1_All_topCP3_gapBin50_hub2	min2Mb_chr1_All_topCP3_gapBin50_hub3	min2Mb_chr1_All_topCP3_gapBin50_hub4	min2Mb_chr2_All_topCP3_gapBin50_hub1	min2Mb_chr2_All_topCP3_gapBin50_hub2	min2Mb_chr2_All_topCP3_gapBin50_hub3	min2Mb_chr3_All_topCP3_gapBin50_hub1	min2Mb_chr3_All_topCP3_gapBin50_hub2	min2Mb_chr3_All_topCP3_gapBin50_hub3	min2Mb_chr4_All_topCP3_gapBin50_hub1	min2Mb_chr4_All_topCP3_gapBin50_hub2	min2Mb_chr4_All_topCP3_gapBin50_hub3	min2Mb_chr5_All_topCP3_gapBin50_hub1	min2Mb_chr5_All_topCP3_gapBin50_hub2	min2Mb_chr5_All_topCP3_gapBin50_hub3	min2Mb_chr6_All_topCP3_gapBin50_hub1	min2Mb_chr6_All_topCP3_gapBin50_hub2	min2Mb_chr7_All_topCP3_gapBin50_hub1	min2Mb_chr7_All_topCP3_gapBin50_hub2	min2Mb_chr8_All_topCP3_gapBin50_hub1	min2Mb_chr9_All_topCP3_gapBin50_hub1	min2Mb_chr10_All_topCP3_gapBin50_hub1	min2Mb_chr11_All_topCP3_gapBin50_hub1	min2Mb_chr11_All_topCP3_gapBin50_hub2	min2Mb_chr11_All_topCP3_gapBin50_hub3	min2Mb_chr12_All_topCP3_gapBin50_hub1	min2Mb_chr13_All_topCP3_gapBin50_hub1	min2Mb_chr14_All_topCP3_gapBin50_hub1	min2Mb_chr16_All_topCP3_gapBin50_hub1	min2Mb_chr18_All_topCP3_gapBin50_hub1	min2Mb_chr18_All_topCP3_gapBin50_hub2	min2Mb_chr19_All_topCP3_gapBin50_hub1	min2Mb_chr20_All_topCP3_gapBin50_hub1	min2Mb_chr21_All_topCP3_gapBin50_hub1	min2Mb_chr21_All_topCP3_gapBin50_hub2	min2Mb_chr21_All_topCP3_gapBin50_hub3	min2Mb_chr22_All_topCP3_gapBin50_hub1
11	CHI3L2	ATP5F1	EIF2D	NA	NA	MIR663B	NA	NA	NA	NA	DUX4L3	NA	NA	NA	NA	NA	MTRNR2L9	EYS	ZNF713	ZNF479	DLC1	FRMPD1	LINC00841	OR4A15	OR4P4	OR4A16	TMTC3	NA	DLGAP5	FLJ26245	RP11-909B2.1	NA	ZNF790	NA	NA	AP000472.2	LINC00308	NA
12	ADORA3	LINC01160	MAPKAPK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KHDRBS2	BAI3	LOC650226	MIR3147	NRG1	SHB	CXCL12	OR5D14	OR4C6	OR4A15	KITLG	NA	FBXO34	NA	CDH19	NA	ZNF790-AS1	NA	NA	LINC00308	D21S2088E	NA
13	ATP5F1	KCND3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTP4A1	NA	LOC100240728	ZNF716	UNC5D	ALDH1B1	LOC100996758	OR5L2	OR4S2	OR4P4	POC1B	NA	TBPL2	NA	NA	NA	ZNF345	NA	NA	D21S2088E	LINC00158	NA
14	C1orf162	AP4B1-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EYS	NA	LOC101928401	ZNF736	NA	FAM95C	NPY4R	OR5L1	OR5D13	OR4C6	POC1B-GALNT4	NA	KTN1	NA	NA	NA	ZNF829	NA	NA	AP000469.2	MIR5009	NA
15	KCND3	AP4B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GUSBP10	NA	NA	ANKRD18A	LINC00842	OR5D18	OR5D14	OR4S2	GALNT4	NA	RPL13AP3	NA	NA	NA	ZNF568	NA	NA	NA	LINC00113	NA
16	SYT6	HIPK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MIR3147	NA	NA	FAM201A	FRMPD2	OR5J2	OR5L2	OR5D14	ATP2B1	NA	LINC00520	NA	NA	NA	ZNF420	NA	NA	NA	BACH1	NA
17	VANGL1	DCLRE1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF716	NA	NA	LOC642236	FRMPD2P1	OR8K5	OR5L1	OR5L2	DCN	NA	PELI2	NA	NA	NA	ZNF585A	NA	NA	NA	BACH1-IT2	NA
18	CASQ2	DENND2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF680	NA	NA	PGM5	MAPK8	OR8K3	OR5D18	OR5L1	ANKS1B	NA	PSMA3	NA	NA	NA	ZNF585B	NA	NA	NA	GRIK1	NA
19	SLC22A15	BCAS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF117	NA	NA	TMEM252	ARHGAP22	OR8K1	OR5D16	OR5D18	NR1H4	NA	FLJ31306	NA	NA	NA	ZNF383	NA	NA	NA	GRIK1-AS2	NA
20	ATP1A1	ATP1A1OS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RP11-274B18.2	WDFY4	OR5R1	OR8H2	OR5D16	NA	NA	PPM1A	NA	NA	NA	HKR1	NA	NA	NA	KRTAP19-4	NA
21	ATP1A1OS	IGSF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIP5K1B	LRRC18	NA	OR8I2	OR5F1	NA	NA	SLC38A6	NA	NA	NA	ZNF527	NA	NA	NA	KRTAP19-2	NA
22	CD58	MIR320B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAM122A	MIR4294	NA	OR8K3	OR5AS1	NA	NA	TRMT5	NA	NA	NA	ZNF570	NA	NA	NA	KRTAP19-1	NA
23	C1orf137	C1orf137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKACG	VSTM4	NA	OR8K1	OR8U8	NA	NA	PRKCH	NA	NA	NA	ZNF569	NA	NA	NA	KRTAP19-5	NA
24	VTCN1	TRIM45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TJP2	C10orf128	NA	OR5R1	OR8U1	NA	NA	SNAPC1	NA	NA	NA	ZNF793	NA	NA	NA	KRTAP19-3	NA
25	FAM46C	TTF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BANCR	C10orf71	NA	OR5M1	OR8J1	NA	NA	HIF1A	NA	NA	NA	ZNF571-AS1	NA	NA	NA	KRTAP20-3	NA
26	WDR3	MAN1A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FAM189A2	C10orf71-AS1	NA	NA	NA	NA	NA	HIF1A-AS2	NA	NA	NA	ZNF540	NA	NA	NA	KRTAP20-2	NA
27	GDAP2	FAM46C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	APBA1	DRGX	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF571	NA	NA	NA	KRTAP7-1	NA
28	SPAG17	GDAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTAR1	ERCC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF607	NA	NA	NA	NA	NA
29	TBX15	WDR3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C9orf135	ERCC6-PGBD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF781	NA	NA	NA	NA	NA
30	WARS2	SPAG17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C9orf135-AS1	PGBD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF573	NA	NA	NA	NA	NA
31	HAO2	TBX15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAMDC2	CHAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIPA1L3	NA	NA	NA	NA	NA
32	HAO2-IT1	WARS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAMDC2-AS1	SLC18A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	WDR87	NA	NA	NA	NA	NA
33	HSD3B2	HAO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRPM3	C10orf53	NA	NA	NA	NA	NA	NA	NA	NA	NA	LEUTX	NA	NA	NA	NA	NA
34	HSD3B1	HSD3B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OGDHL	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF221	NA	NA	NA	NA	NA
35	HSD3BP4	HSD3B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARG	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF577	NA	NA	NA	NA	NA
36	LINC00622	HSD3BP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AGAP7	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF649	NA	NA	NA	NA	NA
37	ZNF697	LINC00622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MSMB	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF613	NA	NA	NA	NA	NA
38	PHGDH	ZNF697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIMM23	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF350	NA	NA	NA	NA	NA
39	HMGCS2	PHGDH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCOA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCCAT3	NA	NA	NA	NA	NA
40	REG4	HMGCS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ASAH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF614	NA	NA	NA	NA	NA
41	NBPF7	REG4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SGMS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF615	NA	NA	NA	NA	NA
42	ADAM30	NBPF7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A1CF	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF432	NA	NA	NA	NA	NA
43	NOTCH2	ADAM30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PRKG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF616	NA	NA	NA	NA	NA
44	EMBP1	NOTCH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CSTF2T	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF836	NA	NA	NA	NA	NA
45	NBPF9	EMBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PCDH15	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF528	NA	NA	NA	NA	NA
46	NBPF20	NBPF9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CCDC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF534	NA	NA	NA	NA	NA
47	PDE4DIP	NBPF20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ANK3	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF578	NA	NA	NA	NA	NA
48	BCL9	PDE4DIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARID5B	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF808	NA	NA	NA	NA	NA
49	ACP6	BCL9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DNAJC12	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF665	NA	NA	NA	NA	NA
50	GJA5	ACP6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COL13A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF347	NA	NA	NA	NA	NA
51	GJA8	GJA5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF667	NA	NA	NA	NA	NA
52	NBPF8	GJA8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF583	NA	NA	NA	NA	NA
53	MIR5087	NBPF8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF667-AS1	NA	NA	NA	NA	NA
54	VPS45	MIR5087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF471	NA	NA	NA	NA	NA
55	ENSA	LINC00869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF71	NA	NA	NA	NA	NA
56	GOLPH3L	HIST2H2BF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SMIM17	NA	NA	NA	NA	NA
57	ARNT	FCGR1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF17	NA	NA	NA	NA	NA
58	CTSK	ANP32E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF749	NA	NA	NA	NA	NA
59	ANXA9	ENSA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF550	NA	NA	NA	NA	NA
60	SETDB1	GOLPH3L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF549	NA	NA	NA	NA	NA
61	CERS2	ANXA9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF551	NA	NA	NA	NA	NA
62	SCNM1	SETDB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZSCAN4	NA	NA	NA	NA	NA
63	TNFAIP8L2-SCNM1	CERS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF606	NA	NA	NA	NA	NA
64	VPS72	PI4KB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOC100128398	NA	NA	NA	NA	NA
65	TMOD4	RFX5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C19orf18	NA	NA	NA	NA	NA
66	TNFAIP8L2	RIIAD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF274	NA	NA	NA	NA	NA
67	LYSMD1	CELF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	PI4KB	RORC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	RFX5	C2CD4D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	SNX27	LOC100132111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	RIIAD1	THEM5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	CELF3	LOR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	RORC	KCNJ10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	C2CD4D	PIGM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	LOC100132111	ATP1A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	THEM5	ATF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	THEM4	OLFML2B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	NBPF18P	NOS1AP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	S100A10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	FLG-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	FLG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	SPRR1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
