ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0038023,signaling receptor activity,17/20,208/1226,3.20388365684474e-11,9.15776745248123e-10,9.07767036106011e-10,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_MF,GO:0060089,molecular transducer activity,17/20,208/1226,3.20388365684474e-11,9.15776745248123e-10,9.07767036106011e-10,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0050877,nervous system process,17/20,224/1226,1.13481031688053e-10,2.99415337453864e-09,2.96796544414909e-09,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,17
GO_BP,GO:0003008,system process,18/20,271/1226,1.23331474664527e-10,3.02162112928091e-09,2.99519295613851e-09,PTPRJ/OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,18
GO_CC,GO:0016021,integral component of membrane,19/20,452/1226,6.03458474763806e-08,1.3799083789599e-06,1.36783920946463e-06,LRRC4C/PTPRJ/OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,19
GO_CC,GO:0005886,plasma membrane,19/20,461/1226,8.74862038226441e-08,1.87548549444793e-06,1.85908183123119e-06,LRRC4C/PTPRJ/OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,19
GO_CC,GO:0071944,cell periphery,19/20,463/1226,9.49131136814433e-08,1.91501164663147e-06,1.89826227362887e-06,LRRC4C/PTPRJ/OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,19
GO_CC,GO:0031224,intrinsic component of membrane,19/20,465/1226,1.02931931019718e-07,1.96142512998685e-06,1.94426980815023e-06,LRRC4C/PTPRJ/OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,19
GO_BP,GO:0042221,response to chemical,18/20,411/1226,2.02097522675779e-07,3.6483921198838e-06,3.61648198472447e-06,PTPRJ/OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15/OR5D14/OR5L2/OR5L1/OR5D18/OR5J2/OR8K5/OR8K3/OR8K1/OR5R1,18
GO_MF,GO:0004984,olfactory receptor activity,8/20,54/1226,7.02720106726171e-07,1.20516498303538e-05,1.19462418143449e-05,OR4B1/OR4X2/OR4X1/OR4S1/OR4C3/OR4C45/OR4A16/OR4A15,8
KEGG,hsa04740,Olfactory transduction,17/19,167/588,2.67582132280452e-08,5.35164264560905e-08,2.81665402400476e-08,OR4A15/OR4A16/OR4B1/OR4C3/OR4C45/OR4S1/OR4X1/OR4X2/OR5D14/OR5D18/OR5J2/OR5L1/OR5L2/OR5R1/OR8K1/OR8K3/OR8K5,17
