hub,chr,n0,nWithData,adrenal.gland,amygdala,aorta,atrium.auricular.region,blood,breast,Brodmann..1909..area.24,Brodmann..1909..area.9,C1.segment.of.cervical.spinal.cord,caudate.nucleus,cerebellar.hemisphere,cerebellum,cerebral.cortex,coronary.artery,cortex.of.kidney,EBV.transformed.lymphocyte,ectocervix,endocervix,esophagogastric.junction,esophagus.mucosa,esophagus.muscularis.mucosa,fallopian.tube,greater.omentum,heart.left.ventricle,hippocampus.proper,hypothalamus,liver,lower.leg.skin,lung,minor.salivary.gland,nucleus.accumbens,ovary,pancreas,pituitary.gland,prostate.gland,putamen,sigmoid.colon,skeletal.muscle.tissue,small.intestine.Peyer.s.patch,spleen,stomach,subcutaneous.adipose.tissue,substantia.nigra,suprapubic.skin,testis,thyroid.gland,tibial.artery,tibial.nerve,transformed.skin.fibroblast,transverse.colon,urinary.bladder,uterus,vagina,Nmean,Nmed,nEq1
min2Mb_chr14_All_topCP3_gapBin50_hub1,chr14,26,24,23,21,23,23,23,23,21,21,21,21,22,22,21,23,23,24,23,23,23,24,23,24,23,22,21,21,23,24,24,23,21,23,23,23,23,21,23,22,23,23,24,24,21,24,24,23,23,24,23,24,23,23,24,22.7358490566038,23,None
min2Mb_chr16_All_topCP3_gapBin50_hub1,chr16,11,6,4,6,3,5,4,6,6,6,6,6,6,6,6,4,5,3,6,6,4,4,3,5,5,4,6,6,4,5,6,5,6,5,3,6,6,6,5,4,5,5,4,4,6,5,5,5,4,5,2,4,5,3,6,4.90566037735849,5,None
min2Mb_chr18_All_topCP3_gapBin50_hub1,chr18,12,9,7,7,7,6,5,9,8,7,7,7,7,7,8,6,7,6,8,7,7,8,7,8,7,6,8,7,6,8,8,9,7,8,6,8,9,7,7,6,7,8,8,8,7,9,9,6,7,8,7,7,7,7,9,7.30188679245283,7,None
min2Mb_chr18_All_topCP3_gapBin50_hub2,chr18,10,8,4,3,4,3,3,6,5,4,3,3,3,3,5,3,4,4,6,6,4,7,4,5,4,2,4,3,3,6,5,8,3,5,3,5,7,3,4,2,4,5,5,5,3,7,8,3,4,5,6,4,5,4,8,4.43396226415094,4,None
min2Mb_chr19_All_topCP3_gapBin50_hub1,chr19,66,60,57,58,59,59,56,59,58,58,59,59,60,60,60,59,59,58,59,60,59,58,59,59,59,59,58,59,57,60,59,59,60,59,57,59,59,58,59,59,59,58,59,59,58,60,60,60,59,59,57,59,59,59,59,58.7924528301887,59,None
min2Mb_chr2_All_topCP3_gapBin50_hub1,chr2,4,4,1,3,2,2,1,2,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,3,2,2,3,3,1,2,2,2,3,3,1,3,2,3,2,2,2,1,2,2,3,2,4,3,2,2,1,2,2,2,2,2.22641509433962,2,Yes
min2Mb_chr2_All_topCP3_gapBin50_hub2,chr2,11,8,5,6,4,5,4,6,6,6,6,6,7,7,6,5,4,5,6,5,5,4,5,7,5,4,6,6,4,5,5,5,6,7,5,7,6,6,5,4,5,5,6,4,6,6,8,7,4,6,4,5,4,6,6,5.43396226415094,5,None
min2Mb_chr2_All_topCP3_gapBin50_hub3,chr2,7,6,2,4,2,2,2,4,4,4,5,5,4,4,4,2,3,2,3,4,2,4,2,5,3,2,4,5,2,4,3,3,5,4,2,5,4,5,4,2,3,4,3,3,4,3,6,5,2,3,2,2,3,3,4,3.39622641509434,3,None
min2Mb_chr20_All_topCP3_gapBin50_hub1,chr20,10,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,5,6,6,6,6,6,7,7,6,7,7,7,6,7,6,7,7,6,7,7,7,6,6,6,6,6,6,7,6,7,6,7,6,5,6,6,7,6,6.47169811320755,7,None
min2Mb_chr21_All_topCP3_gapBin50_hub1,chr21,10,5,3,4,3,3,2,3,4,4,4,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,4,4,2,3,4,3,4,3,3,3,3,4,3,3,4,4,3,3,4,3,4,3,3,3,3,4,3,3,3,3.28301886792453,3,None
min2Mb_chr21_All_topCP3_gapBin50_hub2,chr21,14,7,4,5,4,4,3,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,5,4,5,4,4,5,4,5,4,4,4,5,4,4,5,4,6,4,4,4,4,4,4,4,4,4.33962264150943,4,None
min2Mb_chr21_All_topCP3_gapBin50_hub3,chr21,27,14,6,7,5,5,3,6,7,7,7,7,7,7,7,6,7,5,7,6,5,5,5,6,5,5,7,7,4,7,7,5,7,6,5,6,6,7,5,6,7,6,5,6,7,8,11,7,6,6,6,5,6,6,6,6.15094339622642,6,None
min2Mb_chr22_All_topCP3_gapBin50_hub1,chr22,5,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3.79245283018868,4,None
min2Mb_chr3_All_topCP3_gapBin50_hub1,chr3,8,8,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,4,7,6,6,7,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,8,6,6,6,6,6,6,6,7,5.94339622641509,6,None
min2Mb_chr3_All_topCP3_gapBin50_hub2,chr3,8,5,3,4,4,4,3,4,4,4,4,4,5,5,4,4,3,1,3,4,4,4,4,4,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,3,4,4,3,4,3,4,4,4,3,3.69811320754717,4,Yes
min2Mb_chr3_All_topCP3_gapBin50_hub3,chr3,8,7,5,6,6,6,4,6,6,6,6,6,6,6,6,6,5,3,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,5,6,6,6,6,5.75471698113208,6,None
min2Mb_chr4_All_topCP3_gapBin50_hub1,chr4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,None
min2Mb_chr4_All_topCP3_gapBin50_hub2,chr4,5,5,2,4,4,4,2,4,4,4,4,4,3,3,4,4,4,2,3,3,4,4,4,4,4,2,4,4,2,3,3,3,4,4,2,4,4,4,4,2,4,3,4,4,4,3,5,3,4,4,1,4,4,4,4,3.50943396226415,4,Yes
min2Mb_chr4_All_topCP3_gapBin50_hub3,chr4,4,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,2,1,1,0,2,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1.05660377358491,1,Yes
min2Mb_chr5_All_topCP3_gapBin50_hub1,chr5,5,5,4,5,4,4,4,4,5,5,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,5,4,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4.24528301886792,4,None
min2Mb_chr5_All_topCP3_gapBin50_hub2,chr5,5,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2.9811320754717,3,None
min2Mb_chr5_All_topCP3_gapBin50_hub3,chr5,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,2,0,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,2,1,2,1.64150943396226,2,Yes
min2Mb_chr6_All_topCP3_gapBin50_hub1,chr6,14,13,9,9,8,9,9,9,8,9,9,8,9,10,9,9,10,8,10,8,9,9,9,9,9,8,8,8,9,9,10,8,8,8,7,10,10,8,10,11,10,9,10,9,8,9,12,10,8,10,8,10,10,8,10,9.0188679245283,9,None
min2Mb_chr6_All_topCP3_gapBin50_hub2,chr6,12,8,6,7,5,5,6,6,6,7,6,6,6,6,7,6,7,5,7,5,6,5,6,6,6,4,6,6,6,6,6,4,6,5,5,6,7,6,6,6,7,6,7,7,6,6,8,6,5,7,5,6,7,5,7,6,6,None
min2Mb_chr7_All_topCP3_gapBin50_hub1,chr7,19,11,10,8,8,8,7,8,9,9,9,9,8,9,9,8,8,7,8,8,9,8,8,8,8,6,8,9,8,8,8,8,9,8,8,9,9,8,9,8,9,8,9,8,8,8,11,9,8,9,8,9,9,8,8,8.35849056603774,8,None
min2Mb_chr7_All_topCP3_gapBin50_hub2,chr7,14,9,6,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,3,4,6,4,4,4,4,5,4,4,5,5,4,5,4,5,4,5,4,5,4,9,5,4,5,4,5,6,4,4,4.54716981132075,4,None
min2Mb_chr8_All_topCP3_gapBin50_hub1,chr8,13,12,6,8,7,6,6,7,9,9,8,9,8,9,9,6,8,6,9,9,9,7,8,9,6,4,9,10,6,10,9,8,9,8,6,9,9,9,9,5,10,8,7,7,8,10,10,8,6,7,7,8,8,9,9,7.92452830188679,8,None
min2Mb_chr9_All_topCP3_gapBin50_hub1,chr9,33,28,22,26,21,22,19,25,26,25,26,26,25,26,26,22,27,19,26,26,24,24,25,26,25,23,26,26,21,25,25,24,26,24,24,26,26,25,24,21,24,23,25,23,26,24,28,26,21,26,20,24,26,22,25,24.3018867924528,25,None
