"","repName","rank","repFamily","repType","cluster","repTranspoType","cluster.sf"
"104","L1MEc",45,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"89","L1MCc",46,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"102","L1MEa",47,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"28","Charlie4",48,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"97","L1ME2",49,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"261","MER63D",50,"hAT-Blackjack","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"29","Charlie4a",51,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"231","MER46C",52,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"281","MER91B",53,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"49","L1M",54,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"95","L1MDb",55,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"160","LTR33",56,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"319","MLT1J2",57,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"96","L1ME1",58,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"316","MLT1I",59,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"58","L1M4b",60,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"211","MER31-int",61,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"23","Charlie1a",62,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"40","FordPrefect_a",63,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"289","MER97c",64,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"87","L1MCa",65,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"193","MER115",66,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"313","MLT1H-int",67,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterII"
"163","LTR37B",68,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"88","L1MCb",69,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"57","L1M4",70,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"318","MLT1J1",71,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"161","LTR33A",72,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"59","L1M4c",73,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"20","Charlie10",74,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"194","MER117",75,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"35","Cheshire",76,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"152","LTR16C",77,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"80","L1MC",78,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"254","MER5B",79,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"150","LTR16A1",80,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"174","LTR50",81,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"312","MLT1H",82,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"39","FordPrefect",83,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"16","Arthur1A",84,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"24","Charlie1b",85,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"252","MER5A",86,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"310","MLT1G",87,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"315","MLT1H2",88,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"255","MER5C",89,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"149","LTR16A",90,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"90","L1MD",91,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"280","MER91A",92,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"314","MLT1H1",93,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"282","MER91C",94,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"251","MER58D",95,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"162","LTR37A",96,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"247","MER57A-int",97,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"184","MADE2",98,"TcMar-Mariner","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"287","MER97a",99,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"19","Charlie1",100,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"284","MER94",101,"hAT-Blackjack","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"331","MLT2F",102,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"253","MER5A1",103,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"311","MLT1G1",104,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"195","MER119",105,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"288","MER97b",106,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"260","MER63C",107,"hAT-Blackjack","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"208","MER3",108,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"259","MER63B",109,"hAT-Blackjack","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"30","Charlie5",110,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"92","L1MD2",111,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"214","MER33",112,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"151","LTR16B",113,"ERVL","LTR","ClusterI","Retrotransposon","ClusterII"
"230","MER45R",114,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"308","MLT1F1",115,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterII"
"227","MER45A",116,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"229","MER45C",117,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"91","L1MD1",118,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"306","MLT1F",119,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"93","L1MD3",120,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"83","L1MC3",121,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"167","LTR41",122,"ERVL","LTR","ClusterI","Retrotransposon","ClusterII"
"188","MER106A",123,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"258","MER63A",124,"hAT-Blackjack","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"250","MER58C",125,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"309","MLT1F2",126,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"286","MER96B",127,"hAT","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"249","MER58B",128,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"367","Tigger6a",129,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"368","Tigger6b",130,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"78","L1MB7",131,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"228","MER45B",132,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"189","MER106B",133,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"307","MLT1F-int",134,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterII"
"165","LTR40a",135,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"248","MER58A",136,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"166","LTR40b",137,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"305","MLT1E3",138,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"303","MLT1E1A",139,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"202","MER20",140,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"301","MLT1E",141,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"79","L1MB8",142,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"341","ORSL",143,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"302","MLT1E1",144,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"276","MER81",145,"hAT-Blackjack","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"246","MER53",146,"hAT","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"285","MER96",147,"hAT","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"82","L1MC2",148,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"266","MER68",149,"ERVL","LTR","ClusterI","Retrotransposon","ClusterII"
"76","L1MB4",150,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"175","LTR52",151,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"304","MLT1E2",152,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"300","MLT1D",153,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"77","L1MB5",154,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"283","MER92B",155,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"328","MLT2C1",156,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"274","MER77",157,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"277","MER82",158,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"279","MER89",159,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"81","L1MC1",160,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"299","MLT1C",161,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"265","MER67D",162,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"75","L1MB3",163,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"264","MER67C",164,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"74","L1MB2",165,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"54","L1M3c",166,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"55","L1M3e",167,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"271","MER74A",168,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"330","MLT2D",169,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"52","L1M3",170,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"329","MLT2C2",171,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"298","MLT1B",172,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"213","MER31B",173,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"72","L1MA9",174,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"272","MER74B",175,"ERVL","LTR","ClusterI","Retrotransposon","ClusterII"
"62","L1MA10",176,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"73","L1MB1",177,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"51","L1M2",178,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"172","LTR49-int",179,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"327","MLT2B4",180,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"71","L1MA8",181,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"324","MLT2B1",182,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"206","MER21C",183,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"236","MER4B-int",184,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"294","MLT1A",185,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"215","MER34",186,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"212","MER31A",187,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"216","MER34B",188,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"217","MER34C_",189,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"295","MLT1A0",190,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"70","L1MA7",191,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"218","MER39",192,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"296","MLT1A0-int",193,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"325","MLT2B2",194,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"50","L1M1",195,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"53","L1M3b",196,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"225","MER44C",197,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"69","L1MA6",198,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"340","MSTD-int",199,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"297","MLT1A1",200,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"224","MER44B",201,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"223","MER44A",202,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"369","Tigger7",203,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"226","MER44D",204,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"169","LTR48",205,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"205","MER21B",206,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"339","MSTD",207,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"365","Tigger4",208,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"201","MER2",209,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"344","Ricksha",210,"MuDR","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"207","MER2B",211,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"364","Tigger3b",212,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"366","Tigger5",213,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"363","Tigger3",214,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"269","MER6C",215,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"359","Tigger1",216,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"67","L1MA5",217,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"338","MSTC",218,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"176","LTR54",219,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"256","MER6",220,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"267","MER6A",221,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"170","LTR48B",222,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"360","Tigger2",223,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"362","Tigger2b_Pri",224,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"262","MER65A",225,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"56","L1M3f",226,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"65","L1MA4",227,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"361","Tigger2a",228,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"66","L1MA4A",229,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"45","HSMAR2",230,"TcMar-Mariner","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"171","LTR49",231,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"337","MSTB2",232,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"343","PRIMA4-int",233,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"68","L1MA5A",234,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"275","MER8",235,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"157","LTR23",236,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"158","LTR26",237,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"134","L1PB4",238,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"219","MER39B",239,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"121","L1PA17",240,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"164","LTR39",241,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"168","LTR47A",242,"ERVL","LTR","ClusterI","Retrotransposon","ClusterII"
"238","MER4D",243,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"232","MER49",244,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"336","MSTB1",245,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"270","MER72",246,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"119","L1PA15-16",247,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"64","L1MA3",248,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"120","L1PA16",249,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"36","FAM",250,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"133","L1PB3",251,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"118","L1PA15",252,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"335","MSTB-int",253,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"237","MER4C",254,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"239","MER4D1",255,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"204","MER21A",256,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"63","L1MA2",257,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"159","LTR32",258,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"61","L1MA1",259,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"334","MSTB",260,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"116","L1PA13",261,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"180","LTR8A",262,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"210","MER30B",263,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"117","L1PA14",264,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"132","L1PB2",265,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"137","L1PREC2",266,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"112","L1P5",267,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"107","L1P",268,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"111","L1P4",269,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"141","LOR1a",270,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"135","L1PBa",271,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"136","L1PBa1",272,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"333","MSTA-int",273,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"27","Charlie3",274,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"326","MLT2B3",275,"ERVL","LTR","ClusterI","Retrotransposon","ClusterI"
"233","MER4A",276,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"268","MER6B",277,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"142","LOR1b",278,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"221","MER41B",279,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"2","AluJo",280,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"115","L1PA12",281,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"37","FLAM_A",282,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"235","MER4B",283,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"190","MER107",284,"DNA","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"241","MER50",285,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"332","MSTA",286,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"263","MER66B",287,"ERV1","LTR","ClusterI","Retrotransposon","ClusterII"
"273","MER75",288,"PiggyBac","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"199","MER1A",289,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"44","HSMAR1",290,"TcMar-Mariner","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"114","L1PA11",291,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"131","L1PB1",292,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"130","L1PB",293,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"358","THE1D-int",294,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"22","Charlie12",295,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"240","MER4E1",296,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"113","L1PA10",297,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"179","LTR8",298,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"209","MER30",299,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"200","MER1B",300,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"1","AluJb",301,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"38","FLAM_C",302,"Alu","non-LTR","ClusterII","Retrotransposon","ClusterII"
"357","THE1D",303,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"356","THE1C-int",304,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"242","MER50B",305,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"245","MER52A",306,"ERV1","LTR","ClusterI","Retrotransposon","ClusterI"
"110","L1P3",307,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"355","THE1C",308,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
