target,Experiment target,File accession,index,File format,Output type,Experiment accession,Assay,Biosample term name,Biosample type,Experiment date released,Project,Assembly,File Status
GATAD2B-human,GATAD2B-human,ENCFF456YII,957,bed narrowPeak,optimal idr thresholded peaks,ENCSR828NCB,ChIP-seq,GM12878,cell line,17/05/2017,ENCODE,hg19,released
DPF2-human,DPF2-human,ENCFF349MPF,966,bed narrowPeak,optimal idr thresholded peaks,ENCSR509FWH,ChIP-seq,GM12878,cell line,17/05/2017,ENCODE,hg19,released
IRF3-human,IRF3-human,ENCFF341HWZ,1790,bed narrowPeak,optimal idr thresholded peaks,ENCSR408JQO,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
ZSCAN29-human,ZSCAN29-human,ENCFF455HXN,1004,bed narrowPeak,optimal idr thresholded peaks,ENCSR412YGM,ChIP-seq,GM12878,cell line,17/05/2017,ENCODE,hg19,released
MLLT1-human,MLLT1-human,ENCFF173KPE,1029,bed narrowPeak,conservative idr thresholded peaks,ENCSR552XSN,ChIP-seq,GM12878,cell line,24/08/2016,ENCODE,hg19,released
ARID3A-human,ARID3A-human,ENCFF027VZK,1040,bed narrowPeak,optimal idr thresholded peaks,ENCSR778UBR,ChIP-seq,GM12878,cell line,31/01/2017,ENCODE,hg19,released
NFXL1-human,NFXL1-human,ENCFF166FRO,1052,bed narrowPeak,optimal idr thresholded peaks,ENCSR746XEG,ChIP-seq,GM12878,cell line,17/05/2017,ENCODE,hg19,released
ESRRA-human,ESRRA-human,ENCFF195PBG,1063,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DYQ,ChIP-seq,GM12878,cell line,20/08/2012,ENCODE,hg19,released
ZNF622-human,ZNF622-human,ENCFF065QOM,1070,bed narrowPeak,optimal idr thresholded peaks,ENCSR075FNZ,ChIP-seq,GM12878,cell line,13/11/2017,ENCODE,hg19,released
YBX1-human,YBX1-human,ENCFF344OJI,1079,bed narrowPeak,optimal idr thresholded peaks,ENCSR205SKQ,ChIP-seq,GM12878,cell line,24/08/2016,ENCODE,hg19,released
NR2F1-human,NR2F1-human,ENCFF810CEL,1089,bed narrowPeak,optimal idr thresholded peaks,ENCSR514VYD,ChIP-seq,GM12878,cell line,14/04/2017,ENCODE,hg19,released
RELB-human,RELB-human,ENCFF456FQB,1100,bed narrowPeak,optimal idr thresholded peaks,ENCSR387QUV,ChIP-seq,GM12878,cell line,21/02/2017,ENCODE,hg19,released
NRF1-human,NRF1-human,ENCFF002CPD,1107,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZO,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
NR2C1-human,NR2C1-human,ENCFF381SBC,1124,bed narrowPeak,optimal idr thresholded peaks,ENCSR784VIQ,ChIP-seq,GM12878,cell line,07/06/2017,ENCODE,hg19,released
MYC-human,MYC-human,ENCFF002DAI,1127,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DKU,ChIP-seq,GM12878,cell line,17/03/2011,ENCODE,hg19,released
GABPA-human,GABPA-human,ENCFF116EXQ,1129,bed narrowPeak,optimal idr thresholded peaks,ENCSR331HPA,ChIP-seq,GM12878,cell line,30/06/2014,ENCODE,hg19,released
ZNF687-human,ZNF687-human,ENCFF643OWO,1151,bed narrowPeak,optimal idr thresholded peaks,ENCSR859FDL,ChIP-seq,GM12878,cell line,26/06/2017,ENCODE,hg19,released
E2F4-human,E2F4-human,ENCFF002COR,1159,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DYY,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,archived
CUX1-human,CUX1-human,ENCFF721SDD,1175,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DYR,ChIP-seq,GM12878,cell line,20/08/2012,ENCODE,hg19,released
MEF2A-human,MEF2A-human,ENCFF328QLX,1201,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BKB,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
ZNF217-human,ZNF217-human,ENCFF513RIQ,1218,bed narrowPeak,optimal idr thresholded peaks,ENCSR764CZW,ChIP-seq,GM12878,cell line,07/06/2017,ENCODE,hg19,released
SIX5-human,SIX5-human,ENCFF002CHU,1239,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BJE,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,archived
USF2-human,USF2-human,ENCFF002CPT,1251,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZU,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
SMARCA5-human,SMARCA5-human,ENCFF478DRD,1260,bed narrowPeak,optimal idr thresholded peaks,ENCSR706YUH,ChIP-seq,GM12878,cell line,07/06/2017,ENCODE,hg19,released
ZNF592-human,ZNF592-human,ENCFF566YUW,1276,bed narrowPeak,optimal idr thresholded peaks,ENCSR173ZVL,ChIP-seq,GM12878,cell line,26/06/2017,ENCODE,hg19,released
ETS1-human,ETS1-human,ENCFF332PGQ,1301,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BKA,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
ZNF24-human,ZNF24-human,ENCFF103OOV,1311,bed narrowPeak,optimal idr thresholded peaks,ENCSR072PWP,ChIP-seq,GM12878,cell line,26/06/2017,ENCODE,hg19,released
RELA-human,RELA-human,ENCFF002CPA,1326,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EAG,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,released
IRF4-human,IRF4-human,ENCFF391DVL,1339,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BGY,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
ELK1-human,ELK1-human,ENCFF002COT,1354,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZB,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,archived
MXI1-human,MXI1-human,ENCFF002COY,1368,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZI,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
ETV6-human,ETV6-human,ENCFF760IFZ,1405,bed narrowPeak,optimal idr thresholded peaks,ENCSR626VUC,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
MYB-human,MYB-human,ENCFF215YWS,1436,bed narrowPeak,optimal idr thresholded peaks,ENCSR819ATC,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
MAX-human,MAX-human,ENCFF083KVY,1453,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZF,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,released
ZZZ3-human,ZZZ3-human,ENCFF002CPY,1460,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DNQ,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
SMAD1-human,SMAD1-human,ENCFF632MBO,1477,bed narrowPeak,optimal idr thresholded peaks,ENCSR813DCK,ChIP-seq,GM12878,cell line,26/01/2018,ENCODE,hg19,released
ZNF384-human,ZNF384-human,ENCFF371OGO,1486,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DYP,ChIP-seq,GM12878,cell line,20/08/2012,ENCODE,hg19,released
FOXK2-human,FOXK2-human,ENCFF980KSV,1501,bed narrowPeak,optimal idr thresholded peaks,ENCSR861JUQ,ChIP-seq,GM12878,cell line,27/01/2017,ENCODE,hg19,released
POLR2A-human,POLR2A-human,ENCFF120VUT,1509,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BGD,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
LARP7-human,LARP7-human,ENCFF449CJP,1521,bed narrowPeak,optimal idr thresholded peaks,ENCSR657PEW,ChIP-seq,GM12878,cell line,17/05/2017,ENCODE,hg19,released
NKRF-human,NKRF-human,ENCFF317VBQ,1533,bed narrowPeak,optimal idr thresholded peaks,ENCSR732PJX,ChIP-seq,GM12878,cell line,17/05/2017,ENCODE,hg19,released
FOXM1-human,FOXM1-human,ENCFF002CGZ,1567,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BRU,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,archived
TBL1XR1-human,TBL1XR1-human,ENCFF002CPQ,1569,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DYZ,ChIP-seq,GM12878,cell line,14/05/2012,ENCODE,hg19,archived
RB1-human,RB1-human,ENCFF601XVA,1585,bed narrowPeak,optimal idr thresholded peaks,ENCSR785OKZ,ChIP-seq,GM12878,cell line,07/06/2017,ENCODE,hg19,released
BCL3-human,BCL3-human,ENCFF625SHY,1616,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BNQ,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
HCFC1-human,HCFC1-human,ENCFF208TRU,1621,bed narrowPeak,optimal idr thresholded peaks,ENCSR514VAY,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
KLF5-human,KLF5-human,ENCFF827ZLB,1641,bed narrowPeak,optimal idr thresholded peaks,ENCSR974OFJ,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
TAF1-human,TAF1-human,ENCFF544NRC,1653,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BGS,ChIP-seq,GM12878,cell line,18/07/2011,ENCODE,hg19,released
NFATC1-human,NFATC1-human,ENCFF409QJU,1667,bed narrowPeak,optimal idr thresholded peaks,ENCSR000BQL,ChIP-seq,GM12878,cell line,29/02/2012,ENCODE,hg19,released
WRNIP1-human,WRNIP1-human,ENCFF002CPU,1681,bed narrowPeak,optimal idr thresholded peaks,ENCSR000EAA,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,archived
POLR2AphosphoS2-human,POLR2AphosphoS2-human,ENCFF630NFM,1699,bed narrowPeak,optimal idr thresholded peaks,ENCSR000DZK,ChIP-seq,GM12878,cell line,29/10/2011,ENCODE,hg19,released
HSF1-human,HSF1-human,ENCFF308ZGG,1722,bed narrowPeak,optimal idr thresholded peaks,ENCSR009MBP,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
UBTF-human,UBTF-human,ENCFF298UPI,1729,bed narrowPeak,optimal idr thresholded peaks,ENCSR459FTB,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
TCF7-human,TCF7-human,ENCFF305ICK,1750,bed narrowPeak,optimal idr thresholded peaks,ENCSR501DKS,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
CREM-human,CREM-human,ENCFF534CKB,1760,bed narrowPeak,optimal idr thresholded peaks,ENCSR839XZU,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
ZFP36-human,ZFP36-human,ENCFF144FCI,1770,bed narrowPeak,optimal idr thresholded peaks,ENCSR900XDB,ChIP-seq,GM12878,cell line,07/07/2014,ENCODE,hg19,released
