rank,repName,repFamily,repType,cluster,repTranspoType
55,L1MDb,L1,non-LTR,ClusterIV,Retrotransposon
56,LTR33,ERVL,LTR,ClusterV,Retrotransposon
57,MLT1J2,ERVL-MaLR,LTR,ClusterV,Retrotransposon
58,L1ME1,L1,non-LTR,ClusterIV,Retrotransposon
59,MLT1I,ERVL-MaLR,LTR,ClusterV,Retrotransposon
60,L1M4b,L1,non-LTR,ClusterIV,Retrotransposon
61,MER31-int,ERV1,LTR,ClusterV,Retrotransposon
62,Charlie1a,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
63,FordPrefect_a,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
64,MER97c,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
65,L1MCa,L1,non-LTR,ClusterIV,Retrotransposon
66,MER115,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
67,MLT1H-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
68,LTR37B,ERV1,LTR,ClusterV,Retrotransposon
69,L1MCb,L1,non-LTR,ClusterIV,Retrotransposon
70,L1M4,L1,non-LTR,ClusterIV,Retrotransposon
71,MLT1J1,ERVL-MaLR,LTR,ClusterV,Retrotransposon
72,LTR33A,ERVL,LTR,ClusterV,Retrotransposon
73,L1M4c,L1,non-LTR,ClusterIV,Retrotransposon
74,Charlie10,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
75,MER117,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
76,Cheshire,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
77,LTR16C,ERVL,LTR,ClusterV,Retrotransposon
78,L1MC,L1,non-LTR,ClusterIV,Retrotransposon
79,MER5B,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
80,LTR16A1,ERVL,LTR,ClusterV,Retrotransposon
81,LTR50,ERVL,LTR,ClusterV,Retrotransposon
82,MLT1H,ERVL-MaLR,LTR,ClusterV,Retrotransposon
83,FordPrefect,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
84,Arthur1A,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
85,Charlie1b,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
86,MER5A,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
87,MLT1G,ERVL-MaLR,LTR,ClusterV,Retrotransposon
88,MLT1H2,ERVL-MaLR,LTR,ClusterV,Retrotransposon
89,MER5C,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
90,LTR16A,ERVL,LTR,ClusterV,Retrotransposon
91,L1MD,L1,non-LTR,ClusterIV,Retrotransposon
92,MER91A,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
93,MLT1H1,ERVL-MaLR,LTR,ClusterV,Retrotransposon
94,MER91C,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
95,MER58D,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
96,LTR37A,ERV1,LTR,ClusterV,Retrotransposon
97,MER57A-int,ERV1,LTR,ClusterV,Retrotransposon
98,MADE2,TcMar-Mariner,DNAtransposon,ClusterIV,DNAtransposon
99,MER97a,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
100,Charlie1,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
101,MER94,hAT-Blackjack,DNAtransposon,ClusterVII,DNAtransposon
102,MLT2F,ERVL,LTR,ClusterV,Retrotransposon
103,MER5A1,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
104,MLT1G1,ERVL-MaLR,LTR,ClusterV,Retrotransposon
105,MER119,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
106,MER97b,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
107,MER63C,hAT-Blackjack,DNAtransposon,ClusterVII,DNAtransposon
108,MER3,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
109,MER63B,hAT-Blackjack,DNAtransposon,ClusterVII,DNAtransposon
110,Charlie5,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
111,L1MD2,L1,non-LTR,ClusterIV,Retrotransposon
112,MER33,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
113,LTR16B,ERVL,LTR,ClusterV,Retrotransposon
114,MER45R,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
115,MLT1F1,ERVL-MaLR,LTR,ClusterV,Retrotransposon
116,MER45A,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
117,MER45C,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
118,L1MD1,L1,non-LTR,ClusterIV,Retrotransposon
119,MLT1F,ERVL-MaLR,LTR,ClusterV,Retrotransposon
120,L1MD3,L1,non-LTR,ClusterIV,Retrotransposon
121,L1MC3,L1,non-LTR,ClusterIV,Retrotransposon
122,LTR41,ERVL,LTR,ClusterV,Retrotransposon
123,MER106A,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
124,MER63A,hAT-Blackjack,DNAtransposon,ClusterVII,DNAtransposon
125,MER58C,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
126,MLT1F2,ERVL-MaLR,LTR,ClusterV,Retrotransposon
127,MER96B,hAT,DNAtransposon,ClusterI,DNAtransposon
128,MER58B,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
129,Tigger6a,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
130,Tigger6b,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
131,L1MB7,L1,non-LTR,ClusterIV,Retrotransposon
132,MER45B,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
133,MER106B,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
134,MLT1F-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
135,LTR40a,ERVL,LTR,ClusterV,Retrotransposon
136,MER58A,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
137,LTR40b,ERVL,LTR,ClusterV,Retrotransposon
138,MLT1E3,ERVL-MaLR,LTR,ClusterV,Retrotransposon
139,MLT1E1A,ERVL-MaLR,LTR,ClusterV,Retrotransposon
140,MER20,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
141,MLT1E,ERVL-MaLR,LTR,ClusterV,Retrotransposon
142,L1MB8,L1,non-LTR,ClusterIV,Retrotransposon
143,ORSL,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
144,MLT1E1,ERVL-MaLR,LTR,ClusterV,Retrotransposon
145,MER81,hAT-Blackjack,DNAtransposon,ClusterVII,DNAtransposon
146,MER53,hAT,DNAtransposon,ClusterI,DNAtransposon
147,MER96,hAT,DNAtransposon,ClusterI,DNAtransposon
148,L1MC2,L1,non-LTR,ClusterIV,Retrotransposon
149,MER68,ERVL,LTR,ClusterV,Retrotransposon
150,L1MB4,L1,non-LTR,ClusterIV,Retrotransposon
151,LTR52,ERVL,LTR,ClusterV,Retrotransposon
152,MLT1E2,ERVL-MaLR,LTR,ClusterV,Retrotransposon
153,MLT1D,ERVL-MaLR,LTR,ClusterV,Retrotransposon
154,L1MB5,L1,non-LTR,ClusterIV,Retrotransposon
155,MER92B,ERV1,LTR,ClusterV,Retrotransposon
156,MLT2C1,ERVL,LTR,ClusterV,Retrotransposon
157,MER77,ERVL,LTR,ClusterV,Retrotransposon
158,MER82,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
159,MER89,ERV1,LTR,ClusterV,Retrotransposon
160,L1MC1,L1,non-LTR,ClusterIV,Retrotransposon
161,MLT1C,ERVL-MaLR,LTR,ClusterV,Retrotransposon
162,MER67D,ERV1,LTR,ClusterV,Retrotransposon
163,L1MB3,L1,non-LTR,ClusterIV,Retrotransposon
164,MER67C,ERV1,LTR,ClusterV,Retrotransposon
165,L1MB2,L1,non-LTR,ClusterIV,Retrotransposon
166,L1M3c,L1,non-LTR,ClusterIV,Retrotransposon
167,L1M3e,L1,non-LTR,ClusterIV,Retrotransposon
168,MER74A,ERVL,LTR,ClusterV,Retrotransposon
169,MLT2D,ERVL,LTR,ClusterV,Retrotransposon
170,L1M3,L1,non-LTR,ClusterIV,Retrotransposon
171,MLT2C2,ERVL,LTR,ClusterV,Retrotransposon
172,MLT1B,ERVL-MaLR,LTR,ClusterV,Retrotransposon
173,MER31B,ERV1,LTR,ClusterV,Retrotransposon
174,L1MA9,L1,non-LTR,ClusterIV,Retrotransposon
175,MER74B,ERVL,LTR,ClusterV,Retrotransposon
176,L1MA10,L1,non-LTR,ClusterIV,Retrotransposon
177,L1MB1,L1,non-LTR,ClusterIV,Retrotransposon
178,L1M2,L1,non-LTR,ClusterIV,Retrotransposon
179,LTR49-int,ERV1,LTR,ClusterV,Retrotransposon
180,MLT2B4,ERVL,LTR,ClusterV,Retrotransposon
181,L1MA8,L1,non-LTR,ClusterIV,Retrotransposon
182,MLT2B1,ERVL,LTR,ClusterV,Retrotransposon
183,MER21C,ERVL,LTR,ClusterV,Retrotransposon
184,MER4B-int,ERV1,LTR,ClusterV,Retrotransposon
185,MLT1A,ERVL-MaLR,LTR,ClusterV,Retrotransposon
186,MER34,ERV1,LTR,ClusterV,Retrotransposon
187,MER31A,ERV1,LTR,ClusterV,Retrotransposon
188,MER34B,ERV1,LTR,ClusterV,Retrotransposon
189,MER34C_,ERV1,LTR,ClusterV,Retrotransposon
190,MLT1A0,ERVL-MaLR,LTR,ClusterV,Retrotransposon
191,L1MA7,L1,non-LTR,ClusterIV,Retrotransposon
192,MER39,ERV1,LTR,ClusterV,Retrotransposon
193,MLT1A0-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
194,MLT2B2,ERVL,LTR,ClusterV,Retrotransposon
195,L1M1,L1,non-LTR,ClusterIV,Retrotransposon
196,L1M3b,L1,non-LTR,ClusterIV,Retrotransposon
197,MER44C,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
198,L1MA6,L1,non-LTR,ClusterIV,Retrotransposon
199,MSTD-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
200,MLT1A1,ERVL-MaLR,LTR,ClusterV,Retrotransposon
201,MER44B,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
202,MER44A,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
203,Tigger7,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
204,MER44D,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
205,LTR48,ERV1,LTR,ClusterV,Retrotransposon
206,MER21B,ERVL,LTR,ClusterV,Retrotransposon
207,MSTD,ERVL-MaLR,LTR,ClusterV,Retrotransposon
208,Tigger4,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
209,MER2,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
210,Ricksha,MuDR,DNAtransposon,ClusterVII,DNAtransposon
211,MER2B,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
212,Tigger3b,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
213,Tigger5,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
214,Tigger3,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
215,MER6C,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
216,Tigger1,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
217,L1MA5,L1,non-LTR,ClusterIV,Retrotransposon
218,MSTC,ERVL-MaLR,LTR,ClusterV,Retrotransposon
219,LTR54,ERV1,LTR,ClusterV,Retrotransposon
220,MER6,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
221,MER6A,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
222,LTR48B,ERV1,LTR,ClusterV,Retrotransposon
223,Tigger2,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
224,Tigger2b_Pri,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
225,MER65A,ERV1,LTR,ClusterV,Retrotransposon
226,L1M3f,L1,non-LTR,ClusterIV,Retrotransposon
227,L1MA4,L1,non-LTR,ClusterIV,Retrotransposon
228,Tigger2a,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
229,L1MA4A,L1,non-LTR,ClusterIV,Retrotransposon
230,HSMAR2,TcMar-Mariner,DNAtransposon,ClusterIV,DNAtransposon
231,LTR49,ERV1,LTR,ClusterV,Retrotransposon
232,MSTB2,ERVL-MaLR,LTR,ClusterV,Retrotransposon
233,PRIMA4-int,ERV1,LTR,ClusterV,Retrotransposon
234,L1MA5A,L1,non-LTR,ClusterIV,Retrotransposon
235,MER8,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
236,LTR23,ERV1,LTR,ClusterV,Retrotransposon
237,LTR26,ERV1,LTR,ClusterV,Retrotransposon
238,L1PB4,L1,non-LTR,ClusterIV,Retrotransposon
239,MER39B,ERV1,LTR,ClusterV,Retrotransposon
240,L1PA17,L1,non-LTR,ClusterIV,Retrotransposon
241,LTR39,ERV1,LTR,ClusterV,Retrotransposon
242,LTR47A,ERVL,LTR,ClusterV,Retrotransposon
243,MER4D,ERV1,LTR,ClusterV,Retrotransposon
244,MER49,ERV1,LTR,ClusterV,Retrotransposon
245,MSTB1,ERVL-MaLR,LTR,ClusterV,Retrotransposon
246,MER72,ERV1,LTR,ClusterV,Retrotransposon
247,L1PA15-16,L1,non-LTR,ClusterIV,Retrotransposon
248,L1MA3,L1,non-LTR,ClusterIV,Retrotransposon
249,L1PA16,L1,non-LTR,ClusterIV,Retrotransposon
250,FAM,Alu,non-LTR,ClusterVII,Retrotransposon
251,L1PB3,L1,non-LTR,ClusterIV,Retrotransposon
252,L1PA15,L1,non-LTR,ClusterIV,Retrotransposon
253,MSTB-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
254,MER4C,ERV1,LTR,ClusterV,Retrotransposon
255,MER4D1,ERV1,LTR,ClusterV,Retrotransposon
256,MER21A,ERVL,LTR,ClusterV,Retrotransposon
257,L1MA2,L1,non-LTR,ClusterIV,Retrotransposon
258,LTR32,ERVL,LTR,ClusterV,Retrotransposon
259,L1MA1,L1,non-LTR,ClusterIV,Retrotransposon
260,MSTB,ERVL-MaLR,LTR,ClusterV,Retrotransposon
261,L1PA13,L1,non-LTR,ClusterIV,Retrotransposon
262,LTR8A,ERV1,LTR,ClusterV,Retrotransposon
263,MER30B,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
264,L1PA14,L1,non-LTR,ClusterIV,Retrotransposon
265,L1PB2,L1,non-LTR,ClusterIV,Retrotransposon
266,L1PREC2,L1,non-LTR,ClusterIV,Retrotransposon
267,L1P5,L1,non-LTR,ClusterIV,Retrotransposon
268,L1P,L1,non-LTR,ClusterIV,Retrotransposon
269,L1P4,L1,non-LTR,ClusterIV,Retrotransposon
270,LOR1a,ERV1,LTR,ClusterV,Retrotransposon
271,L1PBa,L1,non-LTR,ClusterIV,Retrotransposon
272,L1PBa1,L1,non-LTR,ClusterIV,Retrotransposon
273,MSTA-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
274,Charlie3,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
275,MLT2B3,ERVL,LTR,ClusterV,Retrotransposon
276,MER4A,ERV1,LTR,ClusterV,Retrotransposon
277,MER6B,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
278,LOR1b,ERV1,LTR,ClusterV,Retrotransposon
279,MER41B,ERV1,LTR,ClusterV,Retrotransposon
280,AluJo,Alu,non-LTR,ClusterVII,Retrotransposon
281,L1PA12,L1,non-LTR,ClusterIV,Retrotransposon
282,FLAM_A,Alu,non-LTR,ClusterVII,Retrotransposon
283,MER4B,ERV1,LTR,ClusterV,Retrotransposon
284,MER107,DNA,DNAtransposon,ClusterIV,DNAtransposon
285,MER50,ERV1,LTR,ClusterV,Retrotransposon
286,MSTA,ERVL-MaLR,LTR,ClusterV,Retrotransposon
287,MER66B,ERV1,LTR,ClusterV,Retrotransposon
288,MER75,PiggyBac,DNAtransposon,ClusterVII,DNAtransposon
289,MER1A,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
290,HSMAR1,TcMar-Mariner,DNAtransposon,ClusterIV,DNAtransposon
291,L1PA11,L1,non-LTR,ClusterIV,Retrotransposon
292,L1PB1,L1,non-LTR,ClusterIV,Retrotransposon
293,L1PB,L1,non-LTR,ClusterIV,Retrotransposon
294,THE1D-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
295,Charlie12,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
296,MER4E1,ERV1,LTR,ClusterV,Retrotransposon
297,L1PA10,L1,non-LTR,ClusterIV,Retrotransposon
298,LTR8,ERV1,LTR,ClusterV,Retrotransposon
299,MER30,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
300,MER1B,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
301,AluJb,Alu,non-LTR,ClusterVII,Retrotransposon
302,FLAM_C,Alu,non-LTR,ClusterVII,Retrotransposon
303,THE1D,ERVL-MaLR,LTR,ClusterV,Retrotransposon
304,THE1C-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
305,MER50B,ERV1,LTR,ClusterV,Retrotransposon
306,MER52A,ERV1,LTR,ClusterV,Retrotransposon
307,L1P3,L1,non-LTR,ClusterIV,Retrotransposon
308,THE1C,ERVL-MaLR,LTR,ClusterV,Retrotransposon
309,THE1B-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
310,MER41C,ERV1,LTR,ClusterV,Retrotransposon
311,LTR1D,ERV1,LTR,ClusterV,Retrotransposon
312,L1PA8A,L1,non-LTR,ClusterIV,Retrotransposon
313,MER41A,ERV1,LTR,ClusterV,Retrotransposon
314,MLT2A2,ERVL,LTR,ClusterV,Retrotransposon
315,MER4A1,ERV1,LTR,ClusterV,Retrotransposon
316,LTR1B,ERV1,LTR,ClusterV,Retrotransposon
317,MLT-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
318,MER51A,ERV1,LTR,ClusterV,Retrotransposon
319,MER85,PiggyBac,DNAtransposon,ClusterVII,DNAtransposon
320,PABL_A,ERV1,LTR,ClusterV,Retrotransposon
321,MLT2A1,ERVL,LTR,ClusterV,Retrotransposon
322,THE1A-int,ERVL-MaLR,LTR,ClusterV,Retrotransposon
323,THE1B,ERVL-MaLR,LTR,ClusterV,Retrotransposon
324,MADE1,TcMar-Mariner,DNAtransposon,ClusterIV,DNAtransposon
325,LTR1,ERV1,LTR,ClusterV,Retrotransposon
326,LTR9,ERV1,LTR,ClusterV,Retrotransposon
327,MER61A,ERV1,LTR,ClusterV,Retrotransposon
328,MER51B,ERV1,LTR,ClusterV,Retrotransposon
329,LTR9B,ERV1,LTR,ClusterV,Retrotransposon
330,THE1A,ERVL-MaLR,LTR,ClusterV,Retrotransposon
331,L1PA8,L1,non-LTR,ClusterIV,Retrotransposon
332,L1PA7,L1,non-LTR,ClusterIV,Retrotransposon
333,L1P2,L1,non-LTR,ClusterIV,Retrotransposon
334,AluSx,Alu,non-LTR,ClusterVII,Retrotransposon
335,LTR10C,ERV1,LTR,ClusterV,Retrotransposon
336,LTR12_,ERV1,LTR,ClusterV,Retrotransposon
337,AluSc,Alu,non-LTR,ClusterVII,Retrotransposon
338,AluSq,Alu,non-LTR,ClusterVII,Retrotransposon
339,L1PA6,L1,non-LTR,ClusterIV,Retrotransposon
340,LTR10F,ERV1,LTR,ClusterV,Retrotransposon
341,AluSg,Alu,non-LTR,ClusterVII,Retrotransposon
342,LTR17,ERV1,LTR,ClusterV,Retrotransposon
343,AluSp,Alu,non-LTR,ClusterVII,Retrotransposon
344,L1PA5,L1,non-LTR,ClusterIV,Retrotransposon
345,L1P1,L1,non-LTR,ClusterIV,Retrotransposon
346,MER11A,ERVK,LTR,ClusterVI,Retrotransposon
347,LTR7B,ERV1,LTR,ClusterV,Retrotransposon
348,LTR2,ERV1,LTR,ClusterV,Retrotransposon
349,LTR12,ERV1,LTR,ClusterV,Retrotransposon
350,L1PA4,L1,non-LTR,ClusterIV,Retrotransposon
351,MER11C,ERVK,LTR,ClusterVI,Retrotransposon
352,SVA_A,Other,non-LTR,ClusterVI,Retrotransposon
353,L1PA3,L1,non-LTR,ClusterIV,Retrotransposon
354,LTR5_Hs,ERVK,LTR,ClusterVI,Retrotransposon
355,AluY,Alu,non-LTR,ClusterVII,Retrotransposon
356,LTR12C,ERV1,LTR,ClusterV,Retrotransposon
357,MER11B,ERVK,LTR,ClusterVI,Retrotransposon
358,FRAM,Alu,non-LTR,ClusterVII,Retrotransposon
359,AluYd8,Alu,non-LTR,ClusterVII,Retrotransposon
360,SVA_B,Other,non-LTR,ClusterVI,Retrotransposon
361,SVA_C,Other,non-LTR,ClusterVI,Retrotransposon
362,SVA_D,Other,non-LTR,ClusterVI,Retrotransposon
363,L1PA2,L1,non-LTR,ClusterIV,Retrotransposon
364,SVA_E,Other,non-LTR,ClusterVI,Retrotransposon
365,SVA_F,Other,non-LTR,ClusterVI,Retrotransposon
366,L1HS,L1,non-LTR,ClusterIV,Retrotransposon
367,LTR7,ERV1,LTR,ClusterV,Retrotransposon
368,AluYg6,Alu,non-LTR,ClusterVII,Retrotransposon
369,AluYa5,Alu,non-LTR,ClusterVII,Retrotransposon
370,AluYb8,Alu,non-LTR,ClusterVII,Retrotransposon
371,AluYb9,Alu,non-LTR,ClusterVII,Retrotransposon
372,AluYa8,Alu,non-LTR,ClusterVII,Retrotransposon
