repName,ageMyrMin,ageMyrMax,ageMyrConsensus,ConsensusMethod,Reference,Giordano360RetroRank
L1ME2,NA,NA,NA,NA,NA,47
MER63D,55,101,78,corrected_age,16,49
Charlie4a,NA,NA,NA,NA,NA,51
MER46C,NA,NA,NA,NA,NA,48
MER91B,NA,NA,NA,NA,NA,NA
L1M,NA,NA,NA,NA,NA,53
L1MDb,NA,NA,NA,NA,NA,56
LTR33,NA,NA,NA,NA,NA,50
MLT1J2,NA,NA,NA,NA,NA,52
L1ME1,NA,NA,NA,NA,NA,55
MLT1I,NA,NA,NA,NA,NA,54
L1M4b,NA,NA,NA,NA,NA,60
MER31-int,NA,NA,NA,NA,NA,57
Charlie1a,55,101,78,corrected_age,16,58
FordPrefect_a,NA,NA,NA,NA,NA,NA
MER97c,NA,NA,NA,NA,NA,61
L1MCa,NA,NA,NA,NA,NA,63
MER115,NA,NA,NA,NA,NA,59
MLT1H-int,NA,NA,NA,NA,NA,67
LTR37B,NA,NA,NA,NA,NA,65
L1MCb,NA,NA,NA,NA,NA,70
L1M4,NA,NA,NA,NA,NA,71
MLT1J1,NA,NA,NA,NA,NA,72
LTR33A,NA,NA,NA,NA,NA,74
L1M4c,NA,NA,NA,NA,NA,73
Charlie10,NA,NA,NA,NA,NA,64
MER117,NA,NA,NA,NA,NA,NA
Cheshire,53,97,75,corrected_age,16,69
LTR16C,NA,NA,NA,NA,NA,76
L1MC,NA,NA,NA,NA,NA,77
MER5B,NA,NA,NA,NA,NA,75
LTR16A1,NA,NA,NA,NA,NA,78
LTR50,NA,NA,NA,NA,NA,79
MLT1H,NA,NA,NA,NA,NA,80
FordPrefect,NA,NA,NA,NA,NA,NA
Arthur1A,NA,NA,NA,NA,NA,NA
Charlie1b,54,100,77,corrected_age,16,81
MER5A,NA,NA,NA,NA,NA,83
MLT1G,NA,NA,NA,NA,NA,82
MLT1H2,NA,NA,NA,NA,NA,84
MER5C,NA,NA,NA,NA,NA,NA
LTR16A,NA,NA,NA,NA,NA,85
L1MD,NA,NA,NA,NA,NA,91
MER91A,NA,NA,NA,NA,NA,NA
MLT1H1,NA,NA,NA,NA,NA,86
MER91C,NA,NA,NA,NA,NA,NA
MER58D,51,94,72,corrected_age,16,NA
LTR37A,NA,NA,NA,NA,NA,89
MER57A-int,NA,NA,NA,NA,NA,135
MADE2,54,100,77,corrected_age,16,NA
MER97a,NA,NA,NA,NA,NA,NA
Charlie1,54,99,77,corrected_age,16,87
MER94,NA,NA,NA,NA,NA,NA
MLT2F,NA,NA,NA,NA,NA,90
MER5A1,NA,NA,NA,NA,NA,88
MLT1G1,NA,NA,NA,NA,NA,93
MER119,55,102,79,corrected_age,16,NA
MER97b,NA,NA,NA,NA,NA,NA
MER63C,56,104,80,corrected_age,16,94
MER3,51,95,73,corrected_age,16,96
MER63B,54,100,77,corrected_age,16,NA
Charlie5,50,93,72,corrected_age,16,95
L1MD2,NA,NA,NA,NA,NA,97
MER33,51,94,72,corrected_age,16,98
LTR16B,NA,NA,NA,NA,NA,99
MER45R,53,99,76,corrected_age,16,NA
MLT1F1,NA,NA,NA,NA,NA,101
MER45A,51,95,73,corrected_age,16,125
MER45C,NA,NA,NA,NA,NA,NA
L1MD1,NA,NA,NA,NA,NA,92
MLT1F,NA,NA,NA,NA,NA,102
L1MD3,NA,NA,NA,NA,NA,104
L1MC3,NA,NA,NA,NA,NA,103
LTR41,NA,NA,NA,NA,NA,105
MER106A,NA,NA,NA,NA,NA,NA
MER63A,NA,NA,NA,NA,NA,106
MER58C,NA,NA,NA,NA,NA,107
MLT1F2,NA,NA,NA,NA,NA,108
MER96B,49,91,70,corrected_age,16,109
MER58B,52,96,74,corrected_age,16,110
Tigger6a,51,95,73,corrected_age,16,111
Tigger6b,49,91,70,corrected_age,16,NA
L1MB7,NA,NA,NA,NA,NA,113
MER45B,52,97,75,corrected_age,16,112
MER106B,56,105,80,corrected_age,16,NA
MLT1F-int,NA,NA,NA,NA,NA,114
LTR40a,NA,NA,NA,NA,NA,117
MER58A,53,98,75,corrected_age,16,116
LTR40b,NA,NA,NA,NA,NA,118
MLT1E3,NA,NA,NA,NA,NA,119
MLT1E1A,NA,NA,NA,NA,NA,NA
MER20,54,100,77,corrected_age,16,121
MLT1E,NA,NA,NA,NA,NA,120
L1MB8,NA,NA,NA,NA,NA,122
ORSL,54,100,77,corrected_age,16,NA
MLT1E1,NA,NA,NA,NA,NA,131
MER81,NA,NA,NA,NA,NA,123
MER53,46,85,65,corrected_age,16,124
MER96,NA,NA,NA,NA,NA,NA
L1MC2,NA,NA,NA,NA,NA,132
MER68,NA,NA,NA,NA,NA,126
L1MB4,NA,NA,NA,NA,NA,127
LTR52,NA,NA,NA,NA,NA,128
MLT1E2,NA,NA,NA,NA,NA,129
MLT1D,NA,NA,NA,NA,NA,130
L1MB5,NA,NA,NA,NA,NA,133
MER92B,NA,NA,NA,NA,NA,134
MLT2C1,NA,NA,NA,NA,NA,136
MER77,NA,NA,NA,NA,NA,138
MER82,64,80,76,corrected_age,16,137
MER89,NA,NA,NA,NA,NA,141
L1MC1,NA,NA,NA,NA,NA,139
MLT1C,NA,NA,NA,NA,NA,142
MER67D,NA,NA,NA,NA,NA,144
L1MB3,NA,NA,NA,NA,NA,143
MER67C,NA,NA,NA,NA,NA,146
L1MB2,NA,NA,NA,NA,NA,147
L1M3c,NA,NA,NA,NA,NA,145
L1M3e,NA,NA,NA,NA,NA,148
MER74A,NA,NA,NA,NA,NA,150
MLT2D,NA,NA,NA,NA,NA,152
L1M3,NA,NA,NA,NA,NA,151
MLT2C2,NA,NA,NA,NA,NA,153
MLT1B,NA,NA,NA,NA,NA,154
MER31B,NA,NA,NA,NA,NA,155
L1MA9,NA,NA,NA,NA,NA,156
MER74B,NA,NA,NA,NA,NA,157
L1MA10,NA,NA,NA,NA,NA,158
L1MB1,NA,NA,NA,NA,NA,160
L1M2,NA,NA,NA,NA,NA,159
LTR49-int,NA,NA,NA,NA,NA,161
MLT2B4,NA,NA,NA,NA,NA,162
L1MA8,NA,NA,NA,NA,NA,163
MLT2B1,NA,NA,NA,NA,NA,164
MER21C,NA,NA,NA,NA,NA,165
MER4B-int,NA,NA,NA,NA,NA,166
MLT1A,NA,NA,NA,NA,NA,167
MER34,NA,NA,NA,NA,NA,168
MER31A,NA,NA,NA,NA,NA,169
MER34B,NA,NA,NA,NA,NA,170
MER34C_,NA,NA,NA,NA,NA,171
MLT1A0,NA,NA,NA,NA,NA,172
L1MA7,NA,NA,NA,NA,NA,173
MER39,NA,NA,NA,NA,NA,174
MLT1A0-int,NA,NA,NA,NA,NA,175
MLT2B2,NA,NA,NA,NA,NA,176
L1M1,NA,NA,NA,NA,NA,177
L1M3b,NA,NA,NA,NA,NA,178
MER44C,57,72,68,corrected_age,16,179
L1MA6,NA,NA,NA,NA,NA,189
MSTD-int,NA,NA,NA,NA,NA,180
MLT1A1,NA,NA,NA,NA,NA,181
MER44B,60,75,72,corrected_age,16,182
MER44A,54,67,64,corrected_age,16,183
Tigger7,58,73,69,corrected_age,16,185
MER44D,59,74,70,corrected_age,16,NA
LTR48,NA,NA,NA,NA,NA,186
MER21B,NA,NA,NA,NA,NA,184
MSTD,NA,NA,NA,NA,NA,187
Tigger4,52,65,62,corrected_age,16,NA
MER2,63,79,75,corrected_age,16,191
Ricksha,59,74,71,corrected_age,16,192
MER2B,60,75,71,corrected_age,16,193
Tigger3b,51,64,61,corrected_age,16,194
Tigger5,59,74,70,corrected_age,16,195
Tigger3,54,67,64,corrected_age,16,NA
MER6C,60,75,71,corrected_age,16,NA
Tigger1,50,62,59,corrected_age,16,198
L1MA5,72.3,124.9,98.6,mean,14,199
MSTC,NA,NA,NA,NA,NA,201
LTR54,NA,NA,NA,NA,NA,203
MER6,56,70,66,corrected_age,16,204
MER6A,56,70,67,corrected_age,16,205
LTR48B,NA,NA,NA,NA,NA,206
Tigger2,52,64,61,corrected_age,16,207
Tigger2b_Pri,NA,NA,NA,NA,NA,210
MER65A,NA,NA,NA,NA,NA,209
L1M3f,NA,NA,NA,NA,NA,211
L1MA4,75,129.6,102.3,mean,14,212
Tigger2a,54,67,64,corrected_age,16,213
L1MA4A,NA,NA,NA,NA,NA,215
HSMAR2,48,60,57,corrected_age,16,216
LTR49,NA,NA,NA,NA,NA,214
MSTB2,NA,NA,NA,NA,NA,217
PRIMA4-int,NA,NA,NA,NA,NA,220
L1MA5A,NA,NA,NA,NA,NA,218
MER8,64,80,76,corrected_age,16,219
LTR23,NA,NA,NA,NA,NA,221
LTR26,NA,NA,NA,NA,NA,NA
L1PB4,70.3,121.6,95.95,mean,14,222
MER39B,NA,NA,NA,NA,NA,223
L1PA17,74.1,128,101.05,mean,14,224
LTR39,NA,NA,NA,NA,NA,225
LTR47A,NA,NA,NA,NA,NA,226
MER4D,NA,NA,NA,NA,NA,227
MER49,NA,NA,NA,NA,NA,228
MSTB1,NA,NA,NA,NA,NA,230
MER72,NA,NA,NA,NA,NA,231
L1PA15-16,NA,NA,NA,NA,NA,232
L1MA3,49.9,86.2,68.05,mean,14,233
L1PA16,58.4,100.9,79.65,mean,14,234
FAM,NA,NA,NA,NA,NA,235
L1PB3,53.9,93.2,73.55,mean,14,236
L1PA15,51.7,89.3,70.5,mean,14,238
MSTB-int,NA,NA,NA,NA,NA,237
MER4C,NA,NA,NA,NA,NA,239
MER4D1,NA,NA,NA,NA,NA,240
MER21A,NA,NA,NA,NA,NA,243
L1MA2,48.3,83.4,65.85,mean,14,241
LTR32,NA,NA,NA,NA,NA,242
L1MA1,45.2,78.1,61.65,mean,14,244
MSTB,NA,NA,NA,NA,NA,246
L1PA13,NA,NA,NA,NA,NA,247
LTR8A,NA,NA,NA,NA,NA,245
MER30B,46,73,60,corrected_age,16,NA
L1PA14,44.4,76.8,60.6,mean,14,252
L1PB2,42.7,73.7,58.2,mean,14,249
L1PREC2,NA,NA,NA,NA,NA,250
L1P5,NA,NA,NA,NA,NA,251
L1P,NA,NA,NA,NA,NA,253
L1P4,NA,NA,NA,NA,NA,254
LOR1a,NA,NA,NA,NA,NA,255
L1PBa,NA,NA,NA,NA,NA,256
L1PBa1,NA,NA,NA,NA,NA,257
MSTA-int,NA,NA,NA,NA,NA,258
Charlie3,40,63,51,corrected_age,16,NA
MLT2B3,NA,NA,NA,NA,NA,259
MER4A,NA,NA,NA,NA,NA,261
MER6B,64,80,76,corrected_age,16,NA
LOR1b,NA,NA,NA,NA,NA,260
MER41B,NA,NA,NA,NA,NA,264
AluJo,81,81,81,one,4,262
L1PA12,43.7,75.6,59.65,mean,14,266
FLAM_A,NA,NA,NA,NA,NA,263
MER4B,NA,NA,NA,NA,NA,265
MER107,33,52,43,corrected_age,16,NA
MER50,NA,NA,NA,NA,NA,269
MSTA,NA,NA,NA,NA,NA,268
MER66B,NA,NA,NA,NA,NA,267
MER75,38,59,48,corrected_age,16,270
MER1A,41,65,53,corrected_age,16,271
HSMAR1,37,58,48,corrected_age,16,272
L1PA11,39.1,67.5,53.3,mean,14,273
L1PB1,34.3,59.2,46.75,mean,14,274
L1PB,NA,NA,NA,NA,NA,275
THE1D-int,NA,NA,NA,NA,NA,276
Charlie12,NA,NA,NA,NA,NA,NA
MER4E1,NA,NA,NA,NA,NA,277
L1PA10,34,58.7,46.35,mean,14,278
LTR8,NA,NA,NA,NA,NA,279
MER30,36,56,46,corrected_age,16,283
MER1B,48,75,61,corrected_age,16,282
AluJb,81,81,81,one,4,284
FLAM_C,NA,NA,NA,NA,NA,285
THE1D,NA,NA,NA,NA,NA,286
THE1C-int,NA,NA,NA,NA,NA,287
MER50B,NA,NA,NA,NA,NA,288
MER52A,NA,NA,NA,NA,NA,289
L1P3,NA,NA,NA,NA,NA,290
THE1C,NA,NA,NA,NA,NA,292
THE1B-int,NA,NA,NA,NA,NA,291
MER41C,NA,NA,NA,NA,NA,293
LTR1D,NA,NA,NA,NA,NA,294
L1PA8A,30.6,52.8,41.7,mean,14,295
MER41A,NA,NA,NA,NA,NA,296
MLT2A2,NA,NA,NA,NA,NA,297
MER4A1,NA,NA,NA,NA,NA,298
LTR1B,NA,NA,NA,NA,NA,300
MLT-int,NA,NA,NA,NA,NA,301
MER51A,NA,NA,NA,NA,NA,299
MER85,29,46,37,corrected_age,16,302
PABL_A,NA,NA,NA,NA,NA,NA
MLT2A1,NA,NA,NA,NA,NA,305
THE1A-int,NA,NA,NA,NA,NA,303
THE1B,NA,NA,NA,NA,NA,304
MADE1,36,56,46,corrected_age,16,306
LTR1,NA,NA,NA,NA,NA,309
LTR9,NA,NA,NA,NA,NA,308
MER61A,NA,NA,NA,NA,NA,310
MER51B,NA,NA,NA,NA,NA,311
LTR9B,NA,NA,NA,NA,NA,312
THE1A,NA,NA,NA,NA,NA,313
L1PA8,30,51.8,40.9,mean,14,314
L1PA7,23,39.8,31.4,mean,14,315
L1P2,NA,NA,NA,NA,NA,316
AluSx,37,44.1,40.55,mean,4;9,317
LTR10C,NA,NA,NA,NA,NA,319
LTR12_,NA,NA,NA,NA,NA,328
AluSc,30.44,35,32.72,mean,4;9,323
AluSq,37.49,44,40.745,mean,4;9,321
L1PA6,19.7,34,26.85,mean,14,326
LTR10F,NA,NA,NA,NA,NA,327
AluSg,31,34.68,32.84,mean,4;9,329
LTR17,NA,NA,NA,NA,NA,333
AluSp,28.31,37,32.655,mean,4;9,336
L1PA5,15,25.9,20.45,mean,14,335
L1P1,NA,NA,NA,NA,NA,337
MER11A,NA,NA,NA,NA,NA,340
LTR7B,NA,NA,NA,NA,NA,341
LTR2,NA,NA,NA,NA,NA,342
LTR12,NA,NA,NA,NA,NA,345
L1PA4,13.2,22.8,18,mean,14,344
MER11C,NA,NA,NA,NA,NA,346
SVA_A,10.3,16.81,13.555,mean,12,NA
L1PA3,9.2,15.8,12.5,mean,14,347
LTR5_Hs,NA,NA,NA,NA,NA,348
AluY,5,30,17.5,mean,7,349
LTR12C,NA,NA,NA,NA,NA,350
MER11B,NA,NA,NA,NA,NA,351
FRAM,NA,NA,NA,NA,NA,353
AluYd8,NA,NA,NA,NA,NA,355
SVA_B,10.59,12.53,11.56,mean,12,NA
SVA_C,10.81,10.94,10.875,mean,12,NA
SVA_D,9.45,9.64,9.545,mean,12,NA
L1PA2,5.6,9.6,7.6,mean,14,356
SVA_E,2.46,4.47,3.465,mean,12,NA
SVA_F,2.73,3.63,3.18,mean,12,NA
L1HS,2.3,3.9,3.1,mean,14,354
LTR7,NA,NA,NA,NA,NA,357
AluYg6,2.68,2.94,2.81,mean,9,358
AluYa5,2.33,2.63,2.48,mean,9,359
AluYb8,2.33,2.89,2.61,mean,9,360
AluYb9,1.47,1.6,1.535,mean,9,NA
AluYa8,1.07,1.61,1.34,mean,9,NA
