rank,repName,repFamily,repType,cluster,repTranspoType
92,SVA_A,Other,non-LTR,ClusterII,Retrotransposon
93,L1PA3,L1,non-LTR,ClusterI,Retrotransposon
94,SVA_B,Other,non-LTR,ClusterII,Retrotransposon
95,SVA_C,Other,non-LTR,ClusterII,Retrotransposon
96,SVA_D,Other,non-LTR,ClusterII,Retrotransposon
97,L1PA2,L1,non-LTR,ClusterI,Retrotransposon
98,SVA_E,Other,non-LTR,ClusterII,Retrotransposon
99,SVA_F,Other,non-LTR,ClusterII,Retrotransposon
100,L1HS,L1,non-LTR,ClusterI,Retrotransposon
101,AluYg6,Alu,non-LTR,ClusterII,Retrotransposon
102,AluYb8,Alu,non-LTR,ClusterII,Retrotransposon
103,AluYa5,Alu,non-LTR,ClusterII,Retrotransposon
104,AluYb9,Alu,non-LTR,ClusterII,Retrotransposon
105,AluYa8,Alu,non-LTR,ClusterII,Retrotransposon
