#Name (cmd = mergePeaks /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.9/bg.clean.pos /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.9/target.clean..pos -d given -cobound 1 -prefix /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.9/0.312443173098476.2.tmp)	chr	start	end	strand	stat	stat2	/t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.9/target.clean..pos
BG18800-chopped1	chr13	73320002	73360000	+	0.000	0.000	6471
BG54662-chopped1	chr6	22760002	22800000	+	0.000	0.000	2444
BG16188-chopped1	chr4	22320002	22360000	+	0.000	0.000	10780
BG41167-chopped1	chr3	27040002	27080000	+	0.000	0.000	9221
BG28281-chopped1	chr9	83560002	83600000	+	0.000	0.000	4480
BG47568-chopped1	chr9	81520002	81560000	+	0.000	0.000	5531
BG55-chopped1	chr6	105160002	105200000	+	0.000	0.000	386
BG22762-chopped1	chr11	23480002	23520000	+	0.000	0.000	11633
BG32570-chopped1	chr6	100600002	100640000	+	0.000	0.000	10567
BG63059-chopped1	chr11	40200002	40240000	+	0.000	0.000	11349
BG56301-chopped1	chr10	129640002	129680000	+	0.000	0.000	6977
BG6295-chopped1	chr9	104720002	104760000	+	0.000	0.000	9983
BG42814-chopped1	chr2	79680002	79720000	+	0.000	0.000	4636
BG25476-chopped1	chr7	95120002	95160000	+	0.000	0.000	3971
BG26241-chopped1	chr2	50600002	50640000	+	0.000	0.000	8413
BG45092-chopped1	chr4	61960002	62000000	+	0.000	0.000	11527
BG53060-chopped1	chr3	6480002	6520000	+	0.000	0.000	3797
BG33890-chopped1	chr10	55480002	55520000	+	0.000	0.000	8286
BG61019-chopped1	chr9	30960002	31000000	+	0.000	0.000	10707
BG27561-chopped1	chr9	85640002	85680000	+	0.000	0.000	396
BG31404-chopped1	chr21	24520002	24560000	+	0.000	0.000	10413
BG42287-chopped1	chr13	52400002	52440000	+	0.000	0.000	5954
BG2861-chopped1	chr8	2720002	2760000	+	0.000	0.000	7370
BG25276-chopped1	chr1	88240002	88280000	+	0.000	0.000	2879
BG54380-chopped1	chr7	52280002	52320000	+	0.000	0.000	3124
BG33244-chopped1	chr8	82600002	82640000	+	0.000	0.000	6575
BG5129-chopped1	chr4	190160002	190200000	+	0.000	0.000	1496
BG48688-chopped1	chr18	25400002	25440000	+	0.000	0.000	10644
BG24201-chopped1	chr18	24680002	24720000	+	0.000	0.000	3568
BG35084-chopped1	chr6	93040002	93080000	+	0.000	0.000	9672
BG51020-chopped1	chr4	58040002	58080000	+	0.000	0.000	4374
BG49453-chopped1	chr14	73320002	73360000	+	0.000	0.000	5765
BG41767-chopped1	chr2	156920002	156960000	+	0.000	0.000	913
BG15713-chopped1	chr7	111360002	111400000	+	0.000	0.000	3422
BG6340-chopped1	chr20	9560002	9600000	+	0.000	0.000	9815
BG30439-chopped1	chr15	81640002	81680000	+	0.000	0.000	11597
BG57976-chopped1	chr12	41520002	41560000	+	0.000	0.000	1447
BG23236-chopped1	chr7	158240002	158280000	+	0.000	0.000	6368
BG19829-chopped1	chr19	32720002	32760000	+	0.000	0.000	1443
BG54616-chopped1	chr13	58800002	58840000	+	0.000	0.000	11080
BG12472-chopped1	chr12	44440002	44480000	+	0.000	0.000	6194
BG7660-chopped1	chr13	58320002	58360000	+	0.000	0.000	4209
BG14748-chopped1	chr6	163840002	163880000	+	0.000	0.000	1969
BG18873-chopped1	chr2	76040002	76080000	+	0.000	0.000	5089
BG32524-chopped1	chr5	93040002	93080000	+	0.000	0.000	9778
BG55936-chopped1	chr4	156560002	156600000	+	0.000	0.000	1408
BG50300-chopped1	chr5	1960002	2000000	+	0.000	0.000	10878
BG35238-chopped1	chr13	66720002	66760000	+	0.000	0.000	678
BG43206-chopped1	chr6	164120002	164160000	+	0.000	0.000	8741
BG49171-chopped1	chr8	34040002	34080000	+	0.000	0.000	5808
BG50855-chopped1	chr2	155240002	155280000	+	0.000	0.000	542
BG28035-chopped1	chr10	97320002	97360000	+	0.000	0.000	8886
BG5293-chopped1	chr12	27680002	27720000	+	0.000	0.000	11647
BG5729-chopped1	chr3	73920002	73960000	+	0.000	0.000	7081
BG36003-chopped1	chr10	116520002	116560000	+	0.000	0.000	6852
BG20240-chopped1	chr8	60880002	60920000	+	0.000	0.000	2710
BG16833-chopped1	chr1	186400002	186440000	+	0.000	0.000	2344
BG60663-chopped1	chr13	81720002	81760000	+	0.000	0.000	4136
BG51620-chopped1	chrX	5000002	5040000	+	0.000	0.000	2609
BG11752-chopped1	chr7	131120002	131160000	+	0.000	0.000	6223
BG61983-chopped1	chr15	48400002	48440000	+	0.000	0.000	63
BG47131-chopped1	chr6	127520002	127560000	+	0.000	0.000	7748
BG12626-chopped1	chr7	14440002	14480000	+	0.000	0.000	10334
BG52940-chopped1	chr11	55400002	55440000	+	0.000	0.000	166
BG9654-chopped1	chr3	26760002	26800000	+	0.000	0.000	801
BG30402-chopped1	chr10	119720002	119760000	+	0.000	0.000	3837
BG20149-chopped1	chr4	32200002	32240000	+	0.000	0.000	4743
BG51093-chopped1	chr6	47880002	47920000	+	0.000	0.000	11669
BG47686-chopped1	chr1	218240002	218280000	+	0.000	0.000	204
BG42050-chopped1	chr14	61200002	61240000	+	0.000	0.000	10938
BG57494-chopped1	chr11	116040002	116080000	+	0.000	0.000	6114
BG48451-chopped1	chr4	21400002	21440000	+	0.000	0.000	2019
BG15786-chopped1	chr3	21160002	21200000	+	0.000	0.000	7052
BG31722-chopped1	chr7	133720002	133760000	+	0.000	0.000	10212
BG50573-chopped1	chr6	122960002	123000000	+	0.000	0.000	552
BG52849-chopped1	chr5	94360002	94400000	+	0.000	0.000	2147
BG60817-chopped1	chr4	72960002	73000000	+	0.000	0.000	3102
BG22234-chopped1	chr4	150320002	150360000	+	0.000	0.000	6505
BG43806-chopped1	chr4	132280002	132320000	+	0.000	0.000	5774
BG45646-chopped1	chr7	69600002	69640000	+	0.000	0.000	11616
BG91-chopped1	chr1	210560002	210600000	+	0.000	0.000	2374
BG40010-chopped1	chr3	178080002	178120000	+	0.000	0.000	4904
BG40119-chopped1	chr13	36280002	36320000	+	0.000	0.000	11273
BG20949-chopped1	chr7	69440002	69480000	+	0.000	0.000	10016
BG29073-chopped1	chr11	29640002	29680000	+	0.000	0.000	8050
BG62020-chopped1	chrX	12080002	12120000	+	0.000	0.000	5056
BG40565-chopped1	chr11	42320002	42360000	+	0.000	0.000	9566
BG39317-chopped1	chr11	114800002	114840000	+	0.000	0.000	10488
BG44690-chopped1	chr11	25680002	25720000	+	0.000	0.000	24
BG41330-chopped1	chr5	113840002	113880000	+	0.000	0.000	5996
BG37596-chopped1	chr1	102240002	102280000	+	0.000	0.000	2731
BG28553-chopped1	chr1	172520002	172560000	+	0.000	0.000	11517
BG34236-chopped1	chr12	90960002	91000000	+	0.000	0.000	6010
BG55808-chopped1	chr16	80440002	80480000	+	0.000	0.000	4644
BG32842-chopped1	chr1	162320002	162360000	+	0.000	0.000	8276
BG312-chopped1	chr9	97200002	97240000	+	0.000	0.000	7799
BG11379-chopped1	chr9	23480002	23520000	+	0.000	0.000	3469
BG49925-chopped1	chr2	134960002	135000000	+	0.000	0.000	758
BG36321-chopped1	chrX	147720002	147760000	+	0.000	0.000	3099
BG61300-chopped1	chr6	93840002	93880000	+	0.000	0.000	9915
BG20667-chopped1	chr4	20640002	20680000	+	0.000	0.000	11578
BG7887-chopped1	chr3	105240002	105280000	+	0.000	0.000	9985
BG6812-chopped1	chr14	44800002	44840000	+	0.000	0.000	2123
BG4527-chopped1	chr3	152720002	152760000	+	0.000	0.000	4619
BG21432-chopped1	chr9	82960002	83000000	+	0.000	0.000	5093
BG8652-chopped1	chr1	80640002	80680000	+	0.000	0.000	10711
BG11179-chopped1	chr8	47120002	47160000	+	0.000	0.000	8312
BG40283-chopped1	chr1	145080002	145120000	+	0.000	0.000	6955
BG23272-chopped1	chr6	84360002	84400000	+	0.000	0.000	613
BG31240-chopped1	chr5	11200002	11240000	+	0.000	0.000	6414
BG42559-chopped1	chr1	192000002	192040000	+	0.000	0.000	10096
BG35801-chopped1	chr4	178320002	178360000	+	0.000	0.000	948
BG25548-chopped1	chr1	189760002	189800000	+	0.000	0.000	8885
BG54652-chopped1	chr4	78240002	78280000	+	0.000	0.000	106
BG16505-chopped1	chr5	4320002	4360000	+	0.000	0.000	1926
BG21987-chopped1	chr5	89520002	89560000	+	0.000	0.000	3991
BG43324-chopped1	chr3	104400002	104440000	+	0.000	0.000	11087
BG26313-chopped1	chr6	139440002	139480000	+	0.000	0.000	2496
BG5847-chopped1	chr6	94520002	94560000	+	0.000	0.000	5195
BG19219-chopped1	chr4	119720002	119760000	+	0.000	0.000	7774
BG11097-chopped1	chr13	75720002	75760000	+	0.000	0.000	5040
BG61655-chopped1	chr4	170720002	170760000	+	0.000	0.000	9911
BG52612-chopped1	chr13	49280002	49320000	+	0.000	0.000	877
BG585-chopped1	chr16	5880002	5920000	+	0.000	0.000	4805
BG62420-chopped1	chr9	91200002	91240000	+	0.000	0.000	837
BG26231-chopped1	chr2	150000002	150040000	+	0.000	0.000	5176
BG58686-chopped1	chr1	84280002	84320000	+	0.000	0.000	4525
BG10904-chopped1	chr6	13360002	13400000	+	0.000	0.000	2663
BG3807-chopped1	chr5	165320002	165360000	+	0.000	0.000	4292
BG7932-chopped1	chr6	101320002	101360000	+	0.000	0.000	5638
BG2405-chopped1	chr6	81320002	81360000	+	0.000	0.000	3838
BG62975-chopped1	chr15	71240002	71280000	+	0.000	0.000	3559
BG45964-chopped1	chr3	143600002	143640000	+	0.000	0.000	6629
BG8806-chopped1	chr6	119120002	119160000	+	0.000	0.000	7173
BG6085-chopped1	chr4	106680002	106720000	+	0.000	0.000	11326
BG42277-chopped1	chr8	98400002	98440000	+	0.000	0.000	8889
BG46838-chopped1	chr1	44520002	44560000	+	0.000	0.000	5034
BG16223-chopped1	chr13	65560002	65600000	+	0.000	0.000	7700
BG3725-chopped1	chr13	107640002	107680000	+	0.000	0.000	7970
BG62329-chopped1	chr5	19320002	19360000	+	0.000	0.000	10490
BG10377-chopped1	chr6	72040002	72080000	+	0.000	0.000	938
BG45318-chopped1	chr3	21920002	21960000	+	0.000	0.000	7409
BG28871-chopped1	chr14	96960002	97000000	+	0.000	0.000	7071
BG32714-chopped1	chr19	52400002	52440000	+	0.000	0.000	8538
BG34554-chopped1	chr10	10400002	10440000	+	0.000	0.000	3695
BG13418-chopped1	chr9	28040002	28080000	+	0.000	0.000	8605
BG17543-chopped1	chr14	42760002	42800000	+	0.000	0.000	2067
BG57966-chopped1	chr10	54920002	54960000	+	0.000	0.000	8625
BG40237-chopped1	chr2	176120002	176160000	+	0.000	0.000	389
BG11697-chopped1	chr9	88800002	88840000	+	0.000	0.000	5052
BG50045-chopped1	chr2	59200002	59240000	+	0.000	0.000	8026
BG54606-chopped1	chr9	108400002	108440000	+	0.000	0.000	789
BG9044-chopped1	chr5	90400002	90440000	+	0.000	0.000	3012
BG22270-chopped1	chr3	33960002	34000000	+	0.000	0.000	9164
BG46001-chopped1	chr3	33800002	33840000	+	0.000	0.000	3323
BG9926-chopped1	chr11	84080002	84120000	+	0.000	0.000	7338
BG15503-chopped1	chr9	9920002	9960000	+	0.000	0.000	5933
BG6239-chopped1	chr10	67080002	67120000	+	0.000	0.000	1937
BG48396-chopped1	chr12	74280002	74320000	+	0.000	0.000	2672
BG11497-chopped1	chr9	127280002	127320000	+	0.000	0.000	2001
BG60207-chopped1	chr4	60520002	60560000	+	0.000	0.000	5687
BG23590-chopped1	chr11	26400002	26440000	+	0.000	0.000	5646
BG42877-chopped1	chr6	122320002	122360000	+	0.000	0.000	2297
BG52685-chopped1	chr8	96320002	96360000	+	0.000	0.000	2559
BG22179-chopped1	chr8	33640002	33680000	+	0.000	0.000	9066
BG26631-chopped1	chr3	89960002	90000000	+	0.000	0.000	1541
BG51283-chopped1	chr5	35120002	35160000	+	0.000	0.000	2960
BG53559-chopped1	chr7	53400002	53440000	+	0.000	0.000	5015
BG36548-chopped1	chr19	56920002	56960000	+	0.000	0.000	6214
BG61527-chopped1	chr8	80640002	80680000	+	0.000	0.000	707
BG44516-chopped1	chr7	14600002	14640000	+	0.000	0.000	7711
BG36994-chopped1	chr7	67920002	67960000	+	0.000	0.000	6976
BG61973-chopped1	chr10	47040002	47080000	+	0.000	0.000	9082
BG39153-chopped1	chr2	50560002	50600000	+	0.000	0.000	10057
BG22424-chopped1	chrX	10200002	10240000	+	0.000	0.000	6842
BG57038-chopped1	chr5	122960002	123000000	+	0.000	0.000	3394
BG17061-chopped1	chr9	10400002	10440000	+	0.000	0.000	1702
BG42040-chopped1	chr13	88800002	88840000	+	0.000	0.000	1680
BG44316-chopped1	chr6	81240002	81280000	+	0.000	0.000	4325
BG257-chopped1	chr2	146840002	146880000	+	0.000	0.000	9879
BG6839-chopped1	chr8	116120002	116160000	+	0.000	0.000	11439
BG16541-chopped1	chr15	95880002	95920000	+	0.000	0.000	3105
BG7277-chopped1	chr12	39400002	39440000	+	0.000	0.000	1511
BG35828-chopped1	chr10	111440002	111480000	+	0.000	0.000	1373
BG18381-chopped1	chr10	66040002	66080000	+	0.000	0.000	11362
BG10695-chopped1	chr4	116280002	116320000	+	0.000	0.000	2813
BG1758-chopped1	chr13	81320002	81360000	+	0.000	0.000	9919
BG36266-chopped1	chr3	108840002	108880000	+	0.000	0.000	7549
BG19255-chopped1	chr2	222840002	222880000	+	0.000	0.000	248
BG502-chopped1	chr15	68000002	68040000	+	0.000	0.000	4116
BG37031-chopped1	chr12	14160002	14200000	+	0.000	0.000	1461
BG17861-chopped1	chr4	132200002	132240000	+	0.000	0.000	10589
BG15576-chopped1	chr12	114360002	114400000	+	0.000	0.000	2854
BG39307-chopped1	chr3	135240002	135280000	+	0.000	0.000	8510
BG54924-chopped1	chr10	5400002	5440000	+	0.000	0.000	2804
BG41320-chopped1	chr9	106560002	106600000	+	0.000	0.000	10749
BG7077-chopped1	chr2	186280002	186320000	+	0.000	0.000	960
BG43269-chopped1	chr8	4600002	4640000	+	0.000	0.000	10923
BG41875-chopped1	chr8	50000002	50040000	+	0.000	0.000	6066
BG52002-chopped1	chr12	7840002	7880000	+	0.000	0.000	74
BG59478-chopped1	chr13	47040002	47080000	+	0.000	0.000	9217
BG42640-chopped1	chr11	37360002	37400000	+	0.000	0.000	10873
BG33270-chopped1	chr13	32280002	32320000	+	0.000	0.000	5671
BG7322-chopped1	chr9	25520002	25560000	+	0.000	0.000	7830
BG52557-chopped1	chr11	130480002	130520000	+	0.000	0.000	6285
BG857-chopped1	chr4	181520002	181560000	+	0.000	0.000	2998
BG26503-chopped1	chr10	21400002	21440000	+	0.000	0.000	4798
BG1803-chopped1	chr4	10360002	10400000	+	0.000	0.000	8022
BG43069-chopped1	chr18	64680002	64720000	+	0.000	0.000	9686
BG19300-chopped1	chr6	3680002	3720000	+	0.000	0.000	6610
BG55162-chopped1	chr4	163240002	163280000	+	0.000	0.000	9525
BG34026-chopped1	chr7	27880002	27920000	+	0.000	0.000	5416
BG38151-chopped1	chr9	84880002	84920000	+	0.000	0.000	8796
BG4517-chopped1	chr2	164200002	164240000	+	0.000	0.000	11532
BG28898-chopped1	chr4	53160002	53200000	+	0.000	0.000	6974
BG8642-chopped1	chr6	20400002	20440000	+	0.000	0.000	3097
BG40600-chopped1	chr2	124440002	124480000	+	0.000	0.000	1751
BG40709-chopped1	chr3	118680002	118720000	+	0.000	0.000	7600
BG19855-chopped1	chr3	61840002	61880000	+	0.000	0.000	11190
BG31230-chopped1	chr5	155320002	155360000	+	0.000	0.000	10834
BG46674-chopped1	chr4	128440002	128480000	+	0.000	0.000	464
BG1721-chopped1	chr1	12840002	12880000	+	0.000	0.000	5108
BG62165-chopped1	chr3	66440002	66480000	+	0.000	0.000	9890
BG53122-chopped1	chr4	46760002	46800000	+	0.000	0.000	10788
BG49388-chopped1	chr2	201200002	201240000	+	0.000	0.000	5549
BG41593-chopped1	chr7	54080002	54120000	+	0.000	0.000	7400
BG30265-chopped1	chr4	165360002	165400000	+	0.000	0.000	5747
BG51837-chopped1	chr1	89120002	89160000	+	0.000	0.000	6964
BG44634-chopped1	chr13	104880002	104920000	+	0.000	0.000	2173
BG52602-chopped1	chr5	93760002	93800000	+	0.000	0.000	4597
BG35264-chopped1	chr5	65360002	65400000	+	0.000	0.000	5746
BG902-chopped1	chr6	162080002	162120000	+	0.000	0.000	8725
BG45072-chopped1	chr13	72240002	72280000	+	0.000	0.000	4543
BG21777-chopped1	chr4	120960002	121000000	+	0.000	0.000	5461
BG54997-chopped1	chr4	161800002	161840000	+	0.000	0.000	8698
BG57156-chopped1	chr5	89840002	89880000	+	0.000	0.000	10010
BG41829-chopped1	chr3	28680002	28720000	+	0.000	0.000	186
BG4235-chopped1	chr12	24720002	24760000	+	0.000	0.000	10762
BG2841-chopped1	chrX	14240002	14280000	+	0.000	0.000	8597
BG25256-chopped1	chr20	58400002	58440000	+	0.000	0.000	7208
BG33224-chopped1	chr10	108720002	108760000	+	0.000	0.000	6726
BG60043-chopped1	chr2	200680002	200720000	+	0.000	0.000	6079
BG33670-chopped1	chr2	82080002	82120000	+	0.000	0.000	3222
BG52957-chopped1	chr2	224920002	224960000	+	0.000	0.000	2214
BG59241-chopped1	chr20	21880002	21920000	+	0.000	0.000	2292
BG38105-chopped1	chr10	50880002	50920000	+	0.000	0.000	7001
BG4035-chopped1	chr12	78520002	78560000	+	0.000	0.000	3799
BG40227-chopped1	chr5	111240002	111280000	+	0.000	0.000	8247
BG19809-chopped1	chr12	91240002	91280000	+	0.000	0.000	8994
BG34990-chopped1	chr3	30520002	30560000	+	0.000	0.000	3872
BG47066-chopped1	chr6	83000002	83040000	+	0.000	0.000	9975
BG52875-chopped1	chr6	101480002	101520000	+	0.000	0.000	11142
BG10167-chopped1	chr3	20880002	20920000	+	0.000	0.000	1525
BG14292-chopped1	chr18	70200002	70240000	+	0.000	0.000	8917
BG38023-chopped1	chr6	145640002	145680000	+	0.000	0.000	10146
BG9480-chopped1	chr4	96200002	96240000	+	0.000	0.000	1798
BG41547-chopped1	chr2	225680002	225720000	+	0.000	0.000	1656
BG53640-chopped1	chr11	50480002	50520000	+	0.000	0.000	6047
BG47948-chopped1	chr9	26920002	26960000	+	0.000	0.000	1184
BG6229-chopped1	chr14	34680002	34720000	+	0.000	0.000	4672
BG57756-chopped1	chr3	163760002	163800000	+	0.000	0.000	6497
BG30783-chopped1	chr2	34080002	34120000	+	0.000	0.000	6489
BG13772-chopped1	chr8	62120002	62160000	+	0.000	0.000	7890
BG35218-chopped1	chr3	36680002	36720000	+	0.000	0.000	885
BG40591-chopped1	chr4	47520002	47560000	+	0.000	0.000	9602
BG58521-chopped1	chr14	87560002	87600000	+	0.000	0.000	1839
BG46992-chopped1	chr16	59400002	59440000	+	0.000	0.000	5224
BG49151-chopped1	chr11	24560002	24600000	+	0.000	0.000	8944
BG50835-chopped1	chr7	147680002	147720000	+	0.000	0.000	5969
BG33824-chopped1	chr15	98640002	98680000	+	0.000	0.000	1797
BG62919-chopped1	chr11	96840002	96880000	+	0.000	0.000	2597
BG53440-chopped1	chr6	96600002	96640000	+	0.000	0.000	7562
BG61081-chopped1	chr6	144240002	144280000	+	0.000	0.000	10332
BG20775-chopped1	chr9	84840002	84880000	+	0.000	0.000	5684
BG19527-chopped1	chr14	61720002	61760000	+	0.000	0.000	5342
BG46346-chopped1	chr8	4920002	4960000	+	0.000	0.000	11661
BG13572-chopped1	chr18	28120002	28160000	+	0.000	0.000	116
BG53995-chopped1	chr5	85800002	85840000	+	0.000	0.000	5563
BG40827-chopped1	chr2	124960002	125000000	+	0.000	0.000	11679
BG47111-chopped1	chr2	225280002	225320000	+	0.000	0.000	6095
BG17051-chopped1	chr4	12760002	12800000	+	0.000	0.000	4360
BG44306-chopped1	chr3	190240002	190280000	+	0.000	0.000	9801
BG63157-chopped1	chr10	54080002	54120000	+	0.000	0.000	2041
BG247-chopped1	chr12	760002	800000	+	0.000	0.000	912
BG10130-chopped1	chr4	24120002	24160000	+	0.000	0.000	9906
BG21449-chopped1	chr4	77240002	77280000	+	0.000	0.000	3159
BG25574-chopped1	chr2	155960002	156000000	+	0.000	0.000	3268
BG50553-chopped1	chr9	7240002	7280000	+	0.000	0.000	11554
BG23289-chopped1	chr21	30640002	30680000	+	0.000	0.000	8226
BG52393-chopped1	chr5	125480002	125520000	+	0.000	0.000	281
BG693-chopped1	chr5	117480002	117520000	+	0.000	0.000	4340
BG43350-chopped1	chr3	33440002	33480000	+	0.000	0.000	5171
BG39943-chopped1	chr18	66480002	66520000	+	0.000	0.000	10718
BG41065-chopped1	chr2	39840002	39880000	+	0.000	0.000	7193
BG3588-chopped1	chr14	37000002	37040000	+	0.000	0.000	1619
BG20493-chopped1	chr14	56240002	56280000	+	0.000	0.000	7968
BG63402-chopped1	chr13	103880002	103920000	+	0.000	0.000	1641
BG46064-chopped1	chr2	14600002	14640000	+	0.000	0.000	5068
BG56308-chopped1	chr20	13800002	13840000	+	0.000	0.000	314
BG40545-chopped1	chr5	118920002	118960000	+	0.000	0.000	7849
BG38978-chopped1	chr1	68840002	68880000	+	0.000	0.000	602
BG25374-chopped1	chr4	168160002	168200000	+	0.000	0.000	735
BG37903-chopped1	chr3	30800002	30840000	+	0.000	0.000	1602
BG60161-chopped1	chr12	59480002	59520000	+	0.000	0.000	4205
BG3833-chopped1	chr5	123360002	123400000	+	0.000	0.000	455
BG17205-chopped1	chr15	65720002	65760000	+	0.000	0.000	10309
BG28088-chopped1	chr14	66680002	66720000	+	0.000	0.000	7258
BG33897-chopped1	chr1	163080002	163120000	+	0.000	0.000	8217
BG24854-chopped1	chr5	7720002	7760000	+	0.000	0.000	6039
BG13526-chopped1	chr13	62880002	62920000	+	0.000	0.000	7805
BG21167-chopped1	chr14	38440002	38480000	+	0.000	0.000	6628
BG56108-chopped1	chr8	99360002	99400000	+	0.000	0.000	11325
BG2868-chopped1	chr2	160560002	160600000	+	0.000	0.000	543
BG847-chopped1	chr3	162360002	162400000	+	0.000	0.000	9865
BG26048-chopped1	chr4	22000002	22040000	+	0.000	0.000	4819
BG55152-chopped1	chr12	47840002	47880000	+	0.000	0.000	7189
BG60961-chopped1	chr5	159400002	159440000	+	0.000	0.000	6867
BG17005-chopped1	chr18	27480002	27520000	+	0.000	0.000	7545
BG4507-chopped1	chr2	6520002	6560000	+	0.000	0.000	4940
BG15284-chopped1	chr12	13800002	13840000	+	0.000	0.000	9468
BG38696-chopped1	chr4	44560002	44600000	+	0.000	0.000	3920
BG33060-chopped1	chr2	220640002	220680000	+	0.000	0.000	179
BG54632-chopped1	chr1	157280002	157320000	+	0.000	0.000	3950
BG37621-chopped1	chr18	36160002	36200000	+	0.000	0.000	239
BG56472-chopped1	chr15	29720002	29760000	+	0.000	0.000	4994
BG39461-chopped1	chr3	66640002	66680000	+	0.000	0.000	7252
BG58748-chopped1	chr4	144080002	144120000	+	0.000	0.000	4382
BG50953-chopped1	chr3	71680002	71720000	+	0.000	0.000	5844
BG5827-chopped1	chr13	92440002	92480000	+	0.000	0.000	5235
BG9952-chopped1	chr3	63040002	63080000	+	0.000	0.000	11187
BG32540-chopped1	chr3	28920002	28960000	+	0.000	0.000	10028
BG63029-chopped1	chr8	117960002	118000000	+	0.000	0.000	3513
BG2031-chopped1	chr8	106960002	107000000	+	0.000	0.000	5217
BG46018-chopped1	chr2	159040002	159080000	+	0.000	0.000	2358
BG51391-chopped1	chr14	49480002	49520000	+	0.000	0.000	10027
BG26848-chopped1	chr8	138880002	138920000	+	0.000	0.000	8900
BG40063-chopped1	chr2	84000002	84040000	+	0.000	0.000	3328
BG7030-chopped1	chr4	109000002	109040000	+	0.000	0.000	8816
BG2586-chopped1	chr4	53360002	53400000	+	0.000	0.000	6176
BG20247-chopped1	chr6	27720002	27760000	+	0.000	0.000	2426
BG41819-chopped1	chr1	77920002	77960000	+	0.000	0.000	7277
BG11204-chopped1	chr6	57320002	57360000	+	0.000	0.000	3479
BG44097-chopped1	chr2	150600002	150640000	+	0.000	0.000	3347
BG16203-chopped1	chr7	87600002	87640000	+	0.000	0.000	3260
BG365-chopped1	chr2	224480002	224520000	+	0.000	0.000	7023
